Ri,M,Eta,k,Nuval
-1,3,1.7,4.0,-17.88792
-1,3,1.71,4.0,-17.03749
-1,3,1.72,4.0,-15.55148
-1,3,1.73,4.0,-13.39187
-1,3,1.74,4.0,-10.50916
-1,3,1.75,4.0,-6.95656
-1,3,1.76,4.0,-2.90632
-1,3,1.77,4.0,1.44569
-1,3,1.78,4.0,5.91458
-1,3,1.79,4.0,10.32881
-1,3,1.8,4.0,14.52981
-1,3,1.81,4.0,18.37244
-1,3,1.82,4.0,21.72674
-1,3,1.83,4.0,24.47961
-1,3,1.84,4.0,26.537
-1,3,1.85,4.0,27.82606
-1,3,1.86,4.0,28.29741
-1,3,1.87,4.0,27.92706
-1,3,1.88,4.0,26.71793
-1,3,1.89,4.0,24.70078
-1,3,1.9,4.0,21.93405
-1,3,1.91,4.0,18.50305
-1,3,1.92,4.0,14.5179
-1,3,1.93,4.0,10.11111
-1,3,1.94,4.0,5.43365
-1,3,1.95,4.0,0.65105
-1,3,1.96,4.0,-4.06047
-1,3,1.97,4.0,-8.51755
-1,3,1.98,4.0,-12.52962
-1,3,1.99,4.0,-15.89084
-1,3,2.0,4.0,-18.36141
5,3,0.0,5.0,4.70317
5,3,0.01,5.0,4.69233
5,3,0.02,5.0,4.66014
5,3,0.03,5.0,4.60655
5,3,0.04,5.0,4.53126
5,3,0.05,5.0,4.43472
5,3,0.06,5.0,4.31671
5,3,0.07,5.0,4.17758
5,3,0.08,5.0,4.0172
5,3,0.09,5.0,3.83575
5,3,0.1,5.0,3.63345
5,3,0.11,5.0,3.41046
5,3,0.12,5.0,3.16697
5,3,0.13,5.0,2.90317
5,3,0.14,5.0,2.61936
5,3,0.15,5.0,2.31582
5,3,0.16,5.0,1.99292
5,3,0.17,5.0,1.65106
5,3,0.18,5.0,1.29061
5,3,0.19,5.0,0.91219
5,3,0.2,5.0,0.51626
5,3,0.21,5.0,0.10341
5,3,0.22,5.0,-0.32567
5,3,0.23,5.0,-0.77015
5,3,0.24,5.0,-1.22933
5,3,0.25,5.0,-1.70234
5,3,0.26,5.0,-2.18818
5,3,0.27,5.0,-2.68567
5,3,0.28,5.0,-3.1939
5,3,0.29,5.0,-3.7115
5,3,0.3,5.0,-4.23716
5,3,0.31,5.0,-4.76956
5,3,0.32,5.0,-5.30711
5,3,0.33,5.0,-5.84828
5,3,0.34,5.0,-6.39122
5,3,0.35,5.0,-6.93414
5,3,0.36,5.0,-7.47513
5,3,0.37,5.0,-8.0121
5,3,0.38,5.0,-8.54288
5,3,0.39,5.0,-9.0652
5,3,0.4,5.0,-9.57658
5,3,0.41,5.0,-10.0745
5,3,0.42,5.0,-10.55628
5,3,0.43,5.0,-11.01919
5,3,0.44,5.0,-11.46028
5,3,0.45,5.0,-11.87663
5,3,0.46,5.0,-12.26512
5,3,0.47,5.0,-12.62252
5,3,0.48,5.0,-12.94556
5,3,0.49,5.0,-13.23092
5,3,0.5,5.0,-13.47522
5,3,0.51,5.0,-13.67497
5,3,0.52,5.0,-13.82678
5,3,0.53,5.0,-13.92723
5,3,0.54,5.0,-13.9729
5,3,0.55,5.0,-13.96048
5,3,0.56,5.0,-13.88667
5,3,0.57,5.0,-13.74839
5,3,0.58,5.0,-13.54267
5,3,0.59,5.0,-13.26669
5,3,0.6,5.0,-12.91805
5,3,0.61,5.0,-12.4944
5,3,0.62,5.0,-11.99384
5,3,0.63,5.0,-11.41479
5,3,0.64,5.0,-10.75606
5,3,0.65,5.0,-10.01703
5,3,0.66,5.0,-9.1974
5,3,0.67,5.0,-8.29763
5,3,0.68,5.0,-7.31855
5,3,0.69,5.0,-6.26177
5,3,0.7,5.0,-5.12954
5,3,0.71,5.0,-3.92476
5,3,0.72,5.0,-2.65119
5,3,0.73,5.0,-1.31322
5,3,0.74,5.0,0.08383
5,3,0.75,5.0,1.53393
5,3,0.76,5.0,3.03018
5,3,0.77,5.0,4.56495
5,3,0.78,5.0,6.12965
5,3,0.79,5.0,7.71503
5,3,0.8,5.0,9.31106
5,3,0.81,5.0,10.90692
5,3,0.82,5.0,12.49135
5,3,0.83,5.0,14.05229
5,3,0.84,5.0,15.57736
5,3,0.85,5.0,17.0537
5,3,0.86,5.0,18.46833
5,3,0.87,5.0,19.80804
5,3,0.88,5.0,21.05983
5,3,0.89,5.0,22.21082
5,3,0.9,5.0,23.24862
5,3,0.91,5.0,24.1615
5,3,0.92,5.0,24.93864
5,3,0.93,5.0,25.5703
5,3,0.94,5.0,26.04797
5,3,0.95,5.0,26.3648
5,3,0.96,5.0,26.51544
5,3,0.97,5.0,26.49629
5,3,0.98,5.0,26.3053
5,3,0.99,5.0,25.94193
5,3,1.0,5.0,25.40674
5,3,1.01,5.0,24.70118
5,3,1.02,5.0,23.82749
5,3,1.03,5.0,22.78857
5,3,1.04,5.0,21.58808
5,3,1.05,5.0,20.23095
5,3,1.06,5.0,18.72378
5,3,1.07,5.0,17.07537
5,3,1.08,5.0,15.29694
5,3,1.09,5.0,13.40253
5,3,1.1,5.0,11.40905
5,3,1.11,5.0,9.33615
5,3,1.12,5.0,7.20614
5,3,1.13,5.0,5.04374
5,3,1.14,5.0,2.87563
5,3,1.15,5.0,0.73021
5,3,1.16,5.0,-1.36286
5,3,1.17,5.0,-3.37323
5,3,1.18,5.0,-5.2704
5,3,1.19,5.0,-7.02397
5,3,1.2,5.0,-8.60458
5,3,1.21,5.0,-9.98424
5,3,1.22,5.0,-11.13702
5,3,1.23,5.0,-12.03963
5,3,1.24,5.0,-12.67181
5,3,1.25,5.0,-13.01716
5,3,1.26,5.0,-13.06331
5,3,1.27,5.0,-12.80262
5,3,1.28,5.0,-12.23235
5,3,1.29,5.0,-11.35492
5,3,1.3,5.0,-10.17829
5,3,1.31,5.0,-8.71573
5,3,1.32,5.0,-6.98589
5,3,1.33,5.0,-5.0125
5,3,1.34,5.0,-2.82402
5,3,1.35,5.0,-0.45299
5,3,1.36,5.0,2.06446
5,3,1.37,5.0,4.68958
5,3,1.38,5.0,7.38162
5,3,1.39,5.0,10.09821
5,3,1.4,5.0,12.79565
5,3,1.41,5.0,15.42809
5,3,1.42,5.0,17.94704
5,3,1.43,5.0,20.30046
5,3,1.44,5.0,22.43339
5,3,1.45,5.0,24.28932
5,3,1.46,5.0,25.81333
5,3,1.47,5.0,26.9551
5,3,1.48,5.0,27.67207
5,3,1.49,5.0,27.93167
5,3,1.5,5.0,27.71306
5,3,1.51,5.0,27.0078
5,3,1.52,5.0,25.8204
5,3,1.53,5.0,24.16829
5,3,1.54,5.0,22.08151
5,3,1.55,5.0,19.6021
5,3,1.56,5.0,16.7834
5,3,1.57,5.0,13.68885
5,3,1.58,5.0,10.39073
5,3,1.59,5.0,6.96846
5,3,1.6,5.0,3.5069
5,3,1.61,5.0,0.09421
5,3,1.62,5.0,-3.18022
5,3,1.63,5.0,-6.22795
5,3,1.64,5.0,-8.96397
5,3,1.65,5.0,-11.30885
5,3,1.66,5.0,-13.19076
5,3,1.67,5.0,-14.54734
5,3,1.68,5.0,-15.32749
5,3,1.69,5.0,-15.49216
5,3,1.7,5.0,-15.01611
5,3,1.71,5.0,-13.8889
5,3,1.72,5.0,-12.11703
5,3,1.73,5.0,-9.72742
5,3,1.74,5.0,-6.77143
5,3,1.75,5.0,-3.32783
5,3,1.76,5.0,0.49811
5,3,1.77,5.0,4.57895
5,3,1.78,5.0,8.77318
5,3,1.79,5.0,12.93287
5,3,1.8,5.0,16.91062
5,3,1.81,5.0,20.56546
5,3,1.82,5.0,23.76707
5,3,1.83,5.0,26.3999
5,3,1.84,5.0,28.3665
5,3,1.85,5.0,29.59058
5,3,1.86,5.0,30.01974
5,3,1.87,5.0,29.62788
5,3,1.88,5.0,28.41656
5,3,1.89,5.0,26.41587
5,3,1.9,5.0,23.68472
5,3,1.91,5.0,20.30955
5,3,1.92,5.0,16.40279
5,3,1.93,5.0,12.10003
5,3,1.94,5.0,7.55656
5,3,1.95,5.0,2.94327
5,3,1.96,5.0,-1.55811
5,3,1.97,5.0,-5.76067
5,3,1.98,5.0,-9.47873
5,3,1.99,5.0,-12.53726
5,3,2.0,5.0,-14.78394
10,3,0.0,6.0,7.49848
10,3,0.01,6.0,7.48765
10,3,0.02,6.0,7.45543
10,3,0.03,6.0,7.40161
10,3,0.04,6.0,7.32627
10,3,0.05,6.0,7.22965
10,3,0.06,6.0,7.11145
10,3,0.07,6.0,6.97178
10,3,0.08,6.0,6.81074
10,3,0.09,6.0,6.62844
10,3,0.1,6.0,6.42481
10,3,0.11,6.0,6.19997
10,3,0.12,6.0,5.95411
10,3,0.13,6.0,5.68728
10,3,0.14,6.0,5.39966
10,3,0.15,6.0,5.09146
10,3,0.16,6.0,4.76288
10,3,0.17,6.0,4.41416
10,3,0.18,6.0,4.04569
10,3,0.19,6.0,3.65782
10,3,0.2,6.0,3.25097
10,3,0.21,6.0,2.82564
10,3,0.22,6.0,2.38239
10,3,0.23,6.0,1.92187
10,3,0.24,6.0,1.44488
10,3,0.25,6.0,0.95216
10,3,0.26,6.0,0.44469
10,3,0.27,6.0,-0.07654
10,3,0.28,6.0,-0.61034
10,3,0.29,6.0,-1.15547
10,3,0.3,6.0,-1.71052
10,3,0.31,6.0,-2.27404
10,3,0.32,6.0,-2.84449
10,3,0.33,6.0,-3.41993
10,3,0.34,6.0,-3.99867
10,3,0.35,6.0,-4.57864
10,3,0.36,6.0,-5.15769
10,3,0.37,6.0,-5.73357
10,3,0.38,6.0,-6.3039
10,3,0.39,6.0,-6.86613
10,3,0.4,6.0,-7.41776
10,3,0.41,6.0,-7.95597
10,3,0.42,6.0,-8.47792
10,3,0.43,6.0,-8.98062
10,3,0.44,6.0,-9.46113
10,3,0.45,6.0,-9.91614
10,3,0.46,6.0,-10.34255
10,3,0.47,6.0,-10.73694
10,3,0.48,6.0,-11.09599
10,3,0.49,6.0,-11.41626
10,3,0.5,6.0,-11.69424
10,3,0.51,6.0,-11.92647
10,3,0.52,6.0,-12.10946
10,3,0.53,6.0,-12.23969
10,3,0.54,6.0,-12.31381
10,3,0.55,6.0,-12.32828
10,3,0.56,6.0,-12.28001
10,3,0.57,6.0,-12.16574
10,3,0.58,6.0,-11.98258
10,3,0.59,6.0,-11.72766
10,3,0.6,6.0,-11.39847
10,3,0.61,6.0,-10.99276
10,3,0.62,6.0,-10.50856
10,3,0.63,6.0,-9.94428
10,3,0.64,6.0,-9.29879
10,3,0.65,6.0,-8.57135
10,3,0.66,6.0,-7.76172
10,3,0.67,6.0,-6.87021
10,3,0.68,6.0,-5.8977
10,3,0.69,6.0,-4.84578
10,3,0.7,6.0,-3.71655
10,3,0.71,6.0,-2.51298
10,3,0.72,6.0,-1.23867
10,3,0.73,6.0,0.10201
10,3,0.74,6.0,1.50386
10,3,0.75,6.0,2.96094
10,3,0.76,6.0,4.46646
10,3,0.77,6.0,6.01285
10,3,0.78,6.0,7.59174
10,3,0.79,6.0,9.19404
10,3,0.8,6.0,10.8098
10,3,0.81,6.0,12.42858
10,3,0.82,6.0,14.03913
10,3,0.83,6.0,15.62972
10,3,0.84,6.0,17.18818
10,3,0.85,6.0,18.70189
10,3,0.86,6.0,20.15811
10,3,0.87,6.0,21.5439
10,3,0.88,6.0,22.84636
10,3,0.89,6.0,24.05277
10,3,0.9,6.0,25.15069
10,3,0.91,6.0,26.12824
10,3,0.92,6.0,26.97414
10,3,0.93,6.0,27.67784
10,3,0.94,6.0,28.2297
10,3,0.95,6.0,28.62106
10,3,0.96,6.0,28.84424
10,3,0.97,6.0,28.89279
10,3,0.98,6.0,28.76125
10,3,0.99,6.0,28.4455
10,3,1.0,6.0,27.94281
10,3,1.01,6.0,27.25175
10,3,1.02,6.0,26.37278
10,3,1.03,6.0,25.30834
10,3,1.04,6.0,24.06316
10,3,1.05,6.0,22.64445
10,3,1.06,6.0,21.06216
10,3,1.07,6.0,19.32891
10,3,1.08,6.0,17.46013
10,3,1.09,6.0,15.47366
10,3,1.1,6.0,13.38962
10,3,1.11,6.0,11.23053
10,3,1.12,6.0,9.02042
10,3,1.13,6.0,6.78527
10,3,1.14,6.0,4.55233
10,3,1.15,6.0,2.3502
10,3,1.16,6.0,0.20826
10,3,1.17,6.0,-1.84338
10,3,1.18,6.0,-3.77466
10,3,1.19,6.0,-5.55557
10,3,1.2,6.0,-7.15712
10,3,1.21,6.0,-8.55152
10,3,1.22,6.0,-9.71308
10,3,1.23,6.0,-10.61851
10,3,1.24,6.0,-11.24765
10,3,1.25,6.0,-11.584
10,3,1.26,6.0,-11.61493
10,3,1.27,6.0,-11.33262
10,3,1.28,6.0,-10.73393
10,3,1.29,6.0,-9.82095
10,3,1.3,6.0,-8.60103
10,3,1.31,6.0,-7.08706
10,3,1.32,6.0,-5.2972
10,3,1.33,6.0,-3.25496
10,3,1.34,6.0,-0.98868
10,3,1.35,6.0,1.46858
10,3,1.36,6.0,4.07933
10,3,1.37,6.0,6.80241
10,3,1.38,6.0,9.5929
10,3,1.39,6.0,12.40267
10,3,1.4,6.0,15.18064
10,3,1.41,6.0,17.87313
10,3,1.42,6.0,20.42444
10,3,1.43,6.0,22.77814
10,3,1.44,6.0,24.87831
10,3,1.45,6.0,26.67156
10,3,1.46,6.0,28.109
10,3,1.47,6.0,29.14808
10,3,1.48,6.0,29.75439
10,3,1.49,6.0,29.90256
10,3,1.5,6.0,29.57756
10,3,1.51,6.0,28.77512
10,3,1.52,6.0,27.5022
10,3,1.53,6.0,25.77739
10,3,1.54,6.0,23.63091
10,3,1.55,6.0,21.1045
10,3,1.56,6.0,18.25078
10,3,1.57,6.0,15.13252
10,3,1.58,6.0,11.82136
10,3,1.59,6.0,8.39633
10,3,1.6,6.0,4.94208
10,3,1.61,6.0,1.54692
10,3,1.62,6.0,-1.69958
10,3,1.63,6.0,-4.70851
10,3,1.64,6.0,-7.39427
10,3,1.65,6.0,-9.67673
10,3,1.66,6.0,-11.48356
10,3,1.67,6.0,-12.75235
10,3,1.68,6.0,-13.43269
10,3,1.69,6.0,-13.48818
10,3,1.7,6.0,-12.89837
10,3,1.71,6.0,-11.6608
10,3,1.72,6.0,-9.79322
10,3,1.73,6.0,-7.33492
10,3,1.74,6.0,-4.34811
10,3,1.75,6.0,-0.91686
10,3,1.76,6.0,2.85498
10,3,1.77,6.0,6.84789
10,3,1.78,6.0,10.93155
10,3,1.79,6.0,14.96984
10,3,1.8,6.0,18.826
10,3,1.81,6.0,22.36689
10,3,1.82,6.0,25.46748
10,3,1.83,6.0,28.01511
10,3,1.84,6.0,29.91341
10,3,1.85,6.0,31.08598
10,3,1.86,6.0,31.47997
10,3,1.87,6.0,31.06828
10,3,1.88,6.0,29.8519
10,3,1.89,6.0,27.86056
10,3,1.9,6.0,25.15311
10,3,1.91,6.0,21.81636
10,3,1.92,6.0,17.96334
10,3,1.93,6.0,13.73024
10,3,1.94,6.0,9.2729
10,3,1.95,6.0,4.76171
10,3,1.96,6.0,0.37605
10,3,1.97,6.0,-3.70262
10,3,1.98,6.0,-7.29878
10,3,1.99,6.0,-10.25233
10,3,2.0,6.0,-12.428
