Ri,M,Eta,k,Nuval
-1,0,1.7,1.0,-19.89026
-1,0,1.71,1.0,-18.47066
-1,0,1.72,1.0,-16.48558
-1,0,1.73,1.0,-13.98409
-1,0,1.74,1.0,-11.03226
-1,0,1.75,1.0,-7.71196
-1,0,1.76,1.0,-4.11885
-1,0,1.77,1.0,-0.35995
-1,0,1.78,1.0,3.4494
-1,0,1.79,1.0,7.18906
-1,0,1.8,1.0,10.73765
-1,0,1.81,1.0,13.97668
-1,0,1.82,1.0,16.79443
-1,0,1.83,1.0,19.0905
-1,0,1.84,1.0,20.7791
-1,0,1.85,1.0,21.79296
-1,0,1.86,1.0,22.08628
-1,0,1.87,1.0,21.63718
-1,0,1.88,1.0,20.44956
-1,0,1.89,1.0,18.55357
-1,0,1.9,1.0,16.00582
-1,0,1.91,1.0,12.88812
-1,0,1.92,1.0,9.30539
-1,0,1.93,1.0,5.38261
-1,0,1.94,1.0,1.26087
-1,0,1.95,1.0,-2.90756
-1,0,1.96,1.0,-6.96465
-1,0,1.97,1.0,-10.7526
-1,0,1.98,1.0,-14.12012
-1,0,1.99,1.0,-16.92876
-1,0,2.0,1.0,-19.05861
5,0,0.0,2.0,4.70317
5,0,0.01,2.0,4.69233
5,0,0.02,2.0,4.66016
5,0,0.03,2.0,4.60639
5,0,0.04,2.0,4.53102
5,0,0.05,2.0,4.43422
5,0,0.06,2.0,4.31595
5,0,0.07,2.0,4.17619
5,0,0.08,2.0,4.01488
5,0,0.09,2.0,3.83216
5,0,0.1,2.0,3.62793
5,0,0.11,2.0,3.40232
5,0,0.12,2.0,3.1555
5,0,0.13,2.0,2.88735
5,0,0.14,2.0,2.5981
5,0,0.15,2.0,2.2879
5,0,0.16,2.0,1.95674
5,0,0.17,2.0,1.60503
5,0,0.18,2.0,1.23293
5,0,0.19,2.0,0.84073
5,0,0.2,2.0,0.42873
5,0,0.21,2.0,-0.00257
5,0,0.22,2.0,-0.45288
5,0,0.23,2.0,-0.9215
5,0,0.24,2.0,-1.40787
5,0,0.25,2.0,-1.91141
5,0,0.26,2.0,-2.43129
5,0,0.27,2.0,-2.9667
5,0,0.28,2.0,-3.51654
5,0,0.29,2.0,-4.07983
5,0,0.3,2.0,-4.65535
5,0,0.31,2.0,-5.24183
5,0,0.32,2.0,-5.83782
5,0,0.33,2.0,-6.44177
5,0,0.34,2.0,-7.05195
5,0,0.35,2.0,-7.66665
5,0,0.36,2.0,-8.28366
5,0,0.37,2.0,-8.90106
5,0,0.38,2.0,-9.51651
5,0,0.39,2.0,-10.12752
5,0,0.4,2.0,-10.73159
5,0,0.41,2.0,-11.32596
5,0,0.42,2.0,-11.90769
5,0,0.43,2.0,-12.47382
5,0,0.44,2.0,-13.02111
5,0,0.45,2.0,-13.54628
5,0,0.46,2.0,-14.04584
5,0,0.47,2.0,-14.5164
5,0,0.48,2.0,-14.9541
5,0,0.49,2.0,-15.35525
5,0,0.5,2.0,-15.71605
5,0,0.51,2.0,-16.03251
5,0,0.52,2.0,-16.30088
5,0,0.53,2.0,-16.51706
5,0,0.54,2.0,-16.67721
5,0,0.55,2.0,-16.77746
5,0,0.56,2.0,-16.81399
5,0,0.57,2.0,-16.78312
5,0,0.58,2.0,-16.6813
5,0,0.59,2.0,-16.50514
5,0,0.6,2.0,-16.25159
5,0,0.61,2.0,-15.91771
5,0,0.62,2.0,-15.50099
5,0,0.63,2.0,-14.99922
5,0,0.64,2.0,-14.41062
5,0,0.65,2.0,-13.73394
5,0,0.66,2.0,-12.96829
5,0,0.67,2.0,-12.1134
5,0,0.68,2.0,-11.16976
5,0,0.69,2.0,-10.13815
5,0,0.7,2.0,-9.0204
5,0,0.71,2.0,-7.8189
5,0,0.72,2.0,-6.5369
5,0,0.73,2.0,-5.17836
5,0,0.74,2.0,-3.74808
5,0,0.75,2.0,-2.25186
5,0,0.76,2.0,-0.69623
5,0,0.77,2.0,0.91131
5,0,0.78,2.0,2.56243
5,0,0.79,2.0,4.24791
5,0,0.8,2.0,5.95761
5,0,0.81,2.0,7.68069
5,0,0.82,2.0,9.40544
5,0,0.83,2.0,11.11952
5,0,0.84,2.0,12.80986
5,0,0.85,2.0,14.46288
5,0,0.86,2.0,16.06446
5,0,0.87,2.0,17.60028
5,0,0.88,2.0,19.0557
5,0,0.89,2.0,20.41592
5,0,0.9,2.0,21.66647
5,0,0.91,2.0,22.79281
5,0,0.92,2.0,23.78108
5,0,0.93,2.0,24.61787
5,0,0.94,2.0,25.29065
5,0,0.95,2.0,25.78785
5,0,0.96,2.0,26.09919
5,0,0.97,2.0,26.21569
5,0,0.98,2.0,26.13012
5,0,0.99,2.0,25.83705
5,0,1.0,2.0,25.33302
5,0,1.01,2.0,24.61679
5,0,1.02,2.0,23.68951
5,0,1.03,2.0,22.55481
5,0,1.04,2.0,21.21895
5,0,1.05,2.0,19.6909
5,0,1.06,2.0,17.98241
5,0,1.07,2.0,16.10802
5,0,1.08,2.0,14.08503
5,0,1.09,2.0,11.93343
5,0,1.1,2.0,9.67592
5,0,1.11,2.0,7.3374
5,0,1.12,2.0,4.94522
5,0,1.13,2.0,2.5286
5,0,1.14,2.0,0.11835
5,0,1.15,2.0,-2.25324
5,0,1.16,2.0,-4.5532
5,0,1.17,2.0,-6.74812
5,0,1.18,2.0,-8.80456
5,0,1.19,2.0,-10.68982
5,0,1.2,2.0,-12.37229
5,0,1.21,2.0,-13.8222
5,0,1.22,2.0,-15.01211
5,0,1.23,2.0,-15.91747
5,0,1.24,2.0,-16.51738
5,0,1.25,2.0,-16.79495
5,0,1.26,2.0,-16.73798
5,0,1.27,2.0,-16.33925
5,0,1.28,2.0,-15.59709
5,0,1.29,2.0,-14.51574
5,0,1.3,2.0,-13.10541
5,0,1.31,2.0,-11.38256
5,0,1.32,2.0,-9.36989
5,0,1.33,2.0,-7.09632
5,0,1.34,2.0,-4.5965
5,0,1.35,2.0,-1.91073
5,0,1.36,2.0,0.91558
5,0,1.37,2.0,3.83283
5,0,1.38,2.0,6.78764
5,0,1.39,2.0,9.72393
5,0,1.4,2.0,12.58406
5,0,1.41,2.0,15.30972
5,0,1.42,2.0,17.84336
5,0,1.43,2.0,20.12928
5,0,1.44,2.0,22.11517
5,0,1.45,2.0,23.75301
5,0,1.46,2.0,25.00096
5,0,1.47,2.0,25.82406
5,0,1.48,2.0,26.19561
5,0,1.49,2.0,26.09816
5,0,1.5,2.0,25.52444
5,0,1.51,2.0,24.47776
5,0,1.52,2.0,22.97273
5,0,1.53,2.0,21.03519
5,0,1.54,2.0,18.70224
5,0,1.55,2.0,16.02178
5,0,1.56,2.0,13.05182
5,0,1.57,2.0,9.8595
5,0,1.58,2.0,6.51963
