Ec,Xi,Eta,k,Fval,Gval
-1,0,2.8,1.0,1.00001,0.0
-1,0,2.82,1.0,0.99999,0.0
-1,0,2.84,1.0,0.99998,0.0
-1,0,2.86,1.0,0.99997,0.0
-1,0,2.88,1.0,0.99996,0.0
-1,0,2.9,1.0,0.99995,0.0
-1,0,2.92,1.0,0.99995,0.0
-1,0,2.94,1.0,0.99994,0.0
-1,0,2.96,1.0,0.99994,0.0
-1,0,2.98,1.0,0.99993,0.0
-1,0,3.0,1.0,0.99993,0.0
-1,0,3.02,1.0,0.99993,0.0
-1,0,3.04,1.0,0.99993,0.0
-1,0,3.06,1.0,0.99993,0.0
-1,0,3.08,1.0,0.99992,0.0
-1,0,3.1,1.0,0.99992,0.0
-1,0,3.12,1.0,0.99992,0.0
-1,0,3.14,1.0,0.99992,0.0
-1,0,3.16,1.0,0.99992,0.0
-1,0,3.18,1.0,0.99992,0.0
-1,0,3.2,1.0,0.99992,0.0
-1,0,3.22,1.0,0.99992,0.0
-1,0,3.24,1.0,0.99993,0.0
-1,0,3.26,1.0,0.99993,0.0
-1,0,3.28,1.0,0.99993,0.0
-1,0,3.3,1.0,0.99993,0.0
-1,0,3.32,1.0,0.99993,0.0
-1,0,3.34,1.0,0.99994,0.0
-1,0,3.36,1.0,0.99994,0.0
-1,0,3.38,1.0,0.99994,0.0
-1,0,3.4,1.0,0.99994,0.0
-1,0,3.42,1.0,0.99995,0.0
-1,0,3.44,1.0,0.99995,0.0
-1,0,3.46,1.0,0.99995,0.0
-1,0,3.48,1.0,0.99996,0.0
-1,0,3.5,1.0,0.99996,0.0
-1,0,3.52,1.0,0.99996,0.0
-1,0,3.54,1.0,0.99997,0.0
-1,0,3.56,1.0,0.99997,0.0
-1,0,3.58,1.0,0.99997,0.0
-1,0,3.6,1.0,0.99997,0.0
-1,0,3.62,1.0,0.99998,0.0
-1,0,3.64,1.0,0.99998,0.0
-1,0,3.66,1.0,0.99998,0.0
-1,0,3.68,1.0,0.99999,0.0
-1,0,3.7,1.0,0.99999,0.0
-1,0,3.72,1.0,0.99999,0.0
-1,0,3.74,1.0,1.0,0.0
-1,0,3.76,1.0,1.0,0.0
-1,0,3.78,1.0,1.0,0.0
-1,0,3.8,1.0,1.00001,0.0
-1,0,3.82,1.0,1.00001,0.0
-1,0,3.84,1.0,1.00001,0.0
-1,0,3.86,1.0,1.00002,0.0
-1,0,3.88,1.0,1.00002,0.0
-1,0,3.9,1.0,1.00003,0.0
-1,0,3.92,1.0,1.00003,0.0
-1,0,3.94,1.0,1.00003,0.0
-1,0,3.96,1.0,1.00003,0.0
-1,0,3.98,1.0,1.00004,0.0
-1,0,4.0,1.0,1.00004,0.0
-1,0,4.02,1.0,1.00005,0.0
-1,0,4.04,1.0,1.00005,0.0
-1,0,4.06,1.0,1.00005,0.0
-1,0,4.08,1.0,1.00006,0.0
-1,0,4.1,1.0,1.00006,0.0
-1,0,4.12,1.0,1.00007,0.0
-1,0,4.14,1.0,1.00007,0.0
-1,0,4.16,1.0,1.00007,0.0
-1,0,4.18,1.0,1.00008,0.0
-1,0,4.2,1.0,1.00008,0.0
-1,0,4.22,1.0,1.00009,0.0
-1,0,4.24,1.0,1.00009,0.0
-1,0,4.26,1.0,1.00009,0.0
-1,0,4.28,1.0,1.00009,0.0
