ETA,Cf
3.38,-5.53728
3.39,-10.78081
3.4,-14.2148
3.41,-15.42831
3.42,-14.25798
3.43,-10.81062
3.44,-5.45513
3.45,1.21659
3.46,8.45177
3.47,15.41453
3.48,21.27528
3.49,25.30803
3.5,26.98675
3.51,26.06323
3.52,22.60942
3.53,17.01713
3.54,9.95429
3.55,2.28575
3.56,-5.03241
3.57,-11.0706
3.58,-15.04214
3.59,-16.40468
3.6,-14.93694
3.61,-10.7821
3.62,-4.44766
3.63,3.24974
3.64,11.29078
3.65,18.5956
3.66,24.17386
3.67,27.25928
3.68,27.41555
3.69,24.59859
3.7,19.16888
3.71,11.85129
3.72,3.64506
3.73,-4.30753
3.74,-10.88098
3.75,-15.13506
3.76,-16.46014
3.77,-14.66889
3.78,-10.0193
3.79,-3.17342
3.8,4.89469
3.81,13.03305
3.82,20.07155
3.83,24.98927
3.84,27.06514
3.85,25.99146
3.86,21.92754
3.87,15.48062
3.88,7.61082
3.89,-0.51947
3.9,-7.71665
3.91,-12.92412
3.92,-15.36928
3.93,-14.67973
3.94,-10.94657
3.95,-4.72177
3.96,3.05764
3.97,11.20814
3.98,18.48328
3.99,23.76826
4.0,26.25048
4.01,25.53694
