ETA,Cf
0.0,4.70317
0.01,4.69233
0.02,4.66014
0.03,4.60655
0.04,4.53126
0.05,4.43472
0.06,4.31671
0.07,4.17758
0.08,4.0172
0.09,3.83575
0.1,3.63345
0.11,3.41046
0.12,3.16697
0.13,2.90317
0.14,2.61936
0.15,2.31582
0.16,1.99292
0.17,1.65106
0.18,1.29061
0.19,0.91219
0.2,0.51626
0.21,0.10341
0.22,-0.32567
0.23,-0.77015
0.24,-1.22933
0.25,-1.70234
0.26,-2.18818
0.27,-2.68567
0.28,-3.1939
0.29,-3.7115
0.3,-4.23716
0.31,-4.76956
0.32,-5.30711
0.33,-5.84828
0.34,-6.39122
0.35,-6.93414
0.36,-7.47513
0.37,-8.0121
0.38,-8.54288
0.39,-9.0652
0.4,-9.57658
0.41,-10.0745
0.42,-10.55628
0.43,-11.01919
0.44,-11.46028
0.45,-11.87663
0.46,-12.26512
0.47,-12.62252
0.48,-12.94556
0.49,-13.23092
0.5,-13.47522
0.51,-13.67497
0.52,-13.82678
0.53,-13.92723
0.54,-13.9729
0.55,-13.96048
0.56,-13.88667
0.57,-13.74839
0.58,-13.54267
0.59,-13.26669
0.6,-12.91805
0.61,-12.4944
0.62,-11.99384
0.63,-11.41479
0.64,-10.75606
0.65,-10.01703
0.66,-9.1974
0.67,-8.29763
0.68,-7.31855
0.69,-6.26177
0.7,-5.12954
0.71,-3.92476
0.72,-2.65119
0.73,-1.31322
0.74,0.08383
0.75,1.53393
0.76,3.03018
0.77,4.56495
0.78,6.12965
0.79,7.71503
0.8,9.31106
0.81,10.90692
0.82,12.49135
0.83,14.05229
0.84,15.57736
0.85,17.0537
0.86,18.46833
0.87,19.80804
0.88,21.05983
0.89,22.21082
0.9,23.24862
0.91,24.1615
0.92,24.93864
0.93,25.5703
0.94,26.04797
0.95,26.3648
0.96,26.51544
0.97,26.49629
0.98,26.3053
0.99,25.94193
1.0,25.40674
1.01,24.70118
1.02,23.82749
1.03,22.78857
1.04,21.58808
1.05,20.23095
1.06,18.72378
1.07,17.07537
1.08,15.29694
1.09,13.40253
1.1,11.40905
1.11,9.33615
1.12,7.20614
1.13,5.04374
1.14,2.87563
1.15,0.73021
1.16,-1.36286
1.17,-3.37323
1.18,-5.2704
1.19,-7.02397
1.2,-8.60458
1.21,-9.98424
1.22,-11.13702
1.23,-12.03963
1.24,-12.67181
1.25,-13.01716
1.26,-13.06331
1.27,-12.80262
1.28,-12.23235
1.29,-11.35492
1.3,-10.17829
1.31,-8.71573
1.32,-6.98589
1.33,-5.0125
1.34,-2.82402
1.35,-0.45299
1.36,2.06446
1.37,4.68958
1.38,7.38162
1.39,10.09821
1.4,12.79565
1.41,15.42809
1.42,17.94704
1.43,20.30046
1.44,22.43339
1.45,24.28932
1.46,25.81333
1.47,26.9551
1.48,27.67207
1.49,27.93167
1.5,27.71306
1.51,27.0078
1.52,25.8204
1.53,24.16829
1.54,22.08151
1.55,19.6021
1.56,16.7834
1.57,13.68885
1.58,10.39073
1.59,6.96846
1.6,3.5069
1.61,0.09421
1.62,-3.18022
1.63,-6.22795
1.64,-8.96397
1.65,-11.30885
1.66,-13.19076
1.67,-14.54734
1.68,-15.32749
1.69,-15.49216
1.7,-15.01611
1.71,-13.8889
1.72,-12.11703
1.73,-9.72742
1.74,-6.77143
1.75,-3.32783
1.76,0.49811
1.77,4.57895
1.78,8.77318
1.79,12.93287
1.8,16.91062
1.81,20.56546
1.82,23.76707
1.83,26.3999
1.84,28.3665
1.85,29.59058
1.86,30.01974
1.87,29.62788
1.88,28.41656
1.89,26.41587
1.9,23.68472
1.91,20.30955
1.92,16.40279
1.93,12.10003
1.94,7.55656
1.95,2.94327
1.96,-1.55811
1.97,-5.76067
1.98,-9.47873
1.99,-12.53726
2.0,-14.78394
2.01,-16.10373
2.02,-16.4306
2.03,-15.75204
2.04,-14.10497
2.05,-11.56842
2.06,-8.25627
2.07,-4.31145
2.08,0.09893
2.09,4.7883
2.1,9.5566
2.11,14.1967
2.12,18.50263
2.13,22.27788
