ETA,Cf
0.0,0.57784
0.01,0.567
0.02,0.53484
0.03,0.48119
0.04,0.4063
0.05,0.31049
0.06,0.19375
0.07,0.0567
0.08,-0.10032
0.09,-0.27685
0.1,-0.4726
0.11,-0.68685
0.12,-0.91906
0.13,-1.16867
0.14,-1.43502
0.15,-1.71768
0.16,-2.01593
0.17,-2.32926
0.18,-2.65714
0.19,-2.99914
0.2,-3.35464
0.21,-3.72327
0.22,-4.10442
0.23,-4.49771
0.24,-4.90248
0.25,-5.3182
0.26,-5.74425
0.27,-6.17994
0.28,-6.62441
0.29,-7.07685
0.3,-7.53633
0.31,-8.00173
0.32,-8.47189
0.33,-8.94554
0.34,-9.42123
0.35,-9.8974
0.36,-10.37228
0.37,-10.84413
0.38,-11.31098
0.39,-11.77064
0.4,-12.2208
0.41,-12.65914
0.42,-13.08306
0.43,-13.48987
0.44,-13.87675
0.45,-14.24074
0.46,-14.5788
0.47,-14.88772
0.48,-15.16435
0.49,-15.40527
0.5,-15.6071
0.51,-15.7664
0.52,-15.87981
0.53,-15.94376
0.54,-15.95497
0.55,-15.91
0.56,-15.80562
0.57,-15.63874
0.58,-15.40633
0.59,-15.10568
0.6,-14.73422
0.61,-14.28971
0.62,-13.7702
0.63,-13.17417
0.64,-12.50048
0.65,-11.74842
0.66,-10.91782
0.67,-10.00911
0.68,-9.02322
0.69,-7.96177
0.7,-6.82712
0.71,-5.62225
0.72,-4.35096
0.73,-3.01783
0.74,-1.62825
0.75,-0.18844
0.76,1.29455
0.77,2.81285
0.78,4.35767
0.79,5.91949
0.8,7.48788
0.81,9.05183
0.82,10.59946
0.83,12.1184
0.84,13.59559
0.85,15.0176
0.86,16.3706
0.87,17.64069
0.88,18.81373
0.89,19.87583
0.9,20.81335
0.91,21.61327
0.92,22.26332
0.93,22.75243
0.94,23.07117
0.95,23.21213
0.96,23.17101
0.97,22.94787
0.98,22.54998
0.99,21.99796
1.0,21.33367
1.01,20.60602
1.02,19.82105
1.03,18.94748
1.04,17.95405
1.05,16.82089
1.06,15.53826
1.07,14.10456
1.08,12.52477
1.09,10.80969
1.1,8.97504
1.11,7.04076
1.12,5.03036
1.13,2.97011
1.14,0.88859
1.15,-1.18404
1.16,-3.21649
1.17,-5.17709
1.18,-7.03411
1.19,-8.75632
1.2,-10.31378
1.21,-11.67796
1.22,-12.82271
1.23,-13.72462
1.24,-14.36352
1.25,-14.72321
1.26,-14.79178
1.27,-14.56199
1.28,-14.03199
1.29,-13.2051
1.3,-12.09048
1.31,-10.70296
1.32,-9.06299
1.33,-7.19652
1.34,-5.13458
1.35,-2.91257
1.36,-0.56941
1.37,1.85382
1.38,4.31605
1.39,6.78012
1.4,9.21987
1.41,11.63473
1.42,14.054
1.43,16.46726
1.44,18.77962
1.45,20.87639
1.46,22.66094
1.47,24.0577
1.48,25.00976
1.49,25.47751
1.5,25.43751
1.51,24.88178
1.52,23.81682
1.53,22.26285
1.54,20.25271
1.55,17.83122
1.56,15.05388
1.57,11.9858
1.58,8.70043
1.59,5.27785
1.6,1.80311
1.61,-1.63594
1.62,-4.95068
1.63,-8.054
1.64,-10.86272
1.65,-13.29992
1.66,-15.29683
1.67,-16.79498
1.68,-17.74747
1.69,-18.11953
1.7,-17.88792
1.71,-17.03749
1.72,-15.55148
1.73,-13.39187
1.74,-10.50916
1.75,-6.95656
1.76,-2.90632
1.77,1.44569
1.78,5.91458
1.79,10.32881
1.8,14.52981
1.81,18.37244
1.82,21.72674
1.83,24.47961
1.84,26.537
1.85,27.82606
1.86,28.29741
1.87,27.92706
1.88,26.71793
1.89,24.70078
1.9,21.93405
1.91,18.50305
1.92,14.5179
1.93,10.11111
1.94,5.43365
1.95,0.65105
1.96,-4.06047
1.97,-8.51755
1.98,-12.52962
1.99,-15.89084
2.0,-18.36141
2.01,-19.71232
2.02,-19.88176
2.03,-18.94524
2.04,-17.01155
2.05,-14.20031
2.06,-10.64521
2.07,-6.49694
2.08,-1.92361
2.09,2.89049
2.1,7.7491
2.11,12.44893
2.12,16.78712
2.13,20.56929
2.14,23.6184
2.15,25.78353
2.16,26.94807
2.17,27.037
2.18,26.02281
2.19,23.93
2.2,20.83832
2.21,16.88595
2.22,12.27585
2.23,7.29313
2.24,2.31722
2.25,-2.31128
2.26,-6.42958
2.27,-9.93803
2.28,-12.72907
2.29,-14.69277
2.3,-15.7336
2.31,-15.78579
2.32,-14.82534
2.33,-12.87842
2.34,-10.02555
2.35,-6.40168
2.36,-2.19162
2.37,2.3785
2.38,7.05278
2.39,11.56038
2.4,15.63197
2.41,19.01833
2.42,21.51019
2.43,22.96198
2.44,23.32516
2.45,22.69389
2.46,21.24243
2.47,19.01371
2.48,15.99851
2.49,12.26813
2.5,7.98712
2.51,3.39212
2.52,-1.23388
2.53,-5.58832
2.54,-9.37566
2.55,-12.33224
2.56,-14.2475
2.57,-14.98094
2.58,-14.47344
2.59,-12.7525
2.6,-9.93074
2.61,-6.19668
2.62,-1.79656
2.63,2.99655
