ETA,Cf
0.0,1.48108
0.01,1.47038
0.02,1.43815
0.03,1.38448
0.04,1.30942
0.05,1.21318
0.06,1.09595
0.07,0.95783
0.08,0.79912
0.09,0.62017
0.1,0.42129
0.11,0.20284
0.12,-0.03484
0.13,-0.2912
0.14,-0.56572
0.15,-0.85802
0.16,-1.16735
0.17,-1.49317
0.18,-1.83496
0.19,-2.19196
0.2,-2.56367
0.21,-2.94932
0.22,-3.3483
0.23,-3.75984
0.24,-4.18328
0.25,-4.61783
0.26,-5.06271
0.27,-5.51708
0.28,-5.98009
0.29,-6.45076
0.3,-6.92803
0.31,-7.41077
0.32,-7.89777
0.33,-8.38771
0.34,-8.87914
0.35,-9.3705
0.36,-9.86006
0.37,-10.34597
0.38,-10.82627
0.39,-11.29886
0.4,-11.76144
0.41,-12.21164
0.42,-12.64692
0.43,-13.06455
0.44,-13.4618
0.45,-13.83565
0.46,-14.18311
0.47,-14.50104
0.48,-14.78613
0.49,-15.03514
0.5,-15.24463
0.51,-15.41123
0.52,-15.53144
0.53,-15.60191
0.54,-15.6192
0.55,-15.57997
0.56,-15.48094
0.57,-15.31906
0.58,-15.09131
0.59,-14.79493
0.6,-14.4274
0.61,-13.9865
0.62,-13.47025
0.63,-12.87713
0.64,-12.20601
0.65,-11.45615
0.66,-10.62741
0.67,-9.72019
0.68,-8.73543
0.69,-7.67473
0.7,-6.54043
0.71,-5.3355
0.72,-4.06371
0.73,-2.72965
0.74,-1.33864
0.75,0.10309
0.76,1.58853
0.77,3.10984
0.78,4.65831
0.79,6.22446
0.8,7.79796
0.81,9.36783
0.82,10.9223
0.83,12.44909
0.84,13.93533
0.85,15.3677
0.86,16.73267
0.87,18.01642
0.88,19.20517
0.89,20.28548
0.9,21.24412
0.91,22.06868
0.92,22.7477
0.93,23.27113
0.94,23.63069
0.95,23.82084
0.96,23.83909
0.97,23.68727
0.98,23.37243
0.99,22.90693
1.0,22.3065
1.01,21.58516
1.02,20.74925
1.03,19.79613
1.04,18.71742
1.05,17.5043
1.06,16.15108
1.07,14.65688
1.08,13.02617
1.09,11.26866
1.1,9.39889
1.11,7.43568
1.12,5.40145
1.13,3.32164
1.14,1.22405
1.15,-0.86171
1.16,-2.90491
1.17,-4.87418
1.18,-6.73807
1.19,-8.46562
1.2,-10.02692
1.21,-11.39362
1.22,-12.53957
1.23,-13.44138
1.24,-14.07889
1.25,-14.43582
1.26,-14.50017
1.27,-14.26466
1.28,-13.72715
1.29,-12.89084
1.3,-11.76453
1.31,-10.3627
1.32,-8.70527
1.33,-6.81751
1.34,-4.72952
1.35,-2.4754
1.36,-0.09252
1.37,2.38061
1.38,4.90592
1.39,7.44926
1.4,9.98365
1.41,12.4904
1.42,14.95131
1.43,17.33046
1.44,19.56448
1.45,21.57297
1.46,23.2753
1.47,24.60093
1.48,25.49373
1.49,25.91311
1.5,25.8343
1.51,25.24777
1.52,24.15867
1.53,22.58599
1.54,20.56168
1.55,18.12976
1.56,15.34509
1.57,12.27248
1.58,8.98501
1.59,5.56271
1.6,2.09053
1.61,-1.34355
1.62,-4.65074
1.63,-7.74365
1.64,-10.53863
1.65,-12.95808
1.66,-14.93233
1.67,-16.40155
1.68,-17.31697
1.69,-17.64115
1.7,-17.34717
1.71,-16.41584
1.72,-14.83145
1.73,-12.5811
1.74,-9.67289
1.75,-6.17144
1.76,-2.20555
1.77,2.06027
1.78,6.45294
1.79,10.80361
1.8,14.95329
1.81,18.75541
1.82,22.07844
1.83,24.80766
1.84,26.84775
1.85,28.12475
1.86,28.58845
1.87,28.21429
1.88,27.00495
1.89,24.99094
1.9,22.23089
1.91,18.81033
1.92,14.84006
1.93,10.45338
1.94,5.8026
1.95,1.05529
1.96,-3.60943
1.97,-8.00401
1.98,-11.9333
1.99,-15.19371
2.0,-17.58001
2.01,-18.92509
2.02,-19.15888
2.03,-18.30862
2.04,-16.45706
2.05,-13.7157
2.06,-10.21716
2.07,-6.11316
2.08,-1.57352
2.09,3.21579
2.1,8.057
2.11,12.74556
2.12,17.07781
2.13,20.85878
2.14,23.91118
2.15,26.08426
2.16,27.26184
2.17,27.36978
2.18,26.38204
2.19,24.32533
2.2,21.28297
2.21,17.39809
2.22,12.878
2.23,7.99801
2.24,3.08154
2.25,-1.57684
2.26,-5.77405
2.27,-9.36764
2.28,-12.23367
2.29,-14.25859
2.3,-15.34723
2.31,-15.43539
2.32,-14.50092
2.33,-12.57151
2.34,-9.72911
2.35,-6.10949
2.36,-1.89798
