ETA,Cf
0.0,7.49848
0.01,7.48765
0.02,7.45543
0.03,7.40161
0.04,7.32627
0.05,7.22965
0.06,7.11145
0.07,6.97178
0.08,6.81074
0.09,6.62844
0.1,6.42481
0.11,6.19997
0.12,5.95411
0.13,5.68728
0.14,5.39966
0.15,5.09146
0.16,4.76288
0.17,4.41416
0.18,4.04569
0.19,3.65782
0.2,3.25097
0.21,2.82564
0.22,2.38239
0.23,1.92187
0.24,1.44488
0.25,0.95216
0.26,0.44469
0.27,-0.07654
0.28,-0.61034
0.29,-1.15547
0.3,-1.71052
0.31,-2.27404
0.32,-2.84449
0.33,-3.41993
0.34,-3.99867
0.35,-4.57864
0.36,-5.15769
0.37,-5.73357
0.38,-6.3039
0.39,-6.86613
0.4,-7.41776
0.41,-7.95597
0.42,-8.47792
0.43,-8.98062
0.44,-9.46113
0.45,-9.91614
0.46,-10.34255
0.47,-10.73694
0.48,-11.09599
0.49,-11.41626
0.5,-11.69424
0.51,-11.92647
0.52,-12.10946
0.53,-12.23969
0.54,-12.31381
0.55,-12.32828
0.56,-12.28001
0.57,-12.16574
0.58,-11.98258
0.59,-11.72766
0.6,-11.39847
0.61,-10.99276
0.62,-10.50856
0.63,-9.94428
0.64,-9.29879
0.65,-8.57135
0.66,-7.76172
0.67,-6.87021
0.68,-5.8977
0.69,-4.84578
0.7,-3.71655
0.71,-2.51298
0.72,-1.23867
0.73,0.10201
0.74,1.50386
0.75,2.96094
0.76,4.46646
0.77,6.01285
0.78,7.59174
0.79,9.19404
0.8,10.8098
0.81,12.42858
0.82,14.03913
0.83,15.62972
0.84,17.18818
0.85,18.70189
0.86,20.15811
0.87,21.5439
0.88,22.84636
0.89,24.05277
0.9,25.15069
0.91,26.12824
0.92,26.97414
0.93,27.67784
0.94,28.2297
0.95,28.62106
0.96,28.84424
0.97,28.89279
0.98,28.76125
0.99,28.4455
1.0,27.94281
1.01,27.25175
1.02,26.37278
1.03,25.30834
1.04,24.06316
1.05,22.64445
1.06,21.06216
1.07,19.32891
1.08,17.46013
1.09,15.47366
1.1,13.38962
1.11,11.23053
1.12,9.02042
1.13,6.78527
1.14,4.55233
1.15,2.3502
1.16,0.20826
1.17,-1.84338
1.18,-3.77466
