ETA,Cf
0.0,4.70317
0.01,4.69233
0.02,4.66016
0.03,4.60639
0.04,4.53102
0.05,4.43422
0.06,4.31595
0.07,4.17619
0.08,4.01488
0.09,3.83216
0.1,3.62793
0.11,3.40232
0.12,3.1555
0.13,2.88735
0.14,2.5981
0.15,2.2879
0.16,1.95674
0.17,1.60503
0.18,1.23293
0.19,0.84073
0.2,0.42873
0.21,-0.00257
0.22,-0.45288
0.23,-0.9215
0.24,-1.40787
0.25,-1.91141
0.26,-2.43129
0.27,-2.9667
0.28,-3.51654
0.29,-4.07983
0.3,-4.65535
0.31,-5.24183
0.32,-5.83782
0.33,-6.44177
0.34,-7.05195
0.35,-7.66665
0.36,-8.28366
0.37,-8.90106
0.38,-9.51651
0.39,-10.12752
0.4,-10.73159
0.41,-11.32596
0.42,-11.90769
0.43,-12.47382
0.44,-13.02111
0.45,-13.54628
0.46,-14.04584
0.47,-14.5164
0.48,-14.9541
0.49,-15.35525
0.5,-15.71605
0.51,-16.03251
0.52,-16.30088
0.53,-16.51706
0.54,-16.67721
0.55,-16.77746
0.56,-16.81399
0.57,-16.78312
0.58,-16.6813
0.59,-16.50514
0.6,-16.25159
0.61,-15.91771
0.62,-15.50099
0.63,-14.99922
0.64,-14.41062
0.65,-13.73394
0.66,-12.96829
0.67,-12.1134
0.68,-11.16976
0.69,-10.13815
0.7,-9.0204
0.71,-7.8189
0.72,-6.5369
0.73,-5.17836
0.74,-3.74808
0.75,-2.25186
0.76,-0.69623
0.77,0.91131
0.78,2.56243
0.79,4.24791
0.8,5.95761
0.81,7.68069
0.82,9.40544
0.83,11.11952
0.84,12.80986
0.85,14.46288
0.86,16.06446
0.87,17.60028
0.88,19.0557
0.89,20.41592
0.9,21.66647
0.91,22.79281
0.92,23.78108
0.93,24.61787
0.94,25.29065
0.95,25.78785
0.96,26.09919
0.97,26.21569
0.98,26.13012
0.99,25.83705
1.0,25.33302
1.01,24.61679
1.02,23.68951
1.03,22.55481
1.04,21.21895
1.05,19.6909
1.06,17.98241
1.07,16.10802
1.08,14.08503
1.09,11.93343
1.1,9.67592
1.11,7.3374
1.12,4.94522
1.13,2.5286
1.14,0.11835
1.15,-2.25324
1.16,-4.5532
1.17,-6.74812
1.18,-8.80456
1.19,-10.68982
1.2,-12.37229
1.21,-13.8222
1.22,-15.01211
1.23,-15.91747
1.24,-16.51738
1.25,-16.79495
1.26,-16.73798
1.27,-16.33925
1.28,-15.59709
1.29,-14.51574
1.3,-13.10541
1.31,-11.38256
1.32,-9.36989
1.33,-7.09632
1.34,-4.5965
1.35,-1.91073
1.36,0.91558
1.37,3.83283
1.38,6.78764
1.39,9.72393
1.4,12.58406
1.41,15.30972
1.42,17.84336
1.43,20.12928
1.44,22.11517
1.45,23.75301
1.46,25.00096
1.47,25.82406
1.48,26.19561
1.49,26.09816
1.5,25.52444
1.51,24.47776
1.52,22.97273
1.53,21.03519
1.54,18.70224
1.55,16.02178
1.56,13.05182
1.57,9.8595
1.58,6.51963
1.59,3.11332
1.6,-0.27414
1.61,-3.55519
1.62,-6.64234
1.63,-9.45047
1.64,-11.89945
1.65,-13.91644
1.66,-15.43833
1.67,-16.41397
1.68,-16.80612
1.69,-16.59315
1.7,-15.77033
1.71,-14.35082
1.72,-12.36562
1.73,-9.86384
1.74,-6.9116
1.75,-3.59082
1.76,0.0028
1.77,3.76224
1.78,7.57216
1.79,11.3123
1.8,14.86129
1.81,18.10066
1.82,20.91878
1.83,23.21512
1.84,24.90399
1.85,25.91817
1.86,26.21179
1.87,25.76306
1.88,24.57575
1.89,22.68006
1.9,20.13256
1.91,17.01495
1.92,13.43221
1.93,9.50938
1.94,5.38742
1.95,1.21858
1.96,-2.8391
1.97,-6.62785
1.98,-9.99622
1.99,-12.80576
2.0,-14.9365
2.01,-16.29298
2.02,-16.80861
2.03,-16.44987
2.04,-15.2186
2.05,-13.15321
2.06,-10.3283
2.07,-6.85276
2.08,-2.86615
2.09,1.46636
2.1,5.9605
2.11,10.42021
2.12,14.64654
