ETA,Cf
0.0,1.48108
0.01,1.47041
0.02,1.43813
0.03,1.38446
0.04,1.30917
0.05,1.21254
0.06,1.09458
0.07,0.95539
0.08,0.79495
0.09,0.61346
0.1,0.41106
0.11,0.18784
0.12,-0.05593
0.13,-0.32002
0.14,-0.60423
0.15,-0.90832
0.16,-1.2319
0.17,-1.5746
0.18,-1.9361
0.19,-2.31582
0.2,-2.71332
0.21,-3.12798
0.22,-3.55931
0.23,-4.0065
0.24,-4.46895
0.25,-4.94569
0.26,-5.43598
0.27,-5.93878
0.28,-6.45302
0.29,-6.97765
0.3,-7.5114
0.31,-8.05297
0.32,-8.60098
0.33,-9.15388
0.34,-9.70996
0.35,-10.26753
0.36,-10.82472
0.37,-11.37944
0.38,-11.92958
0.39,-12.47289
0.4,-13.00693
0.41,-13.52913
0.42,-14.03678
0.43,-14.52711
0.44,-14.99714
0.45,-15.44377
0.46,-15.86379
0.47,-16.25395
0.48,-16.61078
0.49,-16.93089
0.5,-17.21063
0.51,-17.44643
0.52,-17.63471
0.53,-17.77184
0.54,-17.85416
0.55,-17.87817
0.56,-17.84041
0.57,-17.73745
0.58,-17.56618
0.59,-17.3236
0.6,-17.00689
0.61,-16.61355
0.62,-16.14143
0.63,-15.58866
0.64,-14.95387
0.65,-14.2361
0.66,-13.4349
0.67,-12.55036
0.68,-11.58321
0.69,-10.53481
0.7,-9.40711
0.71,-8.2029
0.72,-6.92568
0.73,-5.57977
0.74,-4.17031
0.75,-2.70318
0.76,-1.18524
0.77,0.37587
0.78,1.97169
0.79,3.59283
0.8,5.2292
0.81,6.86993
0.82,8.5034
0.83,10.11736
0.84,11.69904
0.85,13.23512
0.86,14.71203
0.87,16.11594
0.88,17.43297
0.89,18.64936
0.9,19.75163
0.91,20.72681
0.92,21.56269
0.93,22.24806
0.94,22.77294
0.95,23.12904
0.96,23.30973
0.97,23.31055
0.98,23.12899
0.99,22.76481
1.0,22.21925
1.01,21.49477
1.02,20.5944
1.03,19.52173
1.04,18.28072
1.05,16.87652
1.06,15.31612
1.07,13.6087
1.08,11.76633
1.09,9.80393
1.1,7.73955
1.11,5.59406
1.12,3.39107
1.13,1.15655
1.14,-1.08136
1.15,-3.29294
1.16,-5.44716
1.17,-7.51242
1.18,-9.45684
1.19,-11.24911
1.2,-12.8587
1.21,-14.25683
1.22,-15.41682
1.23,-16.31477
1.24,-16.9301
1.25,-17.24615
1.26,-17.25076
1.27,-16.93642
1.28,-16.30097
1.29,-15.34774
1.3,-14.08586
1.31,-12.53011
1.32,-10.70118
1.33,-8.62526
1.34,-6.33381
1.35,-3.86293
1.36,-1.2527
1.37,1.45357
1.38,4.21064
1.39,6.97214
1.4,9.69158
1.41,12.32224
1.42,14.81657
1.43,17.12462
1.44,19.19376
1.45,20.97027
1.46,22.40205
1.47,23.44242
1.48,24.0526
1.49,24.20386
1.5,23.87885
1.51,23.0723
1.52,21.79156
1.53,20.05654
1.54,17.8995
1.55,15.36457
1.56,12.50685
1.57,9.39127
1.58,6.09127
1.59,2.68703
