ETA,Cf
0,0.57784
0.01,0.56699
0.02,0.53478
0.03,0.48104
0.04,0.4059
0.05,0.30936
0.06,0.19168
0.07,0.05277
0.08,-0.10718
0.09,-0.28788
0.1,-0.48925
0.11,-0.71089
0.12,-0.95269
0.13,-1.21438
0.14,-1.49558
0.15,-1.79596
0.16,-2.1152
0.17,-2.45272
0.18,-2.80816
0.19,-3.18113
0.2,-3.57094
0.21,-3.97716
0.22,-4.39921
0.23,-4.83639
0.24,-5.28805
0.25,-5.75337
0.26,-6.23161
0.27,-6.72183
0.28,-7.22312
0.29,-7.73442
0.3,-8.25463
0.31,-8.78244
0.32,-9.31659
0.33,-9.85558
0.34,-10.39784
0.35,-10.94172
0.36,-11.48533
0.37,-12.0267
0.38,-12.56375
0.39,-13.09422
0.4,-13.61571
0.41,-14.12572
0.42,-14.62158
0.43,-15.10044
0.44,-15.55937
0.45,-15.99527
0.46,-16.405
0.47,-16.78524
0.48,-17.13262
0.49,-17.44361
0.5,-17.71469
0.51,-17.9422
0.52,-18.12259
0.53,-18.25219
0.54,-18.32742
0.55,-18.34475
0.56,-18.30067
0.57,-18.19185
0.58,-18.01509
0.59,-17.76737
0.6,-17.44598
0.61,-17.04833
0.62,-16.57229
0.63,-16.01607
0.64,-15.37822
0.65,-14.65782
0.66,-13.85439
0.67,-12.96813
0.68,-11.99968
0.69,-10.95039
0.7,-9.82235
0.71,-8.61831
0.72,-7.34177
0.73,-5.9971
0.74,-4.58944
0.75,-3.12474
0.76,-1.60989
0.77,-0.05256
0.78,1.53869
0.79,3.15449
0.8,4.78464
0.81,6.41816
0.82,8.04335
0.83,9.64789
0.84,11.2188
0.85,12.74271
0.86,14.20579
0.87,15.59406
0.88,16.89337
0.89,18.08962
0.9,19.16903
0.91,20.11821
0.92,20.92461
0.93,21.57646
0.94,22.06343
0.95,22.37677
0.96,22.51005
0.97,22.45984
0.98,22.22665
0.99,21.81631
1,21.24002
1.01,20.50935
1.02,19.62916
1.03,18.59667
1.04,17.40711
1.05,16.05824
1.06,14.55233
1.07,12.8961
1.08,11.10035
1.09,9.17971
1.1,7.15212
1.11,5.03878
1.12,2.86365
1.13,0.65307
1.14,-1.56436
1.15,-3.75857
1.16,-5.89826
1.17,-7.95151
1.18,-9.88627
1.19,-11.67086
1.2,-13.27475
1.21,-14.669
1.22,-15.82682
1.23,-16.72431
1.24,-17.3409
1.25,-17.65998
1.26,-17.66935
1.27,-17.36171
1.28,-16.73506
1.29,-15.79288
1.3,-14.54455
1.31,-13.00523
1.32,-11.19603
1.33,-9.14365
1.34,-6.8802
1.35,-4.4426
1.36,-1.87182
1.37,0.78804
1.38,3.49124
1.39,6.19248
1.4,8.84979
1.41,11.42756
1.42,13.8947
1.43,16.2115
1.44,18.31945
1.45,20.15116
1.46,21.64311
1.47,22.74182
1.48,23.4053
1.49,23.60363
1.5,23.31923
1.51,22.54708
1.52,21.29503
1.53,19.58353
1.54,17.4454
1.55,14.92522
1.56,12.07846
1.57,8.97041
1.58,5.67469
1.59,2.27168
1.6,-1.1534
1.61,-4.51267
1.62,-7.71766
1.63,-10.68174
1.64,-13.32247
1.65,-15.56405
1.66,-17.33949
1.67,-18.59257
1.68,-19.27957
1.69,-19.37045
1.7,-18.84916
1.71,-17.71272
1.72,-15.96901
1.73,-13.63382
1.74,-10.73741
1.75,-7.34677
1.76,-3.5736
1.77,0.44473
1.78,4.56303
1.79,8.63607
1.8,12.52212
1.81,16.08624
1.82,19.20381
1.83,21.76402
1.84,23.67341
1.85,24.85892
1.86,25.27073
1.87,24.88446
1.88,23.70272
1.89,21.75568
1.9,19.10116
1.91,15.82334
1.92,12.03089
1.93,7.8539
1.94,3.44025
1.95,-1.049
1.96,-5.44417
1.97,-9.5718
1.98,-13.25861
1.99,-16.33406
2,-18.63371
2.01,-20.01949
2.02,-20.41656
2.03,-19.81997
2.04,-18.27213
2.05,-15.84854
2.06,-12.65431
2.07,-8.82267
2.08,-4.51227
2.09,0.09703
2.1,4.8103
2.11,9.42396
2.12,13.7344
2.13,17.54606
2.14,20.68059
2.15,22.98536
2.16,24.34138
2.17,24.67032
2.18,23.94027
2.19,22.16939
2.2,19.42819
2.21,15.84029
2.22,11.58226
2.23,6.88302
2.24,2.01344
2.25,-2.75423
2.26,-7.19105
2.27,-11.104
2.28,-14.3193
2.29,-16.68396
2.3,-18.07593
2.31,-18.41463
2.32,-17.66895
2.33,-15.86287
2.34,-13.07708
2.35,-9.44799
2.36,-5.16245
2.37,-0.44948
2.38,4.43146
2.39,9.20461
2.4,13.59392
2.41,17.34059
2.42,20.22095
2.43,22.06513
2.44,22.7758
2.45,22.34218
2.46,20.82218
2.47,18.2941
2.48,14.85955
2.49,10.67612
2.5,5.96454
2.51,0.99615
2.52,-3.92663
2.53,-8.49219
2.54,-12.40216
2.55,-15.39348
2.56,-17.25796
2.57,-17.85872
2.58,-17.1416
2.59,-15.14067
2.6,-11.97745
2.61,-7.85335
2.62,-3.03438
2.63,2.17172
2.64,7.44511
2.65,12.47733
2.66,16.95009
2.67,20.5171
2.68,22.86419
2.69,23.76885
2.7,23.12554
2.71,20.9525
2.72,17.38922
2.73,12.68523
2.74,7.18121
2.75,1.28356
2.76,-4.56573
2.77,-9.92296
2.78,-14.37561
2.79,-17.57357
2.8,-19.25493
2.81,-19.26235
2.82,-17.5476
2.83,-14.16987
2.84,-9.32756
2.85,-3.40653
2.86,3.07123
2.87,9.53555
2.88,15.42681
2.89,20.23935
2.9,23.5589
2.91,25.09456
2.92,24.70295
2.93,22.40094
2.94,18.36696
2.95,12.92884
2.96,6.54084
2.97,-0.25061
2.98,-6.84589
2.99,-12.63348
3,-17.03165
3.01,-19.56904
3.02,-20.00195
3.03,-18.32834
3.04,-14.73497
3.05,-9.56659
3.06,-3.30059
3.07,3.48723
3.08,10.1687
3.09,16.11722
3.1,20.76391
3.11,23.65273
3.12,24.48689
3.13,23.16433
3.14,19.79762
3.15,14.71922
3.16,8.46924
