ETA,Cf
0.0,7.49848
0.01,7.48765
0.02,7.45539
0.03,7.40163
0.04,7.32625
0.05,7.22947
0.06,7.11119
0.07,6.9715
0.08,6.81017
0.09,6.62743
0.1,6.42325
0.11,6.19758
0.12,5.95064
0.13,5.6825
0.14,5.39324
0.15,5.083
0.16,4.75199
0.17,4.4002
0.18,4.02811
0.19,3.63589
0.2,3.2239
0.21,2.79254
0.22,2.34222
0.23,1.87357
0.24,1.38714
0.25,0.88356
0.26,0.36361
0.27,-0.1718
0.28,-0.72168
0.29,-1.28501
0.3,-1.86064
0.31,-2.44716
0.32,-3.04319
0.33,-3.64723
0.34,-4.25746
0.35,-4.87217
0.36,-5.48932
0.37,-6.10685
0.38,-6.72229
0.39,-7.33345
0.4,-7.93754
0.41,-8.53198
0.42,-9.11382
0.43,-9.67997
0.44,-10.2274
0.45,-10.75265
0.46,-11.25229
0.47,-11.72291
0.48,-12.16072
0.49,-12.56199
0.5,-12.92283
0.51,-13.23941
0.52,-13.50778
0.53,-13.72406
0.54,-13.88426
0.55,-13.98456
0.56,-14.02113
0.57,-13.99029
0.58,-13.88845
0.59,-13.71232
0.6,-13.45875
0.61,-13.12485
0.62,-12.7081
0.63,-12.20633
0.64,-11.61776
0.65,-10.94099
0.66,-10.17526
0.67,-9.32035
0.68,-8.37653
0.69,-7.3449
0.7,-6.22707
0.71,-5.02546
0.72,-3.74333
0.73,-2.38464
0.74,-0.95424
0.75,0.54209
0.76,2.09775
0.77,3.70538
0.78,5.35664
0.79,7.04222
0.8,8.752
0.81,10.47516
0.82,12.19991
0.83,13.91402
0.84,15.60439
0.85,17.25748
0.86,18.85903
0.87,20.39484
0.88,21.8502
0.89,23.21043
0.9,24.46092
0.91,25.58726
0.92,26.57549
0.93,27.41221
0.94,28.08502
0.95,28.58222
0.96,28.89351
0.97,29.01002
0.98,28.92451
0.99,28.63147
1.0,28.12748
1.01,27.41132
1.02,26.48409
1.03,25.34949
1.04,24.0137
1.05,22.48576
1.06,20.77733
1.07,18.90303
1.08,16.88013
1.09,14.72862
1.1,12.47111
1.11,10.13262
1.12,7.7404
1.13,5.32374
1.14,2.9135
1.15,0.54172
1.16,-1.75833
1.17,-3.95338
1.18,-6.00996
