ETA,Cf1,Cf2,Cf3,Cf4,Cf5,Cf6,Cf7,Cf8,Cf9,Cf10,Cf11,Cf12
1.97,-10.7526,-9.85034,-6.62785,-3.83178,-9.5718,-8.92829,-6.29466,-3.9109,-8.51755,-8.00401,-5.76067,-3.70262
1.98,-14.12012,-13.21816,-9.99622,-7.20055,-13.25861,-12.54964,-9.79445,-7.35037,-12.52962,-11.9333,-9.47873,-7.29878
1.99,-16.92876,-16.02704,-12.80576,-10.01054,-16.33406,-15.55681,-12.69577,-10.20148,-15.89084,-15.19371,-12.53726,-10.25233
2,-19.05861,-18.15713,-14.9365,-12.1418,-18.63371,-17.80394,-14.87017,-12.34087,-18.36141,-17.58001,-14.78394,-12.428
2.01,-20.41423,-19.51291,-16.29298,-13.49876,-20.01949,-19.17591,-16.21709,-13.67177,-19.71232,-18.92509,-16.10373,-13.72451
2.02,-20.92911,-20.02792,-16.80861,-14.01488,-20.41656,-19.60153,-16.66981,-14.12936,-19.88176,-19.15888,-16.4306,-14.08047
2.03,-20.5698,-19.66863,-16.44987,-13.65659,-19.81997,-19.0589,-16.1993,-13.68413,-18.94524,-18.30862,-15.75204,-13.47749
2.04,-19.33815,-18.43697,-15.2186,-12.42573,-18.27213,-17.57272,-14.81631,-12.34411,-17.01155,-16.45706,-14.10497,-11.93921
2.05,-17.27267,-16.37132,-13.15321,-10.36061,-15.84854,-15.20842,-12.5712,-10.1553,-14.20031,-13.7157,-11.56842,-9.52892
2.06,-14.44787,-13.5463,-10.3283,-7.53595,-12.65431,-12.06677,-9.55218,-7.20068,-10.64521,-10.21716,-8.25627,-6.34613
2.07,-10.97262,-10.07077,-6.85276,-4.06056,-8.82267,-8.27966,-5.88189,-3.59772,-6.49694,-6.11316,-4.31145,-2.52289
2.08,-6.9864,-6.08423,-2.86615,-0.07396,-4.51227,-4.00566,-1.71274,0.506,-1.92361,-1.57352,0.09893,1.78094
2.09,-2.6545,-1.75197,1.46636,4.25853,0.09703,0.57484,2.77874,4.9379,2.89049,3.21579,4.7883,6.38256
2.1,1.83899,2.74187,5.9605,8.7527,4.8103,5.26633,7.39901,9.50761,7.7491,8.057,9.5566,11.08346
2.11,6.29813,7.20132,10.42021,13.21253,9.42396,9.86462,11.94503,14.0142,12.44893,12.74556,14.1967,15.6764
2.12,10.52382,11.4273,14.64654,17.43898,13.7344,14.16564,16.21292,18.25548,16.78712,17.07781,18.50263,19.9548
2.13,14.32286,15.22662,18.4462,21.23884,17.54606,17.97352,20.00707,22.03675,20.56929,20.85878,22.27788,23.72137
2.14,17.51689,18.42082,21.64077,24.43365,20.68059,21.10978,23.14906,25.17997,23.6184,23.91118,25.34449,26.79772
2.15,19.95116,20.85519,24.07556,26.86874,22.98536,23.42188,25.48657,27.53298,25.78353,26.08426,27.55196,29.03333
2.16,21.50248,22.40655,25.62739,28.42096,24.34138,24.79117,26.9013,28.9772,26.94807,27.26184,28.7855,30.3138
2.17,22.08614,22.99029,26.21164,29.00566,24.67032,25.14006,27.31595,29.4346,27.037,27.36978,28.97337,30.56812
2.18,21.66134,22.56555,25.78745,28.58192,23.94027,24.43765,26.69965,28.87275,26.02281,26.38204,28.09285,29.77419
2.19,20.23434,21.13859,24.36106,27.15607,22.16939,22.70352,25.07103,27.30778,23.93,24.32533,26.17476,27.96231
2.2,17.8599,18.76408,21.98711,24.78268,19.42819,20.00982,22.4992,24.80513,20.83832,21.28297,23.30558,25.21628
2.21,14.63993,15.544,18.76749,21.56358,15.84029,16.48134,19.1021,21.47754,16.88595,17.39809,19.62725,21.67073
2.22,10.7201,11.62398,14.84784,17.6444,11.58226,12.29259,15.04149,17.48034,12.27585,12.878,15.33253,17.50483
2.23,6.28398,7.18765,10.41172,13.20862,6.88302,7.66105,10.51543,13.00465,7.29313,7.99801,10.65418,12.93106
2.24,1.54505,2.4485,5.67263,8.4697,2.01344,2.8325,5.7479,8.26814,2.31722,3.08154,5.84543,8.18147
2.25,-3.26305,-2.35992,0.86403,3.66109,-2.75423,-1.94104,0.97674,3.50461,-2.31128,-1.57684,1.1562,3.49258
2.26,-7.89812,-6.99535,-3.77187,-0.97502,-7.19105,-6.42183,-3.55859,-1.04752,-6.42958,-5.77405,-3.1857,-0.90705
2.27,-12.12136,-11.21894,-7.99608,-5.1996,-11.104,-10.39516,-7.62906,-5.15683,-9.93803,-9.36764,-6.98167,-4.80548
2.28,-15.7099,-14.80785,-11.58576,-8.78977,-14.3193,-13.67196,-11.02681,-8.6105,-12.72907,-12.23367,-10.0619,-8.01382
2.29,-18.46906,-17.56735,-14.34611,-11.55075,-16.68396,-16.09215,-13.57517,-11.22543,-14.69277,-14.25859,-12.28555,-10.37275
2.3,-20.24348,-19.342,-16.12167,-13.32699,-18.07593,-17.5312,-15.13721,-12.85801,-15.7336,-15.34723,-13.54428,-11.75968
2.31,-20.92646,-20.02522,-16.80575,-14.01174,-18.41463,-17.90811,-15.62374,-13.41294,-15.78579,-15.43539,-13.76934,-12.09642
2.32,-20.46758,-19.5664,-16.34766,-13.55434,-17.66895,-17.19209,-14.99912,-12.8494,-14.82534,-14.50092,-12.93847,-11.35573
2.33,-18.87671,-17.97552,-14.75739,-11.96463,-15.86287,-15.40765,-13.2851,-11.18539,-12.87842,-12.57151,-11.08163,-9.56558
2.34,-16.2255,-15.32419,-12.10648,-9.31418,-13.07708,-12.63616,-10.56171,-8.49831,-10.02555,-9.72911,-8.28348,-6.81047
2.35,-12.64533,-11.74376,-8.5263,-5.73434,-9.44799,-9.01442,-6.9652,-4.92258,-6.40168,-6.10949,-4.68212,-3.22905
2.36,-8.32185,-7.41995,-4.20249,-1.4108,-5.16245,-4.72956,-2.68245,-0.6442,-2.19162,-1.89798,-0.46413,0.99143
2.37,-3.48592,-2.5836,0.63391,3.42551,-0.44948,-0.01054,2.05787,4.10849,2.3785,2.67928,4.14416,5.6244
2.38,1.59777,2.50049,5.7183,8.50984,4.43146,4.88357,6.997,9.07647,7.05278,7.36681,8.88857,10.41602
2.39,6.64492,7.54802,10.76614,13.55779,9.20461,9.67779,11.86025,13.98402,11.56038,11.89482,13.50196,15.09978
2.4,11.3673,12.27068,15.48923,18.28108,13.59392,14.09738,16.37264,18.55413,15.63197,15.9958,17.72087,19.41258
2.41,15.48929,16.39294,19.61198,22.40408,17.34059,17.8852,20.27531,22.52462,19.01833,19.42347,21.30365,23.11165
2.42,18.76448,19.66833,22.88792,25.68045,20.22095,20.81944,23.34146,25.66343,21.51019,21.97322,24.04836,25.99018
2.43,20.99097,21.89499,25.11524,27.90827,22.06513,22.73033,25.39028,27.78279,22.96198,23.50531,25.80862,27.89001
2.44,22.02454,22.92873,26.14973,28.94335,22.7758,23.51352,26.29784,28.75046,23.32516,23.97071,26.50336,28.70926
2.45,21.78919,22.69349,25.91527,28.70957,22.34218,23.13537,26.00439,28.49839,22.69389,23.42403,26.11484,28.40391
2.46,20.28357,21.1879,24.41051,27.20555,20.82218,21.6251,24.51733,27.02783,21.24243,21.96984,24.67521,26.98526
2.47,17.58311,18.48736,21.71078,24.5066,18.2941,19.06099,21.91116,24.41083,19.01371,19.67108,22.25322,24.51788
2.48,13.8377,14.74185,17.96597,20.76248,14.85955,15.56779,18.32492,20.7885,15.99851,16.5708,18.95375,21.11992
2.49,9.26456,10.16851,13.39314,16.19023,10.67612,11.32211,13.95718,16.36494,12.26813,12.76356,14.92793,16.96462
2.5,4.13662,5.04026,8.26514,11.0626,5.96454,6.5539,9.05784,11.39765,7.98712,8.41967,10.37982,12.27794
2.51,-1.23308,-0.32984,2.895,5.69262,0.99615,1.53775,3.9162,6.18392,3.39212,3.77585,5.56219,7.3295
2.52,-6.51001,-5.60717,-2.38274,0.41478,-3.92663,-3.42329,-1.15518,1.04352,-1.23388,-0.88638,0.76233,2.41727
2.53,-11.35889,-10.45644,-7.23267,-4.43548,-8.49219,-8.01785,-5.83928,-3.7007,-5.58832,-5.26631,-3.71909,-2.15225
2.54,-15.46494,-14.56299,-11.34013,-8.5435,-12.40216,-11.9481,-9.83525,-7.74351,-9.37566,-9.07008,-7.59021,-6.0852
2.55,-18.5554,-17.65388,-14.43208,-11.63626,-15.39348,-14.95156,-12.87897,-10.81791,-12.33224,-12.0353,-10.59137,-9.12161
2.56,-20.41792,-19.51676,-16.29608,-13.50111,-17.25796,-16.82037,-14.76187,-12.71341,-14.2475,-13.95221,-12.51468,-11.05396
2.57,-20.91643,-20.01551,-16.79596,-14.00186,-17.85872,-17.41769,-15.34651,-13.29182,-14.98094,-14.68055,-13.22056,-11.74296
2.58,-20.00231,-19.10146,-15.88291,-13.08966,-17.1416,-16.68898,-14.57786,-12.49805,-14.47344,-14.16088,-12.64853,-11.12795
2.59,-17.71986,-16.81894,-13.60116,-10.80869,-15.14067,-14.66743,-12.48874,-10.36592,-12.7525,-12.41964,-10.82227,-9.23199
2.6,-14.20592,-13.30472,-10.08748,-7.2956,-11.97745,-11.47315,-9.19959,-7.01827,-9.93074,-9.56737,-7.8479,-6.16087
2.61,-9.68312,-8.78157,-5.56463,-2.7732,-7.85335,-7.30565,-4.91219,-2.66096,-6.19668,-5.78914,-3.90532,-2.09621
2.62,-4.44706,-3.54506,-0.32818,2.46299,-3.03438,-2.42899,0.10257,2.42861,-1.79656,-1.32578,0.7666,2.71641
2.63,1.15231,2.05478,5.27177,8.06286,2.17172,2.84785,5.52086,7.9179,2.99655,3.55557,5.88874,7.98189
2.64,6.73299,7.63589,10.85322,13.64438,7.44511,8.19286,10.98506,13.43911,7.93648,8.60012,11.15697,13.36927
2.65,11.90709,12.81041,16.02824,18.8196,12.47733,13.26669,16.12506,18.61287,12.85677,13.57742,16.24837,18.5251
2.66,16.30795,17.21162,20.43012,23.22184,16.95009,17.72793,20.58082,23.07332,17.51597,18.1992,20.82013,23.08866
2.67,19.61658,20.52054,23.73979,26.53205,20.5171,21.24504,24.02675,26.4945,21.47057,22.07284,24.52311,26.71594
2.68,21.58569,22.48986,25.71001,28.503,22.86419,23.52962,26.19709,28.61542,24.28744,24.80772,27.03953,29.11122
2.69,22.05928,22.96369,26.18493,28.97872,23.76885,24.37421,26.90943,29.262,25.66208,26.11304,28.12859,30.06021
2.7,20.98684,21.89135,25.11367,27.9084,23.12554,23.67929,26.08371,28.36346,25.43719,25.83372,27.66073,29.45511
2.71,18.42906,19.33359,22.557,25.35267,20.9525,21.4648,23.75267,25.96139,23.60102,23.95703,25.63318,27.30764
2.72,14.55679,15.46119,18.68557,21.48217,17.38922,17.8702,20.06338,22.21003,20.27794,20.6055,22.1704,23.75032
2.73,9.64092,10.54516,13.77023,16.56767,12.68523,13.14447,15.26896,17.36769,15.71186,16.02123,17.51283,19.02696
2.74,4.0351,4.93903,8.1645,10.96243,7.18121,7.62785,9.71165,11.78021,10.24338,10.54341,11.9971,13.47488
2.75,-1.84908,-0.94561,2.27988,5.07801,1.28356,1.72633,3.79861,5.85685,4.28183,4.5805,6.02966,7.50039
2.76,-7.57133,-6.66836,-3.4433,-0.64525,-4.56573,-4.11799,-2.02746,0.04121,-1.72588,-1.42076,0.05679,1.54962
2.77,-12.69587,-11.79343,-8.56921,-5.77165,-9.92296,-9.46088,-7.32169,-5.22207,-7.32902,-7.00917,-5.4687,-3.9242
2.78,-16.82469,-15.92274,-12.69971,-9.90285,-14.37561,-13.88865,-11.67017,-9.5207,-12.10562,-11.76116,-10.11953,-8.49319
2.79,-19.62927,-18.72781,-15.50611,-12.71028,-17.57357,-17.04943,-14.72216,-12.50738,-15.69229,-15.31051,-13.52398,-11.78616
2.8,-20.87812,-19.97705,-16.75675,-13.96204,-19.25493,-18.679,-16.21829,-13.92884,-17.80734,-17.37061,-15.39072,-13.51612
2.81,-20.45717,-19.55636,-16.33741,-13.54378,-19.26235,-18.61943,-16.01318,-13.64865,-18.26051,-17.74449,-15.5276,-13.50411
2.82,-18.38198,-17.48115,-14.26335,-11.47073,-17.5476,-16.83032,-14.09109,-11.66243,-16.93776,-16.31863,-13.858,-11.69984
2.83,-14.7992,-13.89823,-10.68126,-7.88951,-14.16987,-13.39896,-10.57389,-8.10347,-13.75875,-13.0609,-10.44233,-8.19913
2.84,-9.97862,-9.07735,-5.86094,-3.06984,-9.32756,-8.55568,-5.71909,-3.23741,-8.79245,-8.11156,-5.50529,-3.25291
2.85,-4.29443,-3.39268,-0.17649,2.61418,-3.40653,-2.67925,0.09493,2.55558,-2.49777,-1.8928,0.55763,2.74337
2.86,1.80312,2.70532,5.92163,8.71213,3.07123,3.73643,6.39777,8.80976,4.46441,4.98657,7.21859,9.28486
2.87,7.82186,8.72457,11.94124,14.73174,9.53555,10.13967,12.66646,15.01145,11.4231,11.87421,13.88537,15.80937
2.88,13.26742,14.17061,17.38785,20.17864,15.42681,15.97846,18.37162,20.64198,17.75489,18.15035,19.96875,21.75274
2.89,17.68448,18.58803,21.80611,24.59744,20.23935,20.74925,23.02454,25.2227,22.91714,23.27156,24.93725,26.60009
2.9,20.69529,21.59916,24.8183,27.6104,23.5589,24.0379,26.21969,28.35628,26.47707,26.80326,28.35882,29.92823
2.91,22.03326,22.93746,26.15785,28.95093,25.09456,25.55308,27.67038,29.76196,28.13707,28.44594,29.93247,31.44004
2.92,21.56865,22.47307,25.69487,28.48909,24.70295,25.15094,27.2351,29.30201,27.7538,28.05502,29.51118,30.98941
2.93,19.32255,20.22703,23.45024,26.24568,22.40094,22.84821,24.93188,26.99651,25.34842,25.65086,27.11383,28.59527
2.94,15.4687,16.37313,19.59762,22.39425,18.36696,18.82348,20.94011,23.0255,21.10629,21.41893,22.92635,24.44375
2.95,10.32207,11.22638,14.45191,17.24955,12.92884,13.40562,15.58912,17.71726,15.36547,15.69835,17.29061,18.8773
2.96,4.31547,5.21943,8.44558,11.24395,6.54084,7.05054,9.3342,11.52396,8.59427,8.95991,10.6826,12.3719
2.97,-2.03647,-1.133,2.09325,4.89192,-0.25061,0.30695,2.72022,4.98474,1.35985,1.77517,3.67974,5.50195
2.98,-8.17973,-7.27683,-4.05106,-1.25252,-6.84589,-6.22414,-3.66297,-1.31999,-5.70492,-5.21621,-3.07919,-1.10516
2.99,-13.56981,-12.66751,-9.44274,-6.64481,-12.63348,-11.93685,-9.2336,-6.82095,-11.92458,-11.3358,-8.945,-6.82616
3,-17.71987,-16.81816,-13.59482,-10.79779,-17.03165,-16.27516,-13.47328,-11.01307,-16.57841,-15.901,-13.3256,-11.10784
3.01,-20.24619,-19.34501,-16.12331,-13.32749,-19.56904,-18.8042,-15.98055,-13.50498,-19.03388,-18.36023,-15.77318,-13.53537
3.02,-20.90509,-20.0043,-16.78432,-13.98982,-20.00195,-19.27868,-16.51375,-14.05794,-19.09886,-18.4973,-16.05836,-13.8832
3.03,-19.61849,-18.71791,-15.49949,-12.70631,-18.32834,-17.66705,-15.01661,-12.61068,-16.92556,-16.40692,-14.18825,-12.13385
3.04,-16.48482,-15.58419,-12.36705,-9.57506,-14.73497,-14.13536,-11.62291,-9.28661,-12.81813,-12.37108,-10.37678,-8.46776
3.05,-11.7739,-10.87308,-7.65683,-4.86579,-9.56659,-9.01972,-6.64333,-4.38402,-7.19529,-6.80399,-5.00409,-3.23709
3.06,-5.90602,-5.00472,-1.78902,1.00134,-3.30059,-2.79504,-0.53661,1.64956,-0.57699,-0.2262,1.42228,3.06858
3.07,0.58394,1.48573,4.70132,7.4913,3.48723,3.96298,6.13083,8.25669,6.44017,6.76381,8.3064,9.86273
3.08,7.09384,7.99625,11.21209,14.00203,10.1687,10.62585,12.73523,14.81988,13.22106,13.52912,15.00985,16.5106
3.09,13.01021,13.91317,17.12963,19.91987,16.11722,16.56652,18.65211,20.71839,19.14013,19.44288,20.90355,22.38411
3.1,17.76573,18.66914,21.88658,24.6774,20.76391,21.21622,23.31404,25.38676,23.63467,23.94193,25.42347,26.9196
3.11,20.89507,21.79892,25.01767,27.80945,23.65273,24.11945,26.26653,28.37058,26.25861,26.58075,28.1258,29.67374
3.12,22.08174,22.986,26.20632,28.99934,24.48689,24.98098,27.21456,29.37282,26.72963,27.07884,28.73462,30.37127
3.13,21.19265,22.09713,25.3192,28.1136,23.16433,23.70097,26.05597,28.28628,24.96642,25.35889,27.17908,28.93981
3.14,18.29458,19.19923,22.42297,25.21887,19.79762,20.39424,22.89684,25.20806,21.11403,21.57229,23.61391,25.52576
3.15,13.65252,14.55711,17.78235,20.57962,14.71922,15.39056,18.04512,20.433,15.56373,16.11643,18.41803,20.48497
3.16,7.70764,8.61199,11.83828,14.63665,8.46924,9.20892,11.9811,14.42614,8.98375,9.63628,12.157,14.34235
3.17,1.03761,1.94148,5.16831,7.96736,1.73221,2.49327,5.30751,7.77707,2.25167,2.92295,5.49849,7.72424
3.18,-5.69865,-4.79535,-1.56869,1.23046,-4.80937,-4.08286,-1.31446,1.14191,-3.95193,-3.34464,-0.89516,1.28102
3.19,-11.82488,-10.92228,-7.69649,-4.89776,-10.55386,-9.88824,-7.23028,-4.82091,-9.19058,-8.66642,-6.43403,-4.37443
3.2,-16.71635,-15.81444,-12.59009,-9.79229,-14.9758,-14.37297,-11.8545,-9.51487,-13.07757,-12.62694,-10.62349,-8.71062
3.21,-19.86406,-18.96275,-15.74025,-12.94378,-17.65224,-17.10349,-14.7245,-12.46357,-15.2786,-14.88548,-13.08197,-11.31428
3.22,-20.92958,-20.02884,-16.80834,-14.01341,-18.3109,-17.80444,-15.54616,-13.36001,-15.57252,-15.22099,-13.57261,-11.92804
3.23,-19.78427,-18.88378,-15.66519,-12.87181,-16.86946,-16.39302,-14.22601,-12.10076,-13.90183,-13.57775,-12.03602,-10.48176
3.24,-16.52646,-15.626,-12.40899,-9.61705,-13.45528,-12.99683,-10.8862,-8.80079,-10.40208,-10.0931,-8.61072,-7.10956
3.25,-11.47639,-10.57563,-7.35983,-4.56908,-8.40175,-7.94962,-5.85748,-3.78687,-5.4049,-5.09983,-3.63145,-2.14496
3.26,-5.14738,-4.24618,-1.03106,1.75884,-2.22152,-1.76379,0.34923,2.4319,0.58517,0.89716,2.39668,3.9075
3.27,1.80451,2.70624,5.92121,8.71068,4.44311,4.91928,7.09354,9.21472,6.93914,7.26981,8.84816,10.42296
3.28,8.6468,9.5492,12.76449,15.55392,10.88646,11.39586,13.67119,15.85399,12.97072,13.33459,15.04526,16.72377
3.29,14.64772,15.55074,18.76686,21.55669,16.41838,16.9785,19.38998,21.65038,18.01859,18.43546,20.33874,22.15661
3.3,19.15495,20.05852,23.27592,26.0666,20.44826,21.07762,23.64509,25.98713,21.54014,22.03767,24.19022,26.16769
3.31,21.6677,22.57178,25.79081,28.58274,22.56799,23.27439,25.98422,28.3958,23.22487,23.82803,26.23853,28.36041
3.32,21.89481,22.7993,26.0203,28.81378,22.61002,23.36324,26.15413,28.60691,23.10305,23.76998,26.32133,28.5234
3.33,19.7912,20.69593,23.91899,26.71422,20.60539,21.34419,24.12417,26.57979,21.32546,21.95409,24.44451,26.63246
3.34,15.56749,16.47234,19.69735,22.49427,16.71733,17.40134,20.09051,22.51101,17.91431,18.46218,20.75727,22.84862
3.35,9.67265,10.57733,13.80387,16.60225,11.28722,11.90737,14.46282,16.82001,13.03895,13.50886,15.57209,17.52208
3.36,2.74839,3.65264,6.88007,9.67942,4.85462,5.41741,7.83092,10.11108,7.12256,7.52983,9.38108,11.18234
3.37,-4.43881,-3.53515,-0.30764,2.49203,-1.89445,-1.3773,0.90933,3.11318,0.78199,1.14328,2.82598,4.49674
3.38,-11.08124,-10.17826,-6.95156,-4.15222,-8.20992,-7.72565,-5.53728,-3.39739,-5.26829,-4.93778,-3.37335,-1.8008
3.39,-16.4213,-15.51911,-12.29395,-9.4956,-13.37084,-12.9068,-10.78081,-8.68419,-10.32059,-10.00752,-8.51112,-6.99815
3.4,-19.8388,-18.93733,-15.71426,-12.91734,-16.77437,-16.31804,-14.2148,-12.1355,-13.77186,-13.46412,-11.98699,-10.49284
3.41,-20.92497,-20.02419,-16.80343,-14.00829,-18.01208,-17.55073,-15.42831,-13.3381,-15.20493,-14.89073,-13.38415,-11.86709
3.42,-19.53459,-18.63416,-15.4156,-12.62231,-16.92295,-16.44269,-14.25798,-12.12893,-14.44318,-14.10962,-12.52188,-10.93921
3.43,-15.80744,-14.90704,-11.69038,-8.89874,-13.6154,-13.10014,-10.81062,-8.61854,-11.57182,-11.20302,-9.47591,-7.78504
3.44,-10.1583,-9.25766,-6.04238,-3.25209,-8.45487,-7.88569,-5.45513,-3.18416,-6.92112,-6.49502,-4.56377,-2.7277
3.45,-3.23359,-2.3325,0.88204,3.67139,-2.01386,-1.37188,1.21659,3.56826,-1.00284,-0.48937,1.70203,3.70012
3.46,4.16037,5.06209,8.27648,11.06543,5.01259,5.72943,8.45177,10.86775,5.61633,6.23531,8.67398,10.80786
3.47,11.14974,12.05214,15.26707,18.05612,11.88526,12.63388,15.41453,17.86166,12.42503,13.08056,15.60965,17.80063
3.48,16.89659,17.79967,21.01575,23.80543,17.81498,18.53337,21.27528,23.71231,18.68185,19.2796,21.69589,23.84426
3.49,20.7004,21.60404,24.82178,27.61262,22.01943,22.67703,25.30803,27.69802,23.41847,23.93368,26.13214,28.16303
3.5,22.08502,22.98929,26.20918,29.00169,23.90233,24.49712,26.98675,29.30598,25.86889,26.31098,28.27903,30.16088
3.51,20.86215,21.76685,24.98909,27.78358,23.17017,23.71185,26.06323,28.30421,25.63089,26.01676,27.78762,29.5252
3.52,17.15917,18.06404,21.28862,24.08509,19.87114,20.37274,22.60942,24.77931,22.69111,23.03758,24.6611,26.28138
3.53,11.41006,12.31489,15.54146,18.33972,14.38547,14.86051,17.01713,19.13403,17.40113,17.72327,19.25286,20.7937
3.54,4.30772,5.21229,8.44011,11.23966,7.37569,7.83744,9.95429,12.04333,10.41589,10.72706,12.2151,13.71881
3.55,-3.27685,-2.37285,0.85526,3.65541,-0.29644,0.1654,2.28575,4.37581,2.60259,2.91545,4.41353,5.92397
3.56,-10.40042,-9.49726,-6.26983,-3.46985,-7.67732,-7.20128,-5.03241,-2.91175,-5.07066,-4.74298,-3.18125,-1.61917
3.57,-16.16454,-15.26228,-12.03642,-9.23748,-13.83947,-13.33306,-11.0706,-8.89264,-11.653,-11.29478,-9.61006,-7.95098
3.58,-19.83004,-18.92862,-15.70504,-12.90769,-17.99446,-17.43871,-15.04214,-12.78765,-16.32037,-15.91045,-14.03575,-12.23812
3.59,-20.91406,-20.0133,-16.79235,-13.99702,-19.58432,-18.95908,-16.40468,-14.06817,-18.45514,-17.96399,-15.83561,-13.87499
3.6,-19.257,-18.35666,-15.13828,-12.34505,-18.33554,-17.63354,-14.93694,-12.53203,-17.66169,-17.06464,-14.6757,-12.56937
3.61,-15.04928,-14.14899,-10.93278,-8.1415,-14.29158,-13.54951,-10.7821,-8.34154,-13.74649,-13.09798,-10.58878,-8.41169
3.62,-8.81323,-7.91264,-4.69805,-1.90827,-7.90188,-7.18444,-4.44766,-2.01441,-7.06133,-6.46298,-4.04886,-1.90549
3.63,-1.34166,-0.44054,2.77326,5.56204,-0.03494,0.62251,3.24974,5.63604,1.33969,1.85582,4.0543,6.08215
3.64,6.40015,7.30202,10.51582,13.30421,8.21329,8.80709,11.29078,13.60462,10.1706,10.61251,12.57749,14.45462
3.65,13.39848,14.30101,17.51556,20.30423,15.71251,16.25252,18.5956,20.82936,18.17824,18.56319,20.32828,22.05913
3.66,18.72397,19.62721,22.84328,25.63291,21.44599,21.94593,24.17386,26.33587,24.27643,24.6219,26.23929,27.85255
3.67,21.65651,22.56045,25.77866,28.5699,24.6349,25.10901,27.25928,29.36978,27.65425,27.97594,29.50192,31.03809
3.68,21.7857,22.69018,25.91103,28.70432,24.83685,25.29932,27.41555,29.50228,27.86125,28.17333,29.66356,31.1678
3.69,19.07176,19.97667,23.20031,25.99588,22.00439,22.46958,24.59859,26.6929,24.85691,25.17295,26.68287,28.20227
3.7,13.858,14.76303,17.9892,20.78694,16.49526,16.97873,19.16888,21.30223,19.01687,19.35139,20.93945,22.52222
3.71,6.83116,7.73607,10.96402,13.76351,9.03298,9.55256,11.85129,14.05069,11.09357,11.46446,13.19598,14.89014
3.72,-1.0656,-0.16114,3.0676,5.86808,0.62213,1.19852,3.64506,5.92725,2.13721,2.56911,4.51601,6.36228
3.73,-8.75738,-7.85366,-4.62531,-1.82476,-7.56764,-6.91554,-4.30753,-1.94315,-6.60058,-6.07538,-3.85717,-1.84447
3.74,-15.18329,-14.28049,-11.05368,-8.25403,-14.33393,-13.61262,-10.88098,-8.45696,-13.73993,-13.11588,-10.66781,-8.52892
3.75,-19.44386,-18.54201,-15.31757,-12.51961,-18.63115,-17.89682,-15.13506,-12.69222,-17.98535,-17.35559,-14.87714,-12.70911
3.76,-20.92875,-20.02779,-16.80628,-14.01054,-19.83943,-19.15003,-16.46014,-14.04436,-18.76086,-18.20272,-15.88828,-13.7962
3.77,-19.40879,-18.5084,-15.28981,-12.49644,-17.84958,-17.22502,-14.66889,-12.31641,-16.18293,-15.7059,-13.62756,-11.67569
3.78,-15.07437,-14.17416,-10.95807,-8.16688,-12.99047,-12.42636,-10.0193,-7.74783,-10.75337,-10.34311,-8.48871,-6.69195
3.79,-8.51617,-7.61576,-4.40152,-1.61213,-5.96495,-5.44839,-3.17342,-0.98171,-3.27941,-2.91749,-1.23944,0.42185
3.8,-0.64913,0.25184,3.46511,6.25336,2.23303,2.71691,4.89469,7.02307,5.19154,5.5224,7.0822,8.64621
3.81,7.41305,8.3147,11.52797,14.31579,10.44222,10.90844,13.03305,15.12478,13.47853,13.7939,15.29457,16.80745
3.82,14.51384,15.41634,18.63054,21.41878,17.48776,17.95145,20.07155,22.15888,20.4084,20.72274,22.22295,23.73387
3.83,19.62115,20.52447,23.74046,26.52995,22.34528,22.82248,24.98927,27.1061,24.97264,25.30093,26.86147,28.42123
3.84,21.97829,22.8824,26.10096,28.8924,24.29126,24.80026,27.06514,29.24236,26.47626,26.83629,28.52442,30.18456
3.85,21.2204,22.12517,25.34674,28.14059,23.02089,23.58315,25.99146,28.25075,24.65983,25.07567,26.96683,28.77379
3.86,17.43478,18.33997,21.56461,24.36104,18.7163,19.35311,21.92754,24.27336,19.78471,20.28926,22.45011,24.42747
3.87,11.1564,12.06164,15.2889,18.08766,12.05739,12.76859,15.48062,17.89399,12.70039,13.3091,15.72116,17.83844
3.88,3.29609,4.20108,7.43003,10.23044,4.11909,4.85241,7.61082,10.05124,4.7558,5.38483,7.85872,10.02107
3.89,-4.98807,-4.0837,-0.85438,1.9467,-3.90865,-3.21586,-0.51947,1.89964,-2.85872,-2.29658,0.02781,2.12376
3.9,-12.45946,-11.55603,-8.32778,-5.52713,-10.90993,-10.28163,-7.71665,-5.35852,-9.26368,-8.78307,-6.69402,-4.73611
3.91,-17.98877,-17.08639,-13.86035,-11.06118,-15.90535,-15.33841,-12.92412,-10.64735,-13.67244,-13.25983,-11.39846,-9.59738
3.92,-20.72547,-19.82409,-16.6011,-13.80415,-18.16747,-17.64899,-15.36928,-13.17364,-15.47477,-15.11151,-13.42992,-11.7665
3.93,-20.23296,-19.33233,-16.11268,-13.31838,-17.34625,-16.86088,-14.67973,-12.54835,-14.38072,-14.0489,-12.48682,-10.92143
3.94,-16.56243,-15.66216,-12.44558,-9.65384,-13.54348,-13.07547,-10.94657,-8.85143,-10.51356,-10.19688,-8.6922,-7.17634
3.95,-10.25353,-9.35318,-6.13896,-3.34942,-7.31658,-6.84989,-4.72177,-2.62884,-4.42794,-4.11105,-2.60157,-1.08323
3.96,-2.25915,-1.35844,1.85442,4.64241,0.39348,0.87606,3.05764,5.18361,2.95453,3.28778,4.86715,6.44178
3.97,6.19409,7.09548,10.30798,13.09535,8.40107,8.91942,11.20814,13.39846,10.48273,10.85202,12.5738,14.25862
