ETA,Cf1,Cf2,Cf3,Cf4,Cf5,Cf6,Cf7,Cf8,Cf9,Cf10,Cf11,Cf12
0.44,-17.14327,-16.24098,-13.02111,-10.2274,-15.55937,-14.99714,-12.44539,-10.01,-13.87675,-13.4618,-11.46028,-9.46113
0.45,-17.66827,-16.76604,-13.54628,-10.75265,-15.99527,-15.44377,-12.92664,-10.51519,-14.24074,-13.83565,-11.87663,-9.91614
0.46,-18.16771,-17.26556,-14.04584,-11.25229,-16.405,-15.86379,-13.38097,-10.99381,-14.5788,-14.18311,-12.26512,-10.34255
0.47,-18.63805,-17.73591,-14.5164,-11.72291,-16.78524,-16.25395,-13.8049,-11.44225,-14.88772,-14.50104,-12.62252,-10.73694
0.48,-19.07558,-18.17352,-14.9541,-12.16072,-17.13262,-16.61078,-14.195,-11.8569,-15.16435,-14.78613,-12.94556,-11.09599
0.49,-19.47661,-18.5746,-15.35525,-12.56199,-17.44361,-16.93089,-14.54763,-12.23405,-15.40527,-15.03514,-13.23092,-11.41626
0.5,-19.83725,-18.93526,-15.71605,-12.92283,-17.71469,-17.21063,-14.85913,-12.56994,-15.6071,-15.24463,-13.47522,-11.69424
0.51,-20.15363,-19.25168,-16.03251,-13.23941,-17.9422,-17.44643,-15.12584,-12.86083,-15.7664,-15.41123,-13.67497,-11.92647
0.52,-20.42182,-19.51993,-16.30088,-13.50778,-18.12259,-17.63471,-15.34401,-13.10296,-15.87981,-15.53144,-13.82678,-12.10946
0.53,-20.63793,-19.73608,-16.51706,-13.72406,-18.25219,-17.77184,-15.51001,-13.29237,-15.94376,-15.60191,-13.92723,-12.23969
0.54,-20.79803,-19.89614,-16.67721,-13.88426,-18.32742,-17.85416,-15.6201,-13.42546,-15.95497,-15.6192,-13.9729,-12.31381
0.55,-20.89818,-19.99634,-16.77746,-13.98456,-18.34475,-17.87817,-15.67069,-13.49839,-15.91,-15.57997,-13.96048,-12.32828
0.56,-20.93464,-20.03282,-16.81399,-14.02113,-18.30067,-17.84041,-15.65819,-13.50754,-15.80562,-15.48094,-13.88667,-12.28001
0.57,-20.90371,-20.00188,-16.78312,-13.99029,-18.19185,-17.73745,-15.57936,-13.44956,-15.63874,-15.31906,-13.74839,-12.16574
0.58,-20.80186,-19.90004,-16.6813,-13.88845,-18.01509,-17.56618,-15.43077,-13.32098,-15.40633,-15.09131,-13.54267,-11.98258
0.59,-20.62573,-19.72391,-16.50514,-13.71232,-17.76737,-17.3236,-15.20952,-13.11869,-15.10568,-14.79493,-13.26669,-11.72766
0.6,-20.37217,-19.47033,-16.25159,-13.45875,-17.44598,-17.00689,-14.91261,-12.83982,-14.73422,-14.4274,-12.91805,-11.39847
0.61,-20.03834,-19.13648,-15.91771,-13.12485,-17.04833,-16.61355,-14.53767,-12.48172,-14.28971,-13.9865,-12.4944,-10.99276
0.62,-19.62169,-18.71982,-15.50099,-12.7081,-16.57229,-16.14143,-14.08236,-12.04209,-13.7702,-13.47025,-11.99384,-10.50856
0.63,-19.12002,-18.21813,-14.99922,-12.20633,-16.01607,-15.58866,-13.54484,-11.51903,-13.17417,-12.87713,-11.41479,-9.94428
0.64,-18.53156,-17.62961,-14.41062,-11.61776,-15.37822,-14.95387,-12.92367,-10.91102,-12.50048,-12.20601,-10.75606,-9.29879
0.65,-17.85499,-16.95301,-13.73394,-10.94099,-14.65782,-14.2361,-12.21785,-10.21694,-11.74842,-11.45615,-10.01703,-8.57135
0.66,-17.08951,-16.18747,-12.96829,-10.17526,-13.85439,-13.4349,-11.42686,-9.43633,-10.91782,-10.62741,-9.1974,-7.76172
0.67,-16.23483,-15.33274,-12.1134,-9.32035,-12.96813,-12.55036,-10.55071,-8.56909,-10.00911,-9.72019,-8.29763,-6.87021
0.68,-15.29137,-14.38918,-11.16976,-8.37653,-11.99968,-11.58321,-9.59013,-7.61579,-9.02322,-8.73543,-7.31855,-5.8977
0.69,-14.26003,-13.35776,-10.13815,-7.3449,-10.95039,-10.53481,-8.54635,-6.57777,-7.96177,-7.67473,-6.26177,-4.84578
0.7,-13.14254,-12.24019,-9.0204,-6.22707,-9.82235,-9.40711,-7.42134,-5.4568,-6.82712,-6.54043,-5.12954,-3.71655
0.71,-11.94129,-11.03887,-7.8189,-5.02546,-8.61831,-8.2029,-6.21775,-4.25562,-5.62225,-5.3355,-3.92476,-2.51298
0.72,-10.65956,-9.75702,-6.5369,-3.74333,-7.34177,-6.92568,-4.93909,-2.97751,-4.35096,-4.06371,-2.65119,-1.23867
0.73,-9.30127,-8.39861,-5.17836,-2.38464,-5.9971,-5.57977,-3.5895,-1.62661,-3.01783,-2.72965,-1.31322,0.10201
0.74,-7.87131,-6.96853,-3.74808,-0.95424,-4.58944,-4.17031,-2.17405,-0.20796,-1.62825,-1.33864,0.08383,1.50386
0.75,-6.37534,-5.4725,-2.25186,0.54209,-3.12474,-2.70318,-0.69857,1.27269,-0.18844,0.10309,1.53393,2.96094
0.76,-4.81996,-3.91702,-0.69623,2.09775,-1.60989,-1.18524,0.83025,2.8087,1.29455,1.58853,3.03018,4.46646
0.77,-3.21265,-2.30964,0.91131,3.70538,-0.05256,0.37587,2.4049,4.39266,2.81285,3.10984,4.56495,6.01285
0.78,-1.56175,-0.65866,2.56243,5.35664,1.53869,1.97169,4.01701,6.01623,4.35767,4.65831,6.12965,7.59174
0.79,0.12346,1.02665,4.24791,7.04222,3.15449,3.59283,5.65745,7.67029,5.91949,6.22446,7.71503,9.19404
0.8,1.833,2.73622,5.95761,8.752,4.78464,5.2292,7.3161,9.34491,7.48788,7.79796,9.31106,10.8098
0.81,3.55591,4.45922,7.68069,10.47516,6.41816,6.86993,8.98237,11.02945,9.05183,9.36783,10.90692,12.42858
0.82,5.2805,6.18392,9.40544,12.19991,8.04335,8.5034,10.64478,12.71249,10.59946,10.9223,12.49135,14.03913
0.83,6.99441,7.89788,11.11952,13.91402,9.64789,10.11736,12.29132,14.38203,12.1184,12.44909,14.05229,15.62972
0.84,8.68467,9.58819,12.80986,15.60439,11.2188,11.69904,13.9093,16.02538,13.59559,13.93533,15.57736,17.18818
0.85,10.33764,11.24116,14.46288,17.25748,12.74271,13.23512,15.48566,17.62954,15.0176,15.3677,17.0537,18.70189
0.86,11.93921,12.84275,16.06446,18.85903,14.20579,14.71203,17.007,19.18092,16.3706,16.73267,18.46833,20.15811
0.87,13.47504,14.37857,17.60028,20.39484,15.59406,16.11594,18.45961,20.66577,17.64069,18.01642,19.80804,21.5439
0.88,14.93046,15.83401,19.0557,21.8502,16.89337,17.43297,19.82968,22.07017,18.81373,19.20517,21.05983,22.84636
0.89,16.29081,17.1943,20.41592,23.21043,18.08962,18.64936,21.1035,23.38012,19.87583,20.28548,22.21082,24.05277
0.9,17.5414,18.44485,21.66647,24.46092,19.16903,19.75163,22.26747,24.58174,20.81335,21.24412,23.24862,25.15069
0.91,18.66781,19.57125,22.79281,25.58726,20.11821,20.72681,23.30846,25.66154,21.61327,22.06868,24.1615,26.12824
0.92,19.65616,20.55958,23.78108,26.57549,20.92461,21.56269,24.21379,26.60631,22.26332,22.7477,24.93864,26.97414
0.93,20.49303,21.39643,24.61787,27.41221,21.57646,22.24806,24.97152,27.40349,22.75243,23.27113,25.5703,27.67784
0.94,21.16589,22.06926,25.29065,28.08502,22.06343,22.77294,25.57053,28.04129,23.07117,23.63069,26.04797,28.2297
0.95,21.66317,22.5665,25.78785,28.58222,22.37677,23.12904,26.00086,28.50896,23.21213,23.82084,26.3648,28.62106
0.96,21.97455,22.87789,26.09919,28.89351,22.51005,23.30973,26.2537,28.79673,23.17101,23.83909,26.51544,28.84424
0.97,22.09111,22.99442,26.21569,29.01002,22.45984,23.31055,26.32161,28.89622,22.94787,23.68727,26.49629,28.89279
0.98,22.00556,22.90885,26.13012,28.92451,22.22665,23.12899,26.19877,28.80062,22.54998,23.37243,26.3053,28.76125
0.99,21.71251,22.61576,25.83705,28.63147,21.81631,22.76481,25.88092,28.50474,21.99796,22.90693,25.94193,28.4455
1,21.20846,22.1117,25.33302,28.12748,21.24002,22.21925,25.3657,28.00525,21.33367,22.3065,25.40674,27.94281
1.01,20.49219,21.39543,24.61679,27.41132,20.50935,21.49477,24.65252,27.30093,20.60602,21.58516,24.70118,27.25175
1.02,19.56488,20.46811,23.68951,26.48409,19.62916,20.5944,23.74295,26.39274,19.82105,20.74925,23.82749,26.37278
1.03,18.4301,19.33333,22.55481,25.34949,18.59667,19.52173,22.64063,25.28404,18.94748,19.79613,22.78857,25.30834
1.04,17.09418,17.99737,21.21895,24.0137,17.40711,18.28072,21.35142,23.98068,17.95405,18.71742,21.58808,24.06316
1.05,15.56606,16.46924,19.6909,22.48576,16.05824,16.87652,19.88347,22.49103,16.82089,17.5043,20.23095,22.64445
1.06,13.85754,14.76066,17.98241,20.77733,14.55233,15.31612,18.24746,20.82633,15.53826,16.15108,18.72378,21.06216
1.07,11.98308,12.88622,16.10802,18.90303,12.8961,13.6087,16.45642,19.00051,14.10456,14.65688,17.07537,19.32891
1.08,9.96005,10.86317,14.08503,16.88013,11.10035,11.76633,14.52596,17.03011,12.52477,13.02617,15.29694,17.46013
1.09,7.80846,8.71155,11.93343,14.72862,9.17971,9.80393,12.47419,14.93434,10.80969,11.26866,13.40253,15.47366
1.1,5.55093,6.45398,9.67592,12.47111,7.15212,7.73955,10.32167,12.73504,8.97504,9.39889,11.40905,13.38962
1.11,3.21251,4.11549,7.3374,10.13262,5.03878,5.59406,8.0913,10.45637,7.04076,7.43568,9.33615,11.23053
1.12,0.82043,1.72334,4.94522,7.7404,2.86365,3.39107,5.80821,8.12464,5.03036,5.40145,7.20614,9.02042
1.13,-1.59605,-0.6932,2.5286,5.32374,0.65307,1.15655,3.49954,5.76803,2.97011,3.32164,5.04374,6.78527
1.14,-4.00606,-3.10332,0.11835,2.9135,-1.56436,-1.08136,1.19399,3.41644,0.88859,1.22405,2.87563,4.55233
1.15,-6.37741,-5.47476,-2.25324,0.54172,-3.75857,-3.29294,-1.0782,1.10076,-1.18404,-0.86171,0.73021,2.3502
1.16,-8.67706,-7.77454,-4.5532,-1.75833,-5.89826,-5.44716,-3.28583,-1.14702,-3.21649,-2.90491,-1.36286,0.20826
1.17,-10.87162,-9.96918,-6.74812,-3.95338,-7.95151,-7.51242,-5.39724,-3.29468,-5.17709,-4.87418,-3.37323,-1.84338
1.18,-12.92769,-12.0254,-8.80456,-6.00996,-9.88627,-9.45684,-7.38068,-5.31004,-7.03411,-6.73807,-5.2704,-3.77466
1.19,-14.81252,-13.91035,-10.68982,-7.89543,-11.67086,-11.24911,-9.20482,-7.16143,-8.75632,-8.46562,-7.02397,-5.55557
1.2,-16.49459,-15.59256,-12.37229,-9.57811,-13.27475,-12.8587,-10.83937,-8.81826,-10.31378,-10.02692,-8.60458,-7.15712
1.21,-17.94413,-17.04218,-13.8222,-11.02826,-14.669,-14.25683,-12.25558,-10.25168,-11.67796,-11.39362,-9.98424,-8.55152
1.22,-19.13365,-18.2318,-15.01211,-12.21837,-15.82682,-15.41682,-13.42687,-11.43488,-12.82271,-12.53957,-11.13702,-9.71308
1.23,-20.0387,-19.13693,-15.91747,-13.12394,-16.72431,-16.31477,-14.32938,-12.34404,-13.72462,-13.44138,-12.03963,-10.61851
1.24,-20.63833,-19.7366,-16.51738,-13.72403,-17.3409,-16.9301,-14.94257,-12.95846,-14.36352,-14.07889,-12.67181,-11.24765
1.25,-20.91565,-20.01397,-16.79495,-14.00178,-17.65998,-17.24615,-15.2497,-13.26135,-14.72321,-14.43582,-13.01716,-11.584
1.26,-20.85844,-19.95681,-16.73798,-13.94488,-17.66935,-17.25076,-15.23836,-13.2403,-14.79178,-14.50017,-13.06331,-11.61493
1.27,-20.4596,-19.55797,-16.33925,-13.54626,-17.36171,-16.93642,-14.90099,-12.88769,-14.56199,-14.26466,-12.80262,-11.33262
1.28,-19.71744,-18.81576,-15.59709,-12.80419,-16.73506,-16.30097,-14.23513,-12.20108,-14.03199,-13.72715,-12.23235,-10.73393
1.29,-18.63619,-17.73441,-14.51574,-11.72288,-15.79288,-15.34774,-13.24384,-11.18359,-13.2051,-12.89084,-11.35492,-9.82095
1.3,-17.22605,-16.32416,-13.10541,-10.31257,-14.54455,-14.08586,-11.93589,-9.84409,-12.09048,-11.76453,-10.17829,-8.60103
1.31,-15.50347,-14.60142,-11.38256,-8.58975,-13.00523,-12.53011,-10.32578,-8.19733,-10.70296,-10.3627,-8.71573,-7.08706
1.32,-13.49115,-12.58891,-9.36989,-6.57704,-11.19603,-10.70118,-8.43401,-6.26405,-9.06299,-8.70527,-6.98589,-5.2972
1.33,-11.2179,-10.31552,-7.09632,-4.30334,-9.14365,-8.62526,-6.28656,-4.07089,-7.19652,-6.81751,-5.0125,-3.25496
1.34,-8.71855,-7.81596,-4.5965,-1.80341,-6.8802,-6.33381,-3.91511,-1.6502,-5.13458,-4.72952,-2.82402,-0.98868
1.35,-6.03324,-5.13044,-1.91073,0.88244,-4.4426,-3.86293,-1.3563,0.96034,-2.91257,-2.4754,-0.45299,1.46858
