ETA,Cf
2.825,212.43184
2.835,215.05266
2.845,152.62062
2.855,44.19437
2.865,-76.21464
2.875,-170.16739
2.885,-207.08936
2.895,-174.39746
2.905,-82.05432
2.915,40.18238
2.925,152.15633
2.935,216.46799
2.945,211.08234
2.955,137.11546
2.965,18.99423
2.975,-103.35878
2.985,-187.89708
2.995,-204.98441
3.005,-148.03047
3.015,-36.3356
3.025,91.15846
3.035,189.29787
3.045,222.7401
3.055,178.89371
3.065,72.96844
3.075,-56.956
3.085,-163.40022
3.095,-206.82416
3.105,-170.51797
3.115,-67.36651
3.125,64.366
3.135,175.00757
3.145,222.18735
3.155,187.22786
3.165,82.85654
3.175,-51.06365
3.185,-162.50037
3.195,-207.44589
3.205,-167.4995
3.215,-57.75432
3.225,78.53876
3.235,186.80804
3.245,223.01909
3.255,171.81834
3.265,53.40001
3.275,-84.06956
3.285,-183.83147
3.295,-204.00937
3.305,-135.50764
3.315,-6.5133
3.325,128.72403
3.335,212.56006
3.345,208.62299
3.355,117.92804
3.365,-20.82811
3.375,-147.40884
3.385,-206.06686
3.395,-170.29631
3.405,-55.21067
3.415,88.39331
3.425,196.19348
3.435,219.16151
3.445,146.12997
3.455,9.6238
3.465,-128.20734
3.475,-203.71684
3.485,-181.30504
3.495,-70.62589
3.505,77.08259
3.515,192.42197
3.525,220.45497
3.535,147.16856
3.545,6.95279
3.555,-133.07544
3.565,-205.01079
3.575,-173.28291
3.585,-52.72129
3.595,97.83592
3.605,203.9463
3.615,212.40195
3.625,118.24045
3.635,-31.87418
3.645,-162.31995
3.655,-206.48091
3.665,-141.03824
3.675,1.20806
3.685,147.30348
3.695,221.34874
3.705,184.10902
3.715,54.24477
3.725,-100.49078
3.735,-198.26649
3.745,-186.56001
3.755,-70.85334
3.765,87.29623
3.775,202.63708
3.785,212.20174
3.795,110.08411
3.805,-48.35177
3.815,-175.97966
3.825,-201.72871
3.835,-110.54502
3.845,47.1953
3.855,182.99602
3.865,219.75945
3.875,135.84248
3.885,-21.6472
3.895,-162.72461
3.905,-205.75026
3.915,-124.98961
3.925,33.39681
3.935,177.20941
3.945,221.74123
3.955,139.97813
3.965,-20.40601
3.975,-164.26495
3.985,-205.23914
3.995,-117.99559
4.005,45.42216
