ETA,Cf
0.0,7.49838
0.005,7.42321
0.01,7.19754
0.015,6.82078
0.02,6.29364
0.025,5.61635
0.03,4.78765
0.035,3.80881
0.04,2.67934
0.045,1.39929
0.05,-0.0309
0.055,-1.61158
0.06,-3.3426
0.065,-5.22373
0.07,-7.25485
0.075,-9.43563
0.08,-11.76589
0.085,-14.24525
0.09,-16.87336
0.095,-19.64947
0.1,-22.57307
0.105,-25.64348
0.11,-28.86019
0.115,-32.22192
0.12,-35.72774
0.125,-39.3765
0.13,-43.16656
0.135,-47.09658
0.14,-51.16484
0.145,-55.36943
0.15,-59.70792
0.155,-64.17839
0.16,-68.77784
0.165,-73.50353
0.17,-78.35247
0.175,-83.32085
0.18,-88.40508
0.185,-93.60113
0.19,-98.90447
0.195,-104.31023
0.2,-109.81335
0.205,-115.40849
0.21,-121.08949
0.215,-126.84998
0.22,-132.68324
0.225,-138.58214
0.23,-144.53874
0.235,-150.54483
0.24,-156.59213
0.245,-162.67122
0.25,-168.77242
0.255,-174.88571
0.26,-181.00023
0.265,-187.10486
0.27,-193.18784
0.275,-199.23663
0.28,-205.23883
0.285,-211.18068
0.29,-217.04854
0.295,-222.82787
0.3,-228.50377
0.305,-234.06073
0.31,-239.48294
0.315,-244.7538
0.32,-249.85663
0.325,-254.77394
0.33,-259.48837
0.335,-263.98141
0.34,-268.23471
0.345,-272.22986
0.35,-275.9476
0.355,-279.3689
0.36,-282.47421
0.365,-285.24432
0.37,-287.65948
0.375,-289.7002
0.38,-291.34723
0.385,-292.5813
0.39,-293.38324
0.395,-293.73453
0.4,-293.6167
0.405,-293.01215
0.41,-291.90344
0.415,-290.27429
0.42,-288.10901
0.425,-285.39252
0.43,-282.11111
0.435,-278.25214
0.44,-273.80414
0.445,-268.75711
0.45,-263.1022
0.455,-256.83255
0.46,-249.94266
0.465,-242.42943
0.47,-234.29092
0.475,-225.52803
0.48,-216.14317
0.485,-206.14165
0.49,-195.53076
0.495,-184.32071
0.5,-172.52408
0.505,-160.15376
0.515,-133.78102
0.525,-105.37698
0.535,-75.17148
0.545,-43.44164
0.555,-10.51456
0.565,23.23468
0.575,57.38399
0.585,91.46772
0.595,124.98185
0.605,157.38928
0.615,188.12881
0.625,216.62379
0.635,242.2928
0.645,264.56317
0.655,282.8833
0.665,296.73807
0.675,305.66519
0.685,309.27036
0.695,307.24451
0.705,299.37869
0.715,285.58029
0.725,265.88556
0.735,240.47182
0.745,209.66528
0.755,173.94713
0.765,133.95401
0.775,90.47456
0.785,44.44093
0.795,-3.08521
0.805,-50.93252
0.815,-97.84619
0.825,-142.51859
0.835,-183.62561
0.845,-219.86798
0.855,-250.01489
0.865,-272.95044
0.875,-287.72165
0.885,-293.58368
0.895,-290.04239
0.905,-276.89285
0.915,-254.24924
0.925,-222.56509
0.935,-182.64304
0.945,-135.63031
0.955,-83.00019
0.965,-26.51764
0.975,31.81017
0.985,89.79922
0.995,145.16531
1.005,195.61702
1.015,238.94885
1.025,273.15005
1.035,296.50345
1.045,307.68512
1.055,305.85175
1.065,290.71289
1.075,262.58191
1.085,222.40094
1.095,171.73633
1.105,112.74087
1.115,48.08265
1.125,-19.15975
1.135,-85.63436
1.145,-147.87694
1.155,-202.49413
1.165,-246.35555
1.175,-276.78729
1.185,-291.75262
1.195,-290.01053
1.205,-271.23645
1.215,-236.097
1.225,-186.26761
1.235,-124.38714
1.245,-53.94796
1.255,20.87797
1.265,95.47101
1.275,165.04193
1.285,224.94176
1.295,270.98404
1.305,299.75595
1.315,308.89783
1.325,297.32687
1.335,265.38232
1.345,214.87747
1.355,149.04443
1.365,72.36973
1.375,-9.681
1.385,-91.02831
1.395,-165.42287
1.405,-226.92834
1.415,-270.41534
1.425,-292.01828
1.435,-289.52002
1.445,-262.61926
1.455,-213.05122
1.465,-144.53868
1.475,-62.56444
1.485,26.02704
1.495,113.57664
1.505,192.26392
1.515,254.81252
1.525,295.18845
1.535,309.22321
1.545,295.0925
1.555,253.59949
1.565,188.21657
1.575,104.86449
1.585,11.43528
1.595,-82.91492
1.605,-168.64603
1.615,-236.80278
1.625,-279.98044
1.635,-293.18097
1.645,-274.45523
1.655,-225.24742
1.665,-150.38269
1.675,-57.67205
1.685,42.84202
1.695,139.93735
1.705,222.45695
1.715,280.61099
1.725,307.18137
1.735,298.48581
1.745,254.96182
1.755,181.28035
1.765,85.94225
1.775,-19.62187
1.785,-122.36996
1.795,-209.24496
1.805,-268.85556
1.815,-293.02542
1.825,-278.00009
1.835,-225.1196
1.845,-140.83675
1.855,-36.03255
1.865,75.31117
1.875,177.93803
1.885,257.40457
1.895,302.15631
1.905,305.28326
1.915,265.68585
1.925,188.44696
1.935,84.31117
1.945,-31.70292
1.955,-142.40521
1.965,-230.96475
1.975,-283.50754
1.985,-291.37772
1.995,-252.6826
2.005,-172.83412
2.015,-63.94278
2.025,56.91419
2.035,170.30447
2.045,257.55832
2.055,303.88721
2.065,300.9913
2.075,248.67368
2.085,155.14624
2.095,35.90147
2.105,-88.73512
2.115,-197.01031
2.125,-269.54819
2.135,-292.9061
2.145,-262.19897
2.155,-182.27638
2.165,-67.14542
2.175,62.34105
2.185,182.17863
2.195,269.64679
2.205,307.68463
2.215,288.3364
2.225,214.57932
2.235,100.08236
2.245,-33.15041
2.255,-158.8949
2.265,-251.83577
2.275,-292.73346
2.285,-272.55319
2.295,-194.64767
2.305,-74.43923
2.315,63.45765
2.325,190.17599
2.335,278.62451
2.345,309.3645
2.355,275.0383
2.365,182.32652
2.375,50.89136
2.385,-90.60529
2.395,-210.64885
2.405,-281.91321
2.415,-287.60788
2.425,-225.6512
2.435,-109.57773
2.445,34.18409
2.455,172.18044
2.465,271.67825
2.475,308.50208
2.485,273.08585
2.495,173.18961
2.505,32.48198
2.515,-114.8423
2.525,-232.26698
2.535,-290.04178
2.545,-272.89182
2.555,-184.3131
2.565,-46.18776
2.575,106.38723
2.585,233.89687
2.595,302.65845
2.605,293.86642
2.615,208.97566
2.625,69.85013
2.635,-86.60325
2.645,-218.05502
2.655,-288.22122
2.665,-277.056
2.675,-186.76855
2.685,-41.77935
2.695,117.61266
2.705,246.31526
2.715,307.22177
2.725,282.10614
2.735,177.37132
2.745,22.79014
2.755,-136.65923
2.765,-253.76251
2.775,-293.11459
2.785,-242.09601
