ETA,Cf
0.0,7.49838
0.005,7.47679
0.01,7.41235
0.015,7.30486
0.02,7.15407
0.025,6.96078
0.03,6.7242
0.035,6.44436
0.04,6.12167
0.045,5.75631
0.05,5.34818
0.055,4.89692
0.06,4.40322
0.065,3.86681
0.07,3.28836
0.075,2.66817
0.08,2.00594
0.085,1.30262
0.09,0.55852
0.095,-0.22584
0.1,-1.04976
0.105,-1.91234
0.11,-2.8128
0.115,-3.74975
0.12,-4.72251
0.125,-5.7294
0.13,-6.76884
0.135,-7.83929
0.14,-8.93878
0.145,-10.06495
0.15,-11.21596
0.155,-12.38847
0.16,-13.57976
0.165,-14.78731
0.17,-16.0072
0.175,-17.23578
0.18,-18.46925
0.185,-19.70341
0.19,-20.93341
0.195,-22.15465
0.2,-23.36166
0.205,-24.5495
0.21,-25.7119
0.215,-26.84299
0.22,-27.93641
0.225,-28.98559
0.23,-29.98352
0.235,-30.92307
0.24,-31.79672
0.245,-32.59745
0.25,-33.31721
0.255,-33.9483
0.26,-34.48304
0.265,-34.91337
0.27,-35.23152
0.275,-35.4296
0.28,-35.50012
0.285,-35.43567
0.29,-35.22931
0.295,-34.87416
0.3,-34.36381
0.305,-33.69286
0.31,-32.85599
0.315,-31.84888
0.32,-30.66799
0.325,-29.31059
0.33,-27.77529
0.335,-26.06122
0.34,-24.16929
0.345,-22.10144
0.35,-19.86104
0.355,-17.45292
0.36,-14.88361
0.365,-12.1609
0.37,-9.29454
0.375,-6.29604
0.38,-3.17841
0.385,0.04321
0.39,3.35243
0.395,6.73045
0.4,10.15718
0.405,13.61101
0.41,17.06837
0.415,20.50478
0.42,23.89387
0.425,27.20865
0.43,30.42073
0.435,33.50169
0.44,36.42197
0.445,39.15234
0.45,41.66339
0.455,43.92638
0.46,45.91349
0.465,47.59786
0.47,48.95448
0.475,49.96024
0.48,50.59435
0.485,50.8392
0.49,50.67996
0.495,50.1059
0.5,49.11036
0.505,47.68788
0.515,43.58999
0.525,37.88878
0.535,30.74987
0.545,22.42791
0.555,13.26303
0.565,3.67272
0.575,-5.86376
0.585,-14.82657
0.595,-22.6836
0.605,-28.92291
0.615,-33.08898
0.625,-34.82099
0.635,-33.88812
0.645,-30.22193
0.655,-23.93869
0.665,-15.35189
0.675,-4.96942
0.685,6.52581
0.695,18.31245
0.705,29.48515
0.715,39.12162
0.725,46.36217
0.735,50.49334
0.745,51.02668
0.755,47.76679
0.765,40.85859
0.775,30.80484
0.785,18.44981
0.795,4.92375
0.805,-8.44985
0.815,-20.27971
0.825,-29.25322
0.835,-34.29205
0.845,-34.69617
0.855,-30.25906
0.865,-21.33409
0.875,-8.83778
0.885,5.8181
0.895,20.86844
0.905,34.39653
0.915,44.57862
0.925,49.94076
0.935,49.59069
0.945,43.38966
0.955,32.03043
0.965,16.99737
0.975,0.40162
0.985,-15.29696
0.995,-27.64997
1.005,-34.61324
1.015,-34.90825
1.025,-28.28905
1.035,-15.65629
1.045,1.01923
1.055,18.96841
1.065,35.06546
1.075,46.3722
1.085,50.69501
1.095,47.0469
1.105,35.91496
1.115,19.26087
1.125,0.22467
1.135,-17.43499
1.145,-30.07442
1.155,-34.9347
1.165,-30.78284
1.175,-18.27161
1.185,0.08968
1.195,20.38489
1.205,38.09617
1.215,49.11038
1.225,50.70648
1.235,42.28245
1.245,25.62219
1.255,4.59274
1.265,-15.70286
1.275,-30.1486
1.285,-34.92999
1.295,-28.60094
1.305,-12.59575
1.315,9.00216
1.325,30.43436
1.335,45.77309
1.345,50.57908
1.355,43.24317
1.365,25.59846
1.375,2.55996
1.385,-19.17917
1.395,-33.07556
1.405,-34.74275
1.415,-23.41872
1.425,-2.38386
1.435,21.88794
1.445,41.66335
1.455,50.42089
1.465,45.06816
1.475,27.14289
1.485,2.50613
1.495,-20.47696
1.505,-33.7439
1.515,-32.40211
1.525,-16.62884
1.535,8.16293
1.545,33.07785
1.555,48.89262
1.565,49.51508
1.575,34.44372
1.585,9.20454
1.595,-16.547
1.605,-32.66648
1.615,-32.56076
1.625,-16.01001
1.635,10.47387
1.645,36.06896
1.655,50.00652
1.665,46.14602
1.675,25.80266
1.685,-2.51958
1.695,-26.56941
1.705,-35.64073
1.715,-25.44364
1.725,-0.30812
1.735,28.46877
1.745,47.60018
1.755,47.97388
1.765,29.13807
1.775,-0.15138
1.785,-25.82872
1.795,-35.21808
1.805,-23.37205
1.815,4.1581
1.825,33.74073
1.835,50.33953
1.845,45.23093
1.855,20.78728
1.865,-10.37565
1.875,-31.75587
1.885,-31.71253
1.895,-9.97342
1.905,21.81527
1.915,46.13628
1.925,49.2192
1.935,28.96351
1.945,-3.45544
1.955,-29.57841
1.965,-34.16858
1.975,-14.28464
1.985,18.56222
1.995,44.83479
2.005,48.53809
2.015,27.11243
2.025,-6.5474
2.035,-31.61924
2.045,-32.18784
2.055,-7.50557
2.065,27.03876
2.075,49.34545
2.085,44.79835
2.095,16.1085
2.105,-17.94715
2.115,-34.605
2.125,-22.37815
2.135,10.76196
2.145,42.27317
2.155,50.24594
2.165,28.75566
2.175,-7.47138
2.185,-32.92064
2.195,-29.28573
2.205,1.06225
2.215,36.20653
2.225,50.26983
2.235,32.52631
2.245,-4.12405
2.255,-32.21827
2.265,-30.22847
2.275,0.73071
2.285,37.12
2.295,50.71416
2.305,30.67007
2.315,-7.39978
2.325,-33.18569
2.335,-25.71146
2.345,9.35989
2.355,43.63686
2.365,48.81784
2.375,20.23271
2.385,-18.60856
2.395,-35.11693
2.405,-15.1213
2.415,24.49756
2.425,49.6
2.435,38.08601
2.445,-0.39159
2.455,-32.13578
