ETA,Cf
0.0,7.49838
0.005,7.39086
0.01,7.06815
0.015,6.53026
0.02,5.77737
0.025,4.80959
0.03,3.62635
0.035,2.22799
0.04,0.61477
0.045,-1.21285
0.05,-3.25457
0.055,-5.51019
0.06,-7.97899
0.065,-10.66025
0.07,-13.55273
0.075,-16.65527
0.08,-19.96626
0.085,-23.4835
0.09,-27.20501
0.095,-31.12731
0.1,-35.24759
0.105,-39.56144
0.11,-44.06459
0.115,-48.75152
0.12,-53.61667
0.125,-58.65277
0.13,-63.85241
0.135,-69.20692
0.14,-74.70641
0.145,-80.34019
0.15,-86.09669
0.155,-91.96282
0.16,-97.92403
0.165,-103.96496
0.17,-110.0685
0.175,-116.21648
0.18,-122.3889
0.185,-128.56451
0.19,-134.72058
0.195,-140.83273
0.2,-146.87511
0.205,-152.82051
0.21,-158.63956
0.215,-164.3026
0.22,-169.77751
0.225,-175.03094
0.23,-180.02864
0.235,-184.73492
0.24,-189.11325
0.245,-193.12602
0.25,-196.73451
0.255,-199.90033
0.26,-202.58383
0.265,-204.74568
0.27,-206.34683
0.275,-207.34828
0.28,-207.71213
0.285,-207.40143
0.29,-206.3806
0.295,-204.6162
0.3,-202.07675
0.305,-198.73373
0.31,-194.56174
0.315,-189.53857
0.32,-183.64684
0.325,-176.87337
0.33,-169.20982
0.335,-160.65361
0.34,-151.2083
0.345,-140.88402
0.35,-129.69765
0.355,-117.67353
0.36,-104.84367
0.365,-91.24831
0.37,-76.93599
0.375,-61.96396
0.38,-46.39783
0.385,-30.31273
0.39,-13.79217
0.395,3.07149
0.4,20.17737
0.405,37.41658
0.41,54.67227
0.415,71.82057
0.42,88.73107
0.425,105.26783
0.43,121.29035
0.435,136.6545
0.44,151.21452
0.445,164.82306
0.45,177.33386
0.455,188.60333
0.46,198.49205
0.465,206.86646
0.47,213.60127
0.475,218.58112
0.48,221.70268
0.485,222.87712
0.49,222.032
0.495,219.11238
0.5,214.08432
0.505,206.93211
0.515,186.34273
0.525,157.73706
0.535,121.94304
0.545,80.23208
0.555,34.30475
0.565,-13.75276
0.575,-61.54337
0.585,-106.46809
0.595,-145.86365
0.605,-177.16782
0.615,-198.10075
0.625,-206.85405
0.635,-202.27267
0.645,-184.01146
0.655,-152.65271
0.665,-109.76422
0.675,-57.88675
0.685,-0.43633
0.695,58.47984
0.705,114.33306
0.715,162.51517
0.725,198.7321
0.735,219.41847
0.745,222.13536
0.755,205.9081
0.765,171.46007
0.775,121.30376
0.785,59.65607
0.795,-7.83622
0.805,-74.55828
0.815,-133.55411
0.825,-178.2599
0.835,-203.28067
0.845,-205.1144
0.855,-182.72792
0.865,-137.89171
0.875,-75.19584
0.885,-1.70577
0.895,73.74486
0.905,141.56897
0.915,192.64825
0.925,219.61485
0.935,218.00925
0.945,187.13768
0.955,130.45837
0.965,55.38468
0.975,-27.53542
0.985,-106.00732
0.995,-167.78717
1.005,-202.64798
1.015,-204.18921
1.025,-171.17813
1.035,-108.11919
1.045,-24.87309
1.055,64.71124
1.065,145.00485
1.075,201.32463
1.085,222.71356
1.095,204.24571
1.105,148.36018
1.115,64.86048
1.125,-30.55672
1.135,-119.09748
1.145,-182.53534
1.155,-207.06197
1.165,-186.5007
1.175,-124.11138
1.185,-32.44422
1.195,68.91496
1.205,157.37831
1.215,212.39085
1.225,220.35974
1.235,178.28152
1.245,95.07188
1.255,-9.94606
1.265,-111.26445
1.275,-183.30173
1.285,-206.97765
1.295,-175.05963
1.305,-94.72733
1.315,13.58273
1.325,121.0606
1.335,198.06197
1.345,222.39238
1.355,186.0054
1.365,98.05267
1.375,-16.9149
1.385,-125.44858
1.395,-194.83189
1.405,-203.1236
1.415,-146.50941
1.425,-41.39948
1.435,79.82294
1.445,178.49345
1.455,222.02391
1.465,194.97563
1.475,105.04373
1.485,-18.47104
1.495,-133.74182
1.505,-200.43651
1.515,-194.06461
1.525,-115.49799
1.535,8.19385
1.545,132.53084
1.555,211.41077
1.565,214.39838
1.575,138.99771
1.585,12.82767
1.595,-115.84644
1.605,-196.29852
1.615,-195.54739
1.625,-112.49481
1.635,20.27431
1.645,148.623
1.655,218.7023
1.665,199.81297
1.675,98.51196
1.685,-42.71945
1.695,-162.65598
1.705,-207.76799
1.715,-156.60338
1.725,-30.83258
1.735,113.03103
1.745,208.55388
1.755,210.20461
1.765,115.74277
1.775,-31.05779
1.785,-159.86372
1.795,-207.25735
1.805,-148.45993
1.815,-11.22056
1.825,136.30106
1.835,218.94914
1.845,193.14587
1.855,70.7645
1.865,-85.13121
1.875,-192.02739
1.885,-191.69305
1.895,-82.76447
1.905,76.49448
1.915,198.47462
1.925,214.32979
1.935,113.54604
1.945,-48.05162
1.955,-178.21036
1.965,-200.75298
1.975,-100.98736
1.985,63.47982
1.995,194.92889
2.005,213.40259
2.015,106.11689
2.025,-62.46959
2.035,-188.23746
2.045,-191.5527
2.055,-68.6368
2.065,103.56999
2.075,214.59737
2.085,191.42722
2.095,47.64066
2.105,-122.88618
2.115,-206.31216
2.125,-145.16354
2.135,20.68984
2.145,178.50522
2.155,218.74188
2.165,111.77538
2.175,-68.82068
2.185,-195.52299
2.195,-176.80872
2.205,-24.57426
2.215,151.51775
2.225,222.05873
2.235,133.42661
2.245,-49.91397
2.255,-190.65996
2.265,-181.11522
2.275,-26.81293
2.285,154.55772
2.295,221.93272
2.305,121.17272
2.315,-69.64581
2.325,-198.95222
2.335,-161.8006
2.345,13.50498
2.355,184.98004
2.365,211.13895
2.375,68.63094
2.385,-125.0594
2.395,-207.02095
2.405,-106.41427
2.415,92.27115
2.425,218.26512
2.435,161.05513
2.445,-31.14937
2.455,-189.9153
2.465,-173.48128
2.475,5.23693
2.485,186.39893
2.495,205.20915
2.505,42.93279
2.515,-152.19133
2.525,-198.7383
2.535,-51.48394
2.545,152.45525
2.555,219.71918
2.565,84.57592
2.575,-124.62189
2.585,-205.41635
2.595,-77.63082
2.605,134.61774
2.615,221.38164
2.625,94.6966
2.635,-120.11614
2.645,-206.34169
2.655,-74.85378
2.665,141.29195
2.675,219.4702
2.685,77.21213
2.695,-138.25963
2.705,-200.1077
2.715,-41.10091
2.725,170.80641
2.735,208.14064
2.745,29.00259
2.755,-173.19305
2.765,-176.77623
2.775,23.80103
2.785,207.07535
2.795,167.68495
2.805,-52.07063
2.815,-204.8167
2.825,-115.86119
2.835,114.60988
2.845,221.55785
2.855,79.78966
2.865,-146.80617
2.875,-192.06027
2.885,-0.71629
2.895,201.29437
2.905,172.08781
2.915,-54.83192
2.925,-205.65601
2.935,-95.66792
2.945,141.93974
2.955,214.42599
2.965,30.26592
2.975,-182.49268
2.985,-156.64394
2.995,76.74435
3.005,222.10622
3.015,92.76396
3.025,-146.73561
3.035,-186.89156
3.045,26.28
3.055,215.56947
3.065,131.68105
3.075,-116.04264
3.085,-198.58141
3.095,-4.10964
3.105,207.14667
3.115,148.91399
3.125,-101.55213
3.135,-202.62668
3.145,-14.22204
3.155,204.36505
3.165,148.74329
3.175,-105.07198
3.185,-200.88924
