ETA,Ec
2.845,36.4355
2.855,14.856
2.865,-9.08871
2.875,-27.72916
2.885,-34.97195
2.895,-28.31948
2.905,-9.77746
2.915,14.69603
2.925,37.06781
2.935,49.85892
2.945,48.66776
2.955,33.73036
2.965,9.95214
2.975,-14.65934
2.985,-31.67456
2.995,-35.1512
3.005,-23.7624
3.015,-1.36562
3.025,24.24407
3.035,44.01892
3.045,50.86578
3.055,42.24151
3.065,21.16919
3.075,-4.74777
3.085,-26.02177
3.095,-34.74892
3.105,-27.58453
3.115,-7.09272
3.125,19.09511
3.135,41.06878
3.145,50.37671
3.155,43.30303
3.165,22.40889
3.175,-4.32587
3.185,-26.50211
3.195,-35.33984
3.205,-27.18672
3.215,-5.08695
3.225,22.28919
3.235,44.0108
3.245,51.25859
3.255,40.95884
3.265,17.15948
3.275,-10.48672
3.285,-30.60452
3.295,-34.79385
3.305,-21.20979
3.315,4.53497
3.325,31.6048
3.335,48.46623
3.345,47.82392
3.355,29.85297
3.365,2.26557
3.375,-22.91718
3.385,-34.56923
3.395,-27.40467
3.405,-4.44763
3.415,24.15467
3.425,45.55703
3.435,49.97771
3.445,35.21246
3.455,7.80011
3.465,-19.80294
3.475,-34.85976
3.485,-30.26267
3.495,-7.96618
3.505,21.75319
3.515,44.98278
3.525,50.70298
3.535,36.08946
3.545,8.01478
3.555,-20.08995
3.565,-34.6284
3.575,-28.46273
3.585,-4.52376
3.595,25.46075
3.605,46.63163
3.615,48.35656
3.625,29.6347
3.635,-0.2229
3.645,-26.12572
3.655,-34.79173
3.665,-21.59211
3.675,6.89424
3.685,36.07251
3.695,50.76852
3.705,43.15279
3.715,16.99084
3.725,-14.12285
3.735,-33.78377
3.745,-31.46461
3.755,-8.25598
3.765,23.51836
3.775,46.7747
3.785,48.87293
3.795,28.59067
3.805,-3.02492
3.815,-28.56116
3.825,-33.8052
3.835,-15.73028
3.845,15.62505
3.855,42.60717
3.865,49.83637
3.875,33.01395
3.885,1.57544
3.895,-26.49433
3.905,-34.90747
3.915,-18.56695
3.925,13.25477
3.935,42.08893
3.945,50.97601
3.955,34.51394
3.965,2.2634
3.975,-26.70461
3.985,-35.0737
3.995,-17.73453
4.005,14.93846
