ETA,Ec
0.0,7.49838
0.005,7.48762
0.01,7.45563
0.015,7.40173
0.02,7.32635
0.025,7.22988
0.03,7.11141
0.035,6.97138
0.04,6.81018
0.045,6.62719
0.05,6.42311
0.055,6.19726
0.06,5.95003
0.065,5.68124
0.07,5.39103
0.075,5.07954
0.08,4.74668
0.085,4.39253
0.09,4.01706
0.095,3.62036
0.1,3.2027
0.105,2.76401
0.11,2.30452
0.115,1.82441
0.12,1.32359
0.125,0.80243
0.13,0.26116
0.135,-0.30039
0.14,-0.88159
0.145,-1.48211
0.15,-2.10181
0.155,-2.74038
0.16,-3.39739
0.165,-4.07239
0.17,-4.76502
0.175,-5.47465
0.18,-6.20074
0.185,-6.94283
0.19,-7.70037
0.195,-8.47256
0.2,-9.25865
0.205,-10.05773
0.21,-10.86915
0.215,-11.69186
0.22,-12.52505
0.225,-13.36752
0.23,-14.21825
0.235,-15.07606
0.24,-15.93966
0.245,-16.8079
0.25,-17.67924
0.255,-18.55233
0.26,-19.42549
0.265,-20.29734
0.27,-21.16606
0.275,-22.02991
0.28,-22.88721
0.285,-23.73582
0.29,-24.57383
0.295,-25.39919
0.3,-26.20987
0.305,-27.00352
0.31,-27.77795
0.315,-28.53081
0.32,-29.25974
0.325,-29.96226
0.33,-30.63562
0.335,-31.27743
0.34,-31.88519
0.345,-32.45608
0.35,-32.98727
0.355,-33.47612
0.36,-33.92005
0.365,-34.3161
0.37,-34.66146
0.375,-34.95351
0.38,-35.18938
0.385,-35.36636
0.39,-35.48162
0.395,-35.53262
0.4,-35.51685
0.405,-35.4315
0.41,-35.27429
0.415,-35.04276
0.42,-34.73468
0.425,-34.34803
0.43,-33.88083
0.435,-33.33111
0.44,-32.69744
0.445,-31.97829
0.45,-31.1723
0.455,-30.27876
0.46,-29.29655
0.465,-28.2255
0.47,-27.06518
0.475,-25.81579
0.48,-24.47758
0.485,-23.05128
0.49,-21.53795
0.495,-19.93916
0.5,-18.25667
0.505,-16.4922
0.515,-12.72997
0.525,-8.67777
0.535,-4.36803
0.545,0.15974
0.555,4.85873
0.565,9.67552
0.575,14.54979
0.585,19.41531
0.595,24.19986
0.605,28.82684
0.615,33.21592
0.625,37.28493
0.635,40.95057
0.645,44.13103
0.655,46.74739
0.665,48.7262
0.675,50.00101
0.685,50.51577
0.695,50.22615
0.705,49.10213
0.715,47.13068
0.725,44.31705
0.735,40.68661
0.745,36.28592
0.755,31.1841
0.765,25.47225
0.775,19.26297
0.785,12.68968
0.795,5.90426
0.805,-0.92593
0.815,-7.62168
0.825,-13.99627
0.835,-19.86063
0.845,-25.02935
0.855,-29.32696
0.865,-32.59418
0.875,-34.6952
0.885,-35.52401
0.895,-35.01036
0.905,-33.12504
0.915,-29.88452
0.925,-25.35358
0.935,-19.64706
0.945,-12.92823
0.955,-5.40774
0.965,2.66255
0.975,10.99627
0.985,19.2814
0.995,27.19151
1.005,34.39934
1.015,40.58955
1.025,45.47455
1.035,48.80862
1.045,50.40243
1.055,50.13526
1.065,47.96563
1.075,43.93842
1.085,38.18833
1.095,30.93997
1.105,22.5012
1.115,13.25385
1.125,3.63817
1.135,-5.86677
1.145,-14.76607
1.155,-22.57474
1.165,-28.84583
1.175,-33.19779
1.185,-35.33974
1.195,-35.09471
1.205,-32.41645
1.215,-27.39973
1.225,-20.2836
1.235,-11.44453
1.245,-1.38101
1.255,9.3117
1.265,19.97376
1.275,29.92092
1.285,38.48858
1.295,45.07828
1.305,49.20153
1.315,50.52044
1.325,48.87942
1.335,44.32669
1.345,37.12116
1.355,27.72451
1.365,16.77843
1.375,5.06359
1.385,-6.55127
1.395,-17.17359
1.405,-25.95571
1.415,-32.16595
1.425,-35.2528
1.435,-34.90006
1.445,-31.06486
1.455,-23.99457
1.465,-14.22024
1.475,-2.52367
1.485,10.11846
1.495,22.61279
1.505,33.84266
1.515,42.76835
1.525,48.52751
1.535,50.52384
1.545,48.49678
1.555,42.56135
1.565,33.21439
1.575,21.30263
1.585,7.95468
1.595,-5.52089
1.605,-17.76116
1.615,-27.48741
1.625,-33.64312
1.635,-35.51528
1.645,-32.82653
1.655,-25.78398
1.665,-15.07673
1.675,-1.82008
1.685,12.55133
1.695,26.43449
1.705,38.23469
1.715,46.55176
1.725,50.35285
1.735,49.11073
1.745,42.88753
1.755,32.35145
1.765,18.71858
1.775,3.62357
1.785,-11.06904
1.795,-23.49345
1.805,-32.02264
1.815,-35.48922
1.825,-33.35691
1.835,-25.81671
1.845,-13.78872
1.855,1.17427
1.865,17.07656
1.875,31.73918
1.885,43.09839
1.895,49.50203
1.905,49.9612
1.915,44.31786
1.925,33.29779
1.935,18.43642
1.945,1.87965
1.955,-13.91711
1.965,-26.55082
1.975,-34.04202
1.985,-35.15667
1.995,-29.62598
2.005,-18.22305
2.015,-2.67608
2.025,14.57741
2.035,30.7627
2.045,43.21315
2.055,49.81568
2.065,49.3842
2.075,41.89106
2.085,28.51174
2.095,11.46196
2.105,-6.3524
2.115,-21.82292
2.125,-32.18269
2.135,-35.51299
2.145,-31.11737
2.155,-19.68879
2.165,-3.22747
2.175,15.2885
2.185,32.42965
2.195,44.94775
2.205,50.40185
2.215,47.65202
2.225,37.12199
2.235,20.76556
2.245,1.72766
2.255,-16.24401
2.265,-29.533
2.275,-35.39157
2.285,-32.52942
2.295,-21.42394
2.305,-4.27464
2.315,15.40612
2.325,33.49668
2.335,46.1269
2.345,50.5181
2.355,45.61776
2.365,32.3805
2.375,13.61649
2.385,-6.57876
2.395,-23.70421
2.405,-33.8597
2.415,-34.65082
2.425,-25.78366
2.435,-9.19209
2.445,11.3496
2.455,31.06336
2.465,45.272
2.475,50.52003
2.485,45.44051
2.495,31.14441
2.505,11.01787
2.515,-10.04974
2.525,-26.83994
2.535,-35.10371
2.545,-32.66004
2.555,-20.00813
