ETA,Ec
0.0,6.39758
0.005,6.38698
0.01,6.35461
0.015,6.30102
0.02,6.22559
0.025,6.12874
0.03,6.01056
0.035,5.87062
0.04,5.70942
0.045,5.52652
0.05,5.32245
0.055,5.09678
0.06,4.84951
0.065,4.58101
0.07,4.29098
0.075,3.97976
0.08,3.64719
0.085,3.29353
0.09,2.91855
0.095,2.52244
0.1,2.10558
0.105,1.66776
0.11,1.20905
0.115,0.72992
0.12,0.23019
0.125,-0.28975
0.13,-0.82973
0.135,-1.38953
0.14,-1.96895
0.145,-2.56744
0.15,-3.18504
0.155,-3.82104
0.16,-4.47524
0.165,-5.14734
0.17,-5.83665
0.175,-6.54268
0.18,-7.26512
0.185,-8.00308
0.19,-8.75581
0.195,-9.52303
0.2,-10.30376
0.205,-11.09729
0.21,-11.90257
0.215,-12.71871
0.22,-13.54487
0.225,-14.3798
0.23,-15.22252
0.235,-16.07171
0.24,-16.92618
0.245,-17.78475
0.25,-18.64568
0.255,-19.50784
0.26,-20.36961
0.265,-21.22932
0.27,-22.08512
0.275,-22.93542
0.28,-23.77824
0.285,-24.61188
0.29,-25.43406
0.295,-26.24283
0.3,-27.03621
0.305,-27.81167
0.31,-28.567
0.315,-29.3
0.32,-30.00807
0.325,-30.68891
0.33,-31.33986
0.335,-31.95832
0.34,-32.54169
0.345,-33.08731
0.35,-33.5924
0.355,-34.05418
0.36,-34.4701
0.365,-34.83725
0.37,-35.15273
0.375,-35.41395
0.38,-35.61798
0.385,-35.76216
0.39,-35.84387
0.395,-35.86049
0.4,-35.80908
0.405,-35.68737
0.41,-35.49296
0.415,-35.22359
0.42,-34.87666
0.425,-34.45024
0.43,-33.9425
0.435,-33.35158
0.44,-32.67594
0.445,-31.91411
0.45,-31.06488
0.455,-30.12713
0.46,-29.10044
0.465,-27.98413
0.47,-26.77807
0.475,-25.4825
0.48,-24.09761
0.485,-22.62423
0.49,-21.0635
0.495,-19.41684
0.5,-17.68619
0.505,-15.87208
0.515,-12.01399
0.525,-7.86455
0.535,-3.45782
0.545,1.16621
0.555,5.96042
0.565,10.87072
0.575,15.83635
0.585,20.79033
0.595,25.65997
0.605,30.36811
0.615,34.83372
0.625,38.97406
0.635,42.70527
0.645,45.9448
0.655,48.61323
0.665,50.63619
0.675,51.94707
0.685,52.48885
0.695,52.21671
0.705,51.10047
0.715,49.12621
0.725,46.2989
0.735,42.64351
0.745,38.2067
0.755,33.05689
0.765,27.28519
0.775,21.00428
0.785,14.34749
0.795,7.4668
0.805,0.52991
0.815,-6.28362
0.825,-12.78654
0.835,-18.7892
0.845,-24.10544
0.855,-28.55869
0.865,-31.98869
0.875,-34.25798
0.885,-35.25879
0.895,-34.91888
0.905,-33.20677
0.915,-30.13635
0.925,-25.76931
0.935,-20.21703
0.945,-13.63983
0.955,-6.24432
0.965,1.72106
0.975,9.97304
0.985,18.20245
0.995,26.08534
1.005,33.29551
1.015,39.51828
1.025,44.46552
1.035,47.89035
1.045,49.60128
1.055,49.475
1.065,47.46699
1.075,43.61897
1.085,38.06224
1.095,31.0174
1.105,22.7888
1.115,13.75442
1.125,4.35054
1.135,-4.94747
1.145,-13.64853
1.155,-21.2716
1.165,-27.37322
1.175,-31.575
1.185,-33.58944
1.195,-33.24187
1.205,-30.48813
1.215,-25.42522
1.225,-18.2932
1.235,-9.46946
1.245,0.54734
1.255,11.16187
1.265,21.71478
1.275,31.52297
1.285,39.92351
1.295,46.31983
1.305,50.22641
1.315,51.30912
1.325,49.4173
1.335,44.60468
1.345,37.1372
1.355,27.48486
1.365,16.2981
1.375,4.3677
1.385,-7.42761
1.395,-18.1859
1.405,-27.05168
1.415,-33.2872
1.425,-36.33902
1.435,-35.89183
1.445,-31.90735
1.455,-24.64031
1.465,-14.63062
1.475,-2.67039
1.485,10.25336
1.495,23.03695
1.505,34.55373
1.515,43.75442
1.525,49.76829
1.535,51.99117
1.545,50.15565
1.555,44.37128
1.565,35.13021
1.575,23.27631
1.585,9.93586
1.595,-3.58324
1.605,-15.91806
1.615,-25.78853
1.625,-32.13566
1.635,-34.24242
1.645,-31.82557
1.655,-25.08381
1.665,-14.69628
1.675,-1.76559
1.685,12.28902
1.695,25.88083
1.705,37.43314
1.715,45.56316
1.725,49.25315
1.735,47.98647
1.745,41.82889
1.755,31.44481
1.765,18.03952
1.775,3.2318
1.785,-11.1328
1.795,-23.20825
1.805,-31.38668
1.815,-34.51791
1.825,-32.0808
1.835,-24.27901
1.845,-12.04288
1.855,3.06711
1.865,19.04963
1.875,33.72211
1.885,45.01911
1.895,51.28919
1.905,51.54683
1.915,45.64012
1.925,34.30471
1.935,19.0894
1.945,2.15746
1.955,-14.01514
1.965,-27.00149
1.975,-34.7958
1.985,-36.1374
1.995,-30.73396
2.005,-19.34249
2.015,-3.68726
2.025,13.78489
2.035,30.27859
2.045,43.09862
2.055,50.10091
2.065,50.0701
2.075,42.95301
2.085,29.90387
2.095,13.12202
2.105,-4.49951
2.115,-19.86144
2.125,-30.20265
2.135,-33.60716
2.145,-29.37661
2.155,-18.19769
2.165,-2.05904
2.175,16.07779
2.185,32.80482
2.195,44.90092
2.205,49.95773
2.215,46.87172
2.225,36.10403
2.235,19.63998
2.245,0.64276
2.255,-17.14221
2.265,-30.12071
2.275,-35.58179
2.285,-32.27719
2.295,-20.72481
2.305,-3.15962
2.315,16.87735
2.325,35.24196
2.335,48.0475
2.345,52.5045
2.355,47.55576
2.365,34.15783
2.375,15.12959
2.385,-5.41809
2.395,-22.96241
2.405,-33.57442
2.415,-34.82337
2.425,-26.37058
2.435,-10.10094
2.445,10.25772
2.455,29.95865
2.465,44.33005
2.475,49.89349
2.485,45.23756
2.495,31.42053
2.505,11.77698
2.515,-8.84853
2.525,-25.27388
2.535,-33.27749
2.545,-30.69718
2.555,-18.04137
2.565,1.56578
2.575,23.12088
2.585,40.99468
2.595,50.39707
2.605,48.67183
2.615,36.07103
2.625,15.77562
2.635,-6.87893
2.645,-25.79253
2.655,-35.75663
2.665,-33.91804
2.675,-20.63299
2.685,0.55317
2.695,23.8232
2.705,42.67819
2.715,51.76755
2.725,48.45076
2.735,33.62159
2.745,11.52704
2.755,-11.40345
2.765,-28.41469
2.775,-34.43097
2.785,-27.61901
2.795,-10.01059
2.805,13.03745
2.815,34.42185
2.825,47.46086
2.835,47.98662
2.845,35.71041
2.855,14.40761
2.865,-9.18385
2.875,-27.45147
2.885,-34.35207
2.895,-27.42578
2.905,-8.70201
2.915,15.84853
2.925,38.18781
2.935,50.83857
2.945,49.40798
2.955,34.15088
2.965,10.00428
2.975,-14.97915
2.985,-32.31171
2.995,-35.98945
3.005,-24.6367
3.015,-2.09842
3.025,23.79946
3.035,43.94765
3.045,51.18471
3.055,42.91006
3.065,22.10645
3.075,-3.64688
3.085,-24.875
3.095,-33.67833
3.105,-26.70698
3.115,-6.50884
3.125,19.31402
3.135,40.89539
3.145,49.84354
3.155,42.5143
3.165,21.534
3.175,-5.08938
3.185,-26.98326
3.195,-35.43563
3.205,-26.87305
3.215,-4.40638
3.225,23.24719
3.235,45.12757
3.245,52.40004
3.255,41.98849
3.265,17.95228
3.275,-10.03107
3.285,-30.54696
3.295,-35.13852
3.305,-21.88457
3.315,3.68426
3.325,30.78644
3.335,47.88191
3.345,47.61121
3.355,30.06288
3.365,2.87045
3.375,-22.00343
3.385,-33.47119
3.395,-26.26718
3.405,-3.41839
3.415,24.94018
3.425,45.9896
3.435,49.9921
3.445,34.81143
3.455,7.07777
3.465,-20.66133
3.475,-35.62355
