ETA,Ec1,Ec2,Ec3
1.015,40.48788,39.49339,39.51828
1.025,45.39538,44.37917,44.46552
1.035,48.75872,47.71388,47.89035
1.045,50.38793,49.30804,49.60128
1.055,50.16184,49.04097,49.475
1.065,48.03843,46.87121,47.46699
1.075,44.06187,42.84343,43.61897
1.085,38.36611,37.09278,38.06224
1.095,31.17479,29.84346,31.0174
1.105,22.79526,21.40389,22.7888
1.115,13.60804,12.15582,13.75442
1.125,4.05263,2.53959,4.35054
1.135,-5.39277,-6.96546,-4.94747
1.145,-14.23449,-15.86417,-13.64853
1.155,-21.98869,-23.67217,-21.2716
1.165,-28.20983,-29.94235,-27.37322
1.175,-32.51714,-34.29336,-31.575
1.185,-34.62125,-36.43469,-33.58944
1.195,-34.34611,-36.18921,-33.24187
1.205,-31.64634,-33.51077,-30.48813
1.215,-26.61766,-28.4945,-25.42522
1.225,-19.49998,-21.37883,-18.2932
1.235,-10.66994,-12.54053,-9.46946
1.245,-0.6261,-2.47755,0.54734
1.255,10.03584,8.2147,11.16187
1.265,20.65677,18.87661,21.71478
1.275,30.55297,28.82414,31.52297
1.285,39.06084,37.39248,39.92351
1.295,45.5829,43.98288,46.31983
1.305,49.6323,48.10683,50.22641
1.315,50.87292,49.42606,51.30912
1.325,49.15165,47.78501,49.4173
1.335,44.51865,43.23168,44.60468
1.345,37.23552,36.02516,37.1372
1.355,27.76643,26.62761,27.48486
1.365,16.75554,15.68048,16.2981
1.375,4.98621,3.96508,4.3677
1.385,-6.67071,-7.64983,-7.42761
1.395,-17.32108,-18.27153,-18.1859
1.405,-26.11605,-27.0528,-27.05168
1.415,-32.32293,-33.2621,-33.2872
1.425,-35.39034,-36.34807,-36.33902
1.435,-35.00272,-35.99478,-35.89183
1.445,-31.11851,-32.15958,-31.90735
1.455,-23.98671,-25.08977,-24.64031
1.465,-14.14042,-15.31597,-14.63062
1.475,-2.36401,-3.62003,-2.67039
1.485,10.36319,9.02184,10.25336
1.495,22.945,21.51627,23.03695
1.505,34.26196,32.74657,34.55373
1.515,43.27151,41.67305,43.75442
1.525,49.10851,47.43275,49.76829
1.535,51.17441,49.42947,51.99117
1.545,49.20588,47.40218,50.15565
1.555,43.31549,41.46601,44.37128
1.565,33.99852,32.11784,35.13021
1.575,22.10032,20.20503,23.27631
1.585,8.74831,6.85619,9.93586
1.595,-4.74918,-6.61959,-3.58324
1.605,-17.02905,-18.85943,-15.91806
1.615,-26.81173,-28.5847,-25.78853
1.625,-33.03908,-34.73925,-32.13566
1.635,-34.99602,-36.61049,-34.24242
1.645,-32.40228,-33.92147,-31.82557
1.655,-25.46094,-26.87904,-25.08381
1.665,-14.85707,-16.17226,-14.69628
1.675,-1.70153,-2.91627,-1.76559
1.685,12.57667,11.45504,12.28902
1.695,26.37874,25.33845,25.88083
1.705,38.11455,37.13926,37.43314
1.715,46.38808,45.457,45.56316
1.725,50.16912,49.25851,49.25315
1.735,48.93195,48.01618,47.98647
1.745,42.73865,41.79218,41.82889
1.755,32.25589,31.25476,31.44481
1.765,18.69674,17.62069,18.03952
1.775,3.69224,2.52496,3.2318
1.785,-10.89806,-12.16763,-11.1328
1.795,-23.21338,-24.59125,-23.20825
1.805,-31.63214,-33.11931,-31.38668
1.815,-34.99237,-36.58472,-34.51791
1.825,-32.76275,-34.452,-32.0808
1.835,-25.13878,-26.91179,-24.27901
1.845,-13.0451,-14.88436,-12.04288
1.855,1.96247,0.07818,3.06711
1.865,17.88559,15.98039,19.04963
1.875,32.54372,30.64355,33.72211
1.885,43.87286,42.0036,45.01911
1.895,50.22136,48.40784,51.28919
1.905,50.60265,48.86698,51.54683
1.915,44.86189,43.22274,45.64012
1.925,33.72971,32.20122,34.30471
1.935,18.74725,17.33849,19.0894
1.945,2.06748,0.78091,2.15746
1.955,-13.84668,-15.01564,-14.01514
1.965,-26.58455,-27.64838,-27.00149
1.975,-34.15926,-35.13833,-34.7958
1.985,-35.33036,-36.25207,-36.1374
1.995,-29.82455,-30.72116,-30.73396
2.005,-18.41254,-19.31842,-19.34249
