ETA,F,G
0.0,-0.09589,1.0
0.02,0.11439,0.97138
0.04,0.22142,0.94197
0.06,0.32131,0.91173
0.08,0.41429,0.88079
0.1,0.50058,0.84928
0.12,0.58043,0.81731
0.14,0.65407,0.78501
0.16,0.72177,0.75249
0.18,0.78376,0.71988
0.2,0.84032,0.68728
0.22,0.89169,0.65481
0.24,0.93813,0.62257
0.26,0.97992,0.59066
0.28,1.0173,0.55917
0.3,1.05052,0.52821
0.32,1.07986,0.49786
0.34,1.10555,0.4682
0.36,1.12784,0.43931
0.38,1.14696,0.41125
0.4,1.16317,0.38408
0.42,1.17667,0.35787
0.44,1.18769,0.33266
0.46,1.19644,0.30848
0.48,1.20312,0.28537
0.5,1.20793,0.26335
0.52,1.21105,0.24244
0.54,1.21265,0.22263
0.56,1.2129,0.20394
0.58,1.21196,0.18635
0.6,1.20997,0.16986
0.62,1.20706,0.15444
0.64,1.20336,0.14006
0.66,1.19898,0.12671
0.68,1.19404,0.11434
0.7,1.18864,0.10292
0.72,1.18285,0.09241
0.74,1.17677,0.08276
0.76,1.17046,0.07394
0.78,1.164,0.06589
0.8,1.15743,0.05857
0.82,1.15082,0.05193
0.84,1.14421,0.04593
0.86,1.13764,0.04052
0.88,1.13113,0.03566
0.9,1.12474,0.03131
0.92,1.11847,0.02742
0.94,1.11235,0.02396
0.96,1.10639,0.02088
0.98,1.10062,0.01815
1.0,1.09504,0.01574
1.02,1.08966,0.01362
1.04,1.08448,0.01175
1.06,1.07952,0.01012
1.08,1.07476,0.00869
1.1,1.07022,0.00745
1.12,1.06588,0.00637
1.14,1.06176,0.00543
1.16,1.05783,0.00462
1.18,1.05411,0.00392
1.2,1.05059,0.00332
1.22,1.04725,0.00281
1.24,1.04409,0.00237
1.26,1.04112,0.00199
1.28,1.03831,0.00167
1.3,1.03567,0.0014
1.32,1.03318,0.00117
1.34,1.03085,0.00097
1.36,1.02865,0.00081
1.38,1.0266,0.00067
1.4,1.02467,0.00056
1.42,1.02287,0.00046
1.44,1.02119,0.00038
1.46,1.01961,0.00031
