ETA,F,G
0.0,0.0,1.0
0.02,0.11532,0.97134
0.04,0.22329,0.9417
0.06,0.32412,0.91121
0.08,0.41803,0.88001
0.1,0.50527,0.84823
0.12,0.58607,0.816
0.14,0.66067,0.78344
0.16,0.72933,0.75067
0.18,0.7923,0.71782
0.2,0.84983,0.685
0.22,0.90219,0.65233
0.24,0.94964,0.61992
0.26,0.99243,0.58786
0.28,1.03081,0.55627
0.3,1.06505,0.52523
0.32,1.0954,0.49484
0.34,1.12209,0.46517
0.36,1.14538,0.4363
0.38,1.16549,0.4083
0.4,1.18267,0.38122
0.42,1.19712,0.35512
0.44,1.20907,0.33005
0.46,1.21873,0.30603
0.48,1.22628,0.28309
0.5,1.23193,0.26126
0.52,1.23584,0.24054
0.54,1.2382,0.22093
0.56,1.23916,0.20244
0.58,1.23887,0.18506
0.6,1.23748,0.16876
0.62,1.23512,0.15353
0.64,1.23192,0.13933
0.66,1.22798,0.12614
0.68,1.22341,0.11393
0.7,1.21832,0.10265
0.72,1.21279,0.09226
0.74,1.20689,0.08273
0.76,1.20072,0.074
0.78,1.19432,0.06603
0.8,1.18777,0.05878
0.82,1.18111,0.0522
0.84,1.17439,0.04624
0.86,1.16766,0.04087
0.88,1.16095,0.03604
0.9,1.15429,0.0317
0.92,1.14772,0.02781
0.94,1.14125,0.02435
0.96,1.1349,0.02127
0.98,1.1287,0.01853
1.0,1.12265,0.01611
1.02,1.11677,0.01397
1.04,1.11107,0.01208
1.06,1.10554,0.01043
1.08,1.10021,0.00898
1.1,1.09507,0.00772
1.12,1.09012,0.00662
1.14,1.08536,0.00566
1.16,1.08079,0.00483
1.18,1.07641,0.00411
1.2,1.07222,0.00349
1.22,1.06822,0.00296
1.24,1.06439,0.00251
1.26,1.06074,0.00211
1.28,1.05726,0.00178
1.3,1.05395,0.0015
1.32,1.0508,0.00126
1.34,1.04781,0.00105
1.36,1.04497,0.00088
1.38,1.04227,0.00073
1.4,1.03971,0.00061
1.42,1.03729,0.0005
1.44,1.035,0.00042
1.46,1.03283,0.00035
1.48,1.03078,0.00029
1.5,1.02884,0.00024
1.52,1.02701,0.00019
1.54,1.02528,0.00016
1.56,1.02365,0.00013
1.58,1.02211,0.00011
1.6,1.02066,9e-05
1.62,1.0193,7e-05
1.64,1.01802,6e-05
1.66,1.01681,5e-05
1.68,1.01568,4e-05
1.7,1.01461,3e-05
1.72,1.01361,3e-05
1.74,1.01267,2e-05
1.76,1.01179,2e-05
1.78,1.01097,1e-05
1.8,1.0102,1e-05
1.82,1.00947,1e-05
1.84,1.00879,1e-05
1.86,1.00816,1e-05
1.88,1.00757,0.0
1.9,1.00702,0.0
1.92,1.0065,0.0
1.94,1.00602,0.0
1.96,1.00556,0.0
1.98,1.00514,0.0
2.0,1.00475,0.0
2.02,1.00439,0.0
2.04,1.00405,0.0
2.06,1.00373,0.0
2.08,1.00344,0.0
2.1,1.00317,0.0
2.12,1.00291,0.0
2.14,1.00268,0.0
2.16,1.00246,0.0
2.18,1.00225,0.0
2.2,1.00207,0.0
