ETA,F,G
0.0,-0.09589,1.0
0.02,0.13126,1.02335
0.04,0.25479,1.03677
0.06,0.37051,1.03999
0.08,0.47841,1.03431
0.1,0.57853,1.02096
0.12,0.671,1.00109
0.14,0.75598,0.97576
0.16,0.83367,0.94595
0.18,0.90432,0.91253
0.2,0.9682,0.87633
0.22,1.02561,0.83804
0.24,1.07686,0.79832
0.26,1.12227,0.75772
0.28,1.16219,0.71672
0.3,1.19695,0.67576
0.32,1.22688,0.63519
0.34,1.25233,0.59531
0.36,1.27363,0.55637
0.38,1.29109,0.51857
0.4,1.30505,0.48208
0.42,1.31579,0.44702
0.44,1.32361,0.41348
0.46,1.32879,0.38153
0.48,1.33161,0.35121
0.5,1.3323,0.32254
0.52,1.33112,0.29552
0.54,1.32827,0.27014
0.56,1.32398,0.24638
0.58,1.31843,0.22419
0.6,1.3118,0.20354
0.62,1.30427,0.18437
0.64,1.29598,0.16662
0.66,1.28707,0.15024
0.68,1.27768,0.13516
0.7,1.26791,0.12132
0.72,1.25788,0.10865
0.74,1.24766,0.09708
0.76,1.23735,0.08654
0.78,1.22702,0.07697
0.8,1.21674,0.0683
0.82,1.20655,0.06047
0.84,1.19651,0.05342
0.86,1.18665,0.04708
0.88,1.17702,0.04139
0.9,1.16765,0.03631
0.92,1.15854,0.03178
0.94,1.14974,0.02776
0.96,1.14124,0.02419
0.98,1.13306,0.02103
1.0,1.12521,0.01824
1.02,1.11769,0.01578
1.04,1.11049,0.01363
1.06,1.10363,0.01175
1.08,1.0971,0.0101
1.1,1.09089,0.00866
1.12,1.08499,0.00742
1.14,1.07941,0.00634
1.16,1.07412,0.0054
1.18,1.06913,0.0046
1.2,1.06442,0.0039
1.22,1.05998,0.00331
1.24,1.0558,0.00279
1.26,1.05187,0.00236
1.28,1.04818,0.00199
1.3,1.04472,0.00167
1.32,1.04147,0.0014
1.34,1.03844,0.00117
1.36,1.0356,0.00098
1.38,1.03295,0.00082
1.4,1.03047,0.00068
1.42,1.02816,0.00057
1.44,1.02601,0.00047
1.46,1.024,0.00039
1.48,1.02214,0.00032
1.5,1.02041,0.00027
1.52,1.0188,0.00022
1.54,1.01731,0.00018
1.56,1.01592,0.00015
1.58,1.01464,0.00012
1.6,1.01345,0.0001
1.62,1.01235,8e-05
1.64,1.01133,7e-05
1.66,1.01039,5e-05
1.68,1.00953,4e-05
1.7,1.00873,4e-05
1.72,1.00799,3e-05
1.74,1.00731,2e-05
1.76,1.00668,2e-05
1.78,1.0061,2e-05
1.8,1.00557,1e-05
1.82,1.00509,1e-05
1.84,1.00464,1e-05
1.86,1.00423,1e-05
1.88,1.00385,1e-05
1.9,1.00351,0.0
1.92,1.00319,0.0
1.94,1.0029,0.0
1.96,1.00264,0.0
1.98,1.0024,0.0
2.0,1.00217,0.0
2.02,1.00197,0.0
2.04,1.00179,0.0
2.06,1.00162,0.0
2.08,1.00147,0.0
2.1,1.00133,0.0
2.12,1.0012,0.0
2.14,1.00109,0.0
2.16,1.00098,0.0
2.18,1.00088,0.0
2.2,1.0008,0.0
2.22,1.00072,0.0
2.24,1.00065,0.0
2.26,1.00058,0.0
2.28,1.00052,0.0
2.3,1.00047,0.0
2.32,1.00042,0.0
2.34,1.00038,0.0
2.36,1.00034,0.0
2.38,1.00031,0.0
2.4,1.00027,0.0
2.42,1.00025,0.0
2.44,1.00022,0.0
2.46,1.0002,0.0
2.48,1.00018,0.0
2.5,1.00016,0.0
2.52,1.00014,0.0
2.54,1.00013,0.0
2.56,1.00011,0.0
