ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6
0.98,1.1287,0.01853,1.15326,0.02047,1.18386,0.02395,1.10062,0.01815,1.11528,0.01916,1.13306,0.02103
1,1.12265,0.01611,1.14584,0.01785,1.17471,0.02103,1.09504,0.01574,1.10867,0.0166,1.12521,0.01824
1.02,1.11677,0.01397,1.13865,0.01554,1.16586,0.01844,1.08966,0.01362,1.10232,0.01436,1.11769,0.01578
1.04,1.11107,0.01208,1.1317,0.01351,1.15732,0.01614,1.08448,0.01175,1.09623,0.01239,1.11049,0.01363
1.06,1.10554,0.01043,1.12498,0.01172,1.1491,0.01411,1.07952,0.01012,1.09041,0.01066,1.10363,0.01175
1.08,1.10021,0.00898,1.11851,0.01015,1.14119,0.01232,1.07476,0.00869,1.08485,0.00915,1.0971,0.0101
1.1,1.09507,0.00772,1.11228,0.00877,1.13359,0.01074,1.07022,0.00745,1.07956,0.00784,1.09089,0.00866
1.12,1.09012,0.00662,1.10629,0.00757,1.1263,0.00936,1.06588,0.00637,1.07452,0.0067,1.08499,0.00742
1.14,1.08536,0.00566,1.10056,0.00652,1.11933,0.00814,1.06176,0.00543,1.06973,0.00572,1.07941,0.00634
1.16,1.08079,0.00483,1.09506,0.00561,1.11266,0.00707,1.05783,0.00462,1.06519,0.00487,1.07412,0.0054
1.18,1.07641,0.00411,1.0898,0.00482,1.10628,0.00613,1.05411,0.00392,1.0609,0.00413,1.06913,0.0046
1.2,1.07222,0.00349,1.08477,0.00413,1.1002,0.00532,1.05059,0.00332,1.05684,0.0035,1.06442,0.0039
1.22,1.06822,0.00296,1.07997,0.00354,1.09441,0.0046,1.04725,0.00281,1.053,0.00296,1.05998,0.00331
1.24,1.06439,0.00251,1.0754,0.00302,1.08889,0.00398,1.04409,0.00237,1.04938,0.0025,1.0558,0.00279
1.26,1.06074,0.00211,1.07104,0.00258,1.08364,0.00344,1.04112,0.00199,1.04598,0.0021,1.05187,0.00236
1.28,1.05726,0.00178,1.06689,0.0022,1.07866,0.00297,1.03831,0.00167,1.04277,0.00177,1.04818,0.00199
1.3,1.05395,0.0015,1.06295,0.00187,1.07392,0.00256,1.03567,0.0014,1.03976,0.00148,1.04472,0.00167
1.32,1.0508,0.00126,1.0592,0.00159,1.06943,0.00221,1.03318,0.00117,1.03693,0.00124,1.04147,0.0014
1.34,1.04781,0.00105,1.05565,0.00135,1.06518,0.0019,1.03085,0.00097,1.03428,0.00103,1.03844,0.00117
1.36,1.04497,0.00088,1.05228,0.00115,1.06115,0.00163,1.02865,0.00081,1.03179,0.00086,1.0356,0.00098
1.38,1.04227,0.00073,1.04908,0.00097,1.05733,0.0014,1.0266,0.00067,1.02947,0.00072,1.03295,0.00082
1.4,1.03971,0.00061,1.04605,0.00082,1.05373,0.00121,1.02467,0.00056,1.0273,0.00059,1.03047,0.00068
1.42,1.03729,0.0005,1.04319,0.0007,1.05032,0.00103,1.02287,0.00046,1.02526,0.00049,1.02816,0.00057
1.44,1.035,0.00042,1.04048,0.00059,1.0471,0.00089,1.02119,0.00038,1.02337,0.00041,1.02601,0.00047
1.46,1.03283,0.00035,1.03793,0.0005,1.04407,0.00076,1.01961,0.00031,1.0216,0.00034,1.024,0.00039
1.48,1.03078,0.00029,1.03551,0.00042,1.04121,0.00065,1.01814,0.00026,1.01995,0.00028,1.02214,0.00032
1.5,1.02884,0.00024,1.03323,0.00036,1.03852,0.00056,1.01677,0.00021,1.01842,0.00023,1.02041,0.00027
1.52,1.02701,0.00019,1.03108,0.0003,1.03598,0.00048,1.0155,0.00017,1.01699,0.00019,1.0188,0.00022
1.54,1.02528,0.00016,1.02906,0.00025,1.03359,0.00041,1.01431,0.00014,1.01567,0.00015,1.01731,0.00018
1.56,1.02365,0.00013,1.02715,0.00021,1.03135,0.00035,1.0132,0.00011,1.01443,0.00013,1.01592,0.00015
1.58,1.02211,0.00011,1.02535,0.00018,1.02924,0.0003,1.01217,9.00E-05,1.01329,0.0001,1.01464,0.00012
1.6,1.02066,9.00E-05,1.02366,0.00015,1.02726,0.00025,1.01122,7.00E-05,1.01223,8.00E-05,1.01345,0.0001
1.62,1.0193,7.00E-05,1.02207,0.00013,1.0254,0.00022,1.01033,6.00E-05,1.01125,7.00E-05,1.01235,8.00E-05
1.64,1.01802,6.00E-05,1.02058,0.00011,1.02366,0.00018,1.00951,5.00E-05,1.01034,5.00E-05,1.01133,7.00E-05
1.66,1.01681,5.00E-05,1.01918,9.00E-05,1.02202,0.00016,1.00874,4.00E-05,1.00949,4.00E-05,1.01039,5.00E-05
1.68,1.01568,4.00E-05,1.01786,8.00E-05,1.02049,0.00013,1.00804,3.00E-05,1.00871,4.00E-05,1.00953,4.00E-05
1.7,1.01461,3.00E-05,1.01663,6.00E-05,1.01906,0.00011,1.00738,3.00E-05,1.00799,3.00E-05,1.00873,4.00E-05
1.72,1.01361,3.00E-05,1.01547,5.00E-05,1.01771,0.0001,1.00678,2.00E-05,1.00733,2.00E-05,1.00799,3.00E-05
1.74,1.01267,2.00E-05,1.01439,4.00E-05,1.01646,8.00E-05,1.00622,2.00E-05,1.00672,2.00E-05,1.00731,2.00E-05
1.76,1.01179,2.00E-05,1.01337,4.00E-05,1.01529,7.00E-05,1.0057,1.00E-05,1.00615,2.00E-05,1.00668,2.00E-05
1.78,1.01097,1.00E-05,1.01242,3.00E-05,1.01419,6.00E-05,1.00522,1.00E-05,1.00563,1.00E-05,1.0061,2.00E-05
1.8,1.0102,1.00E-05,1.01153,3.00E-05,1.01316,5.00E-05,1.00478,1.00E-05,1.00515,1.00E-05,1.00557,1.00E-05
1.82,1.00947,1.00E-05,1.0107,2.00E-05,1.01221,4.00E-05,1.00438,1.00E-05,1.00471,1.00E-05,1.00509,1.00E-05
1.84,1.00879,1.00E-05,1.00992,2.00E-05,1.01132,4.00E-05,1.004,1.00E-05,1.0043,1.00E-05,1.00464,1.00E-05
1.86,1.00816,1.00E-05,1.00919,2.00E-05,1.01049,3.00E-05,1.00366,0,1.00392,1.00E-05,1.00423,1.00E-05
1.88,1.00757,0,1.00851,1.00E-05,1.00972,3.00E-05,1.00334,0,1.00358,0,1.00385,1.00E-05
1.9,1.00702,0,1.00788,1.00E-05,1.009,2.00E-05,1.00305,0,1.00326,0,1.00351,0
1.92,1.0065,0,1.00729,1.00E-05,1.00833,2.00E-05,1.00278,0,1.00297,0,1.00319,0
1.94,1.00602,0,1.00674,1.00E-05,1.0077,2.00E-05,1.00253,0,1.00271,0,1.0029,0
1.96,1.00556,0,1.00623,1.00E-05,1.00712,1.00E-05,1.0023,0,1.00246,0,1.00264,0
1.98,1.00514,0,1.00575,1.00E-05,1.00659,1.00E-05,1.0021,0,1.00224,0,1.0024,0
2,1.00475,0,1.00531,0,1.00609,1.00E-05,1.00191,0,1.00204,0,1.00217,0
2.02,1.00439,0,1.00489,0,1.00562,1.00E-05,1.00173,0,1.00185,0,1.00197,0
2.04,1.00405,0,1.00451,0,1.0052,1.00E-05,1.00157,0,1.00168,0,1.00179,0
2.06,1.00373,0,1.00415,0,1.0048,1.00E-05,1.00143,0,1.00152,0,1.00162,0
2.08,1.00344,0,1.00382,0,1.00443,0,1.0013,0,1.00138,0,1.00147,0
2.1,1.00317,0,1.00351,0,1.00409,0,1.00118,0,1.00125,0,1.00133,0
2.12,1.00291,0,1.00322,0,1.00377,0,1.00107,0,1.00113,0,1.0012,0
2.14,1.00268,0,1.00296,0,1.00348,0,1.00097,0,1.00102,0,1.00109,0
2.16,1.00246,0,1.00271,0,1.00321,0,1.00088,0,1.00093,0,1.00098,0
2.18,1.00225,0,1.00248,0,1.00296,0,1.00079,0,1.00084,0,1.00088,0
2.2,1.00207,0,1.00227,0,1.00273,0,1.00072,0,1.00075,0,1.0008,0
