ETA,F,G
0.0,0.0,1.0
0.02,0.13538,1.02977
0.04,0.26299,1.04721
0.06,0.38271,1.05374
0.08,0.49451,1.05072
0.1,0.59841,1.03943
0.12,0.69452,1.02107
0.14,0.78299,0.99676
0.16,0.86402,0.96753
0.18,0.93784,0.93431
0.2,1.00472,0.89797
0.22,1.06495,0.85927
0.24,1.11886,0.8189
0.26,1.16676,0.77747
0.28,1.20899,0.73551
0.3,1.24589,0.69348
0.32,1.27781,0.65177
0.34,1.30509,0.61072
0.36,1.32806,0.5706
0.38,1.34705,0.53165
0.4,1.36238,0.49405
0.42,1.37437,0.45794
0.44,1.3833,0.42342
0.46,1.38946,0.39057
0.48,1.39313,0.35943
0.5,1.39455,0.33004
0.52,1.39398,0.30238
0.54,1.39162,0.27645
0.56,1.38771,0.25221
0.58,1.38243,0.22963
0.6,1.37597,0.20864
0.62,1.3685,0.1892
0.64,1.36017,0.17124
0.66,1.35112,0.15469
0.68,1.34148,0.13947
0.7,1.33138,0.12552
0.72,1.32091,0.11276
0.74,1.31018,0.10111
0.76,1.29927,0.0905
0.78,1.28825,0.08087
0.8,1.2772,0.07213
0.82,1.26617,0.06423
0.84,1.25523,0.0571
0.86,1.2444,0.05068
0.88,1.23374,0.0449
0.9,1.22327,0.03972
0.92,1.21303,0.03509
0.94,1.20303,0.03094
0.96,1.19331,0.02724
0.98,1.18386,0.02395
1.0,1.17471,0.02103
1.02,1.16586,0.01844
1.04,1.15732,0.01614
1.06,1.1491,0.01411
1.08,1.14119,0.01232
1.1,1.13359,0.01074
1.12,1.1263,0.00936
1.14,1.11933,0.00814
1.16,1.11266,0.00707
1.18,1.10628,0.00613
1.2,1.1002,0.00532
1.22,1.09441,0.0046
1.24,1.08889,0.00398
1.26,1.08364,0.00344
1.28,1.07866,0.00297
1.3,1.07392,0.00256
1.32,1.06943,0.00221
1.34,1.06518,0.0019
1.36,1.06115,0.00163
1.38,1.05733,0.0014
1.4,1.05373,0.00121
1.42,1.05032,0.00103
1.44,1.0471,0.00089
1.46,1.04407,0.00076
1.48,1.04121,0.00065
1.5,1.03852,0.00056
1.52,1.03598,0.00048
1.54,1.03359,0.00041
1.56,1.03135,0.00035
1.58,1.02924,0.0003
1.6,1.02726,0.00025
1.62,1.0254,0.00022
1.64,1.02366,0.00018
1.66,1.02202,0.00016
1.68,1.02049,0.00013
1.7,1.01906,0.00011
1.72,1.01771,0.0001
1.74,1.01646,8e-05
1.76,1.01529,7e-05
1.78,1.01419,6e-05
1.8,1.01316,5e-05
1.82,1.01221,4e-05
1.84,1.01132,4e-05
1.86,1.01049,3e-05
1.88,1.00972,3e-05
1.9,1.009,2e-05
1.92,1.00833,2e-05
1.94,1.0077,2e-05
1.96,1.00712,1e-05
1.98,1.00659,1e-05
2.0,1.00609,1e-05
2.02,1.00562,1e-05
2.04,1.0052,1e-05
2.06,1.0048,1e-05
2.08,1.00443,0.0
2.1,1.00409,0.0
2.12,1.00377,0.0
2.14,1.00348,0.0
2.16,1.00321,0.0
2.18,1.00296,0.0
2.2,1.00273,0.0
2.22,1.00252,0.0
2.24,1.00232,0.0
2.26,1.00214,0.0
2.28,1.00198,0.0
2.3,1.00182,0.0
2.32,1.00168,0.0
2.34,1.00155,0.0
2.36,1.00144,0.0
2.38,1.00133,0.0
2.4,1.00123,0.0
2.42,1.00114,0.0
2.44,1.00105,0.0
2.46,1.00098,0.0
2.48,1.00091,0.0
2.5,1.00084,0.0
2.52,1.00078,0.0
2.54,1.00073,0.0
2.56,1.00068,0.0
2.58,1.00064,0.0
2.6,1.0006,0.0
2.62,1.00057,0.0
2.64,1.00053,0.0
2.66,1.00051,0.0
2.68,1.00048,0.0
2.7,1.00046,0.0
2.72,1.00044,0.0
2.74,1.00042,0.0
2.76,1.0004,0.0
2.78,1.00038,0.0
2.8,1.00037,0.0
2.82,1.00035,0.0
2.84,1.00034,0.0
2.86,1.00033,0.0
2.88,1.00032,0.0
2.9,1.00031,-0.0
2.92,1.0003,-0.0
2.94,1.00029,-0.0
2.96,1.00028,-0.0
2.98,1.00027,-0.0
3.0,1.00026,-0.0
3.02,1.00026,-0.0
3.04,1.00025,-0.0
3.06,1.00025,-0.0
3.08,1.00024,-0.0
3.1,1.00024,-0.0
3.12,1.00024,-0.0
3.14,1.00023,-0.0
3.16,1.00023,-0.0
3.18,1.00023,-0.0
3.2,1.00022,-0.0
3.22,1.00022,-0.0
3.24,1.00022,-0.0
3.26,1.00021,-0.0
3.28,1.00021,-0.0
3.3,1.00021,-0.0
3.32,1.00021,-0.0
3.34,1.0002,-0.0
3.36,1.0002,-0.0
3.38,1.0002,-0.0
3.4,1.0002,-0.0
3.42,1.0002,-0.0
3.44,1.0002,-0.0
3.46,1.0002,-0.0
3.48,1.0002,-0.0
3.5,1.00019,-0.0
3.52,1.00019,-0.0
3.54,1.00019,-0.0
3.56,1.00019,-0.0
3.58,1.00019,-0.0
3.6,1.00019,-0.0
3.62,1.00019,-0.0
3.64,1.00018,-0.0
3.66,1.00018,-0.0
3.68,1.00018,-0.0
3.7,1.00018,-0.0
3.72,1.00018,-0.0
3.74,1.00017,-0.0
3.76,1.00017,-0.0
3.78,1.00017,-0.0
3.8,1.00017,-0.0
3.82,1.00017,-0.0
3.84,1.00016,-0.0
3.86,1.00016,-0.0
3.88,1.00016,-0.0
3.9,1.00016,-0.0
3.92,1.00016,-0.0
3.94,1.00016,-0.0
3.96,1.00015,-0.0
3.98,1.00015,-0.0
4.0,1.00015,-0.0
4.02,1.00014,-0.0
4.04,1.00014,-0.0
4.06,1.00014,-0.0
4.08,1.00013,-0.0
4.1,1.00013,-0.0
4.12,1.00013,-0.0
4.14,1.00013,-0.0
4.16,1.00012,-0.0
4.18,1.00012,-0.0
4.2,1.00012,-0.0
4.22,1.00011,-0.0
4.24,1.00011,-0.0
4.26,1.0001,-0.0
4.28,1.0001,-0.0
4.3,1.0001,-0.0
4.32,1.00009,-0.0
4.34,1.00009,-0.0
4.36,1.00009,0.0
4.38001,1.00008,0.0
4.40001,1.00008,0.0
4.42001,1.00008,0.0
4.44001,1.00007,0.0
4.46001,1.00007,0.0
4.48001,1.00007,0.0
4.50001,1.00007,0.0
4.52001,1.00006,0.0
4.54001,1.00006,0.0
4.56001,1.00006,0.0
4.58001,1.00006,0.0
4.60001,1.00005,0.0
4.62001,1.00005,0.0
4.64001,1.00005,0.0
4.66001,1.00004,0.0
4.68001,1.00004,0.0
4.70001,1.00004,0.0
4.72001,1.00004,0.0
4.74001,1.00003,0.0
4.76001,1.00003,0.0
4.78001,1.00003,0.0
4.80001,1.00003,0.0
4.82002,1.00002,0.0
4.84002,1.00002,0.0
4.86002,1.00002,0.0
4.88002,1.00002,0.0
4.90002,1.00001,0.0
4.92002,1.00001,0.0
4.94002,1.00001,0.0
4.96002,1.00001,0.0
4.98002,1.0,0.0
5.00002,1.0,0.0
