    ETA       F       G
    3.92000    1.00000   -0.00000
    3.94000    1.00000   -0.00000
    3.96000    1.00000   -0.00000
    3.98000    1.00000   -0.00000
    4.00000    0.99999   -0.00000
    4.02000    0.99999   -0.00000
    4.04000    0.99999   -0.00000
    4.06000    0.99999   -0.00000
    4.08000    0.99999   -0.00000
    4.10000    1.00000   -0.00000
    4.12000    0.99999   -0.00000
    4.14000    0.99999   -0.00000
    4.16000    0.99999   -0.00000
    4.18000    0.99999   -0.00000
    4.20000    0.99999   -0.00000
    4.22000    0.99999   -0.00000
    4.24000    0.99999   -0.00000
    4.26000    0.99999   -0.00000
    4.28000    0.99999   -0.00000
    4.30000    0.99999   -0.00000
    4.32000    1.00000   -0.00000
    4.34000    1.00000   -0.00000
    4.36000    1.00000   -0.00000
    4.38001    1.00000   -0.00000
    4.40001    1.00000   -0.00000
    4.42001    1.00000   -0.00000
    4.44001    1.00000   -0.00000
    4.46001    1.00000   -0.00000
    4.48001    1.00000   -0.00000
    4.50001    1.00000   -0.00000
    4.52001    1.00000   -0.00000
    4.54001    1.00000   -0.00000
    4.56001    1.00000   -0.00000
    4.58001    1.00000   -0.00000
    4.60001    1.00000   -0.00000
    4.62001    1.00000   -0.00000
    4.64001    1.00000   -0.00000
    4.66001    1.00000   -0.00000
    4.68001    0.99999   -0.00000
    4.70001    0.99999   -0.00000
    4.72001    0.99999   -0.00000
    4.74001    0.99999   -0.00000
    4.76001    0.99999   -0.00000
    4.78001    0.99999   -0.00000
    4.80001    0.99999   -0.00000
    4.82002    0.99999   -0.00000
    4.84002    0.99999   -0.00000
    4.86002    0.99999   -0.00000
    4.88002    0.99999   -0.00000
    4.90002    0.99999   -0.00000
    4.92002    0.99999   -0.00000
    4.94002    1.00000   -0.00000
    4.96002    1.00000    0.00000
    4.98002    1.00000    0.00000
    5.00002    1.00000    0.00000
