ETA,Pi
3.39,-16.73015
3.4,-6.63378
3.41,10.6214
3.42,27.3139
3.43,35.83942
3.44,32.17558
3.45,17.80234
3.46,-0.8535
3.47,-15.27079
3.48,-18.73755
3.49,-9.51401
3.5,8.25206
3.51,26.35643
3.52,36.33089
3.53,33.44986
3.54,19.04486
3.55,-0.03393
3.56,-14.63101
3.57,-17.68985
3.58,-7.72876
3.59,10.34834
3.6,27.58166
3.61,35.3502
3.62,29.69495
3.63,13.39117
3.64,-5.33284
3.65,-16.88601
3.66,-15.20726
3.67,-0.9639
3.68,18.64838
3.69,33.50709
3.7,35.78531
3.71,24.10272
3.72,4.38804
3.73,-13.1009
3.74,-19.13142
3.75,-10.43516
3.76,8.43407
3.77,27.42321
3.78,36.33013
3.79,30.34838
3.8,12.76584
3.81,-6.73344
3.82,-17.34077
3.83,-13.12768
3.84,3.5627
3.85,23.31249
3.86,34.86161
3.87,31.49829
3.88,14.98521
3.89,-5.30061
3.9,-17.63814
3.91,-14.72129
3.92,1.99347
3.93,22.9593
3.94,35.9796
3.95,33.34111
3.96,16.45396
3.97,-4.82617
3.98,-17.9305
3.99,-15.05742
4.0,2.0662
4.01,23.09759
