ETA,Pi
0.0,8.61074
0.01,8.5788
0.02,8.48344
0.03,8.32468
0.04,8.10245
0.05,7.81672
0.06,7.46791
0.07,7.05558
0.08,6.58037
0.09,6.04243
0.1,5.44224
0.11,4.78025
0.12,4.05762
0.13,3.27493
0.14,2.43387
0.15,1.53563
0.16,0.58252
0.17,-0.42317
0.18,-1.4786
0.19,-2.58027
0.2,-3.72423
0.21,-4.90582
0.22,-6.11997
0.23,-7.36047
0.24,-8.62061
0.25,-9.89268
0.26,-11.1682
0.27,-12.43804
0.28,-13.69186
0.29,-14.91829
0.3,-16.10566
0.31,-17.24079
0.32,-18.31002
0.33,-19.29889
0.34,-20.19234
0.35,-20.97455
0.36,-21.62939
0.37,-22.14056
0.38,-22.4915
0.39,-22.66587
0.4,-22.64807
0.41,-22.42257
0.42,-21.97551
0.43,-21.2939
0.44,-20.36687
0.45,-19.1853
0.46,-17.74282
0.47,-16.03585
0.48,-14.06414
0.49,-11.83122
0.5,-9.34479
0.51,-6.61658
0.52,-3.66372
0.53,-0.50779
0.54,2.82434
0.55,6.30044
0.56,9.88312
0.57,13.53003
0.58,17.19397
0.59,20.82323
0.6,24.36242
0.61,27.75318
0.62,30.93478
0.63,33.84566
0.64,36.42415
0.65,38.61035
0.66,40.34731
0.67,41.58281
0.68,42.2709
0.69,42.37395
0.7,41.86406
0.71,40.72459
0.72,38.95229
0.73,36.55788
0.74,33.56778
0.75,30.02439
0.76,25.98655
0.77,21.52948
0.78,16.74439
0.79,11.73662
0.8,6.62449
0.81,1.53659
0.82,-3.39113
0.83,-8.01892
0.84,-12.20749
0.85,-15.82217
0.86,-18.73775
0.87,-20.84388
0.88,-22.04921
0.89,-22.28674
0.9,-21.51772
0.91,-19.73548
0.92,-16.9679
0.93,-13.27938
0.94,-8.77065
0.95,-3.57808
0.96,2.12901
0.97,8.15294
0.98,14.27346
0.99,20.25519
1.0,25.85657
1.01,30.83975
1.02,34.98091
1.03,38.08175
1.04,39.97977
1.05,40.55848
1.06,39.75573
1.07,37.57058
1.08,34.06746
1.09,29.37677
1.1,23.69337
1.11,17.27045
1.12,10.41041
1.13,3.45175
1.14,-3.24644
1.15,-9.32299
1.16,-14.43393
1.17,-18.27368
1.18,-20.59417
1.19,-21.2232
1.2,-20.07894
1.21,-17.18028
1.22,-12.65193
1.23,-6.72301
1.24,0.28127
1.25,7.95425
1.26,15.82973
1.27,23.40877
1.28,30.19049
1.29,35.70648
1.3,39.55402
1.31,41.42765
1.32,41.14649
1.33,38.67355
1.34,34.12691
1.35,27.77896
1.36,20.04528
1.37,11.46061
1.38,2.64467
1.39,-5.74114
1.4,-13.04361
1.41,-18.67008
1.42,-22.13916
1.43,-23.12571
1.44,-21.49558
1.45,-17.32664
1.46,-10.91208
1.47,-2.74567
1.48,6.51137
1.49,16.08068
1.5,25.13091
1.51,32.85022
1.52,38.52134
1.53,41.59271
1.54,41.73734
1.55,38.89418
1.56,33.28585
1.57,25.40932
1.58,15.99887
1.59,5.96286
1.6,-3.70088
1.61,-12.00383
1.62,-18.07004
1.63,-21.23315
1.64,-21.11648
1.65,-17.68559
1.66,-11.26629
1.67,-2.52375
1.68,7.59915
1.69,17.97644
1.7,27.42181
1.71,34.8236
1.72,39.27802
1.73,40.20567
1.74,37.4334
1.75,31.23233
1.76,22.30241
1.77,11.70321
1.78,0.73585
1.79,-9.21246
1.8,-16.84314
1.81,-21.11813
1.82,-21.40733
1.83,-17.58894
1.84,-10.08612
1.85,0.16763
1.86,11.83594
1.87,23.34797
1.88,33.10757
1.89,39.71787
1.9,42.18608
1.91,40.08284
1.92,33.62489
1.93,23.66865
1.94,11.60753
1.95,-0.81588
1.96,-11.75843
1.97,-19.55363
1.98,-22.97325
1.99,-21.43403
2.0,-15.11168
2.01,-4.93946
2.02,7.51454
2.03,20.281
2.04,31.29612
2.05,38.74046
2.06,41.3489
2.07,38.64145
2.08,31.02936
2.09,19.7728
2.1,6.78821
2.11,-5.66549
2.12,-15.37689
2.13,-20.57741
2.14,-20.27556
2.15,-14.4613
2.16,-4.13978
2.17,8.82323
2.18,22.0233
2.19,32.95509
2.2,39.48686
2.21,40.28352
2.22,35.09148
2.23,24.82354
2.24,11.41692
2.25,-2.51859
2.26,-14.2018
2.27,-21.2358
2.28,-22.10839
2.29,-16.53093
2.3,-5.53737
2.31,8.68822
2.32,23.23402
2.33,35.05318
2.34,41.61005
2.35,41.43944
2.36,34.4967
2.37,22.20831
2.38,7.20087
2.39,-7.24842
2.4,-17.92689
2.41,-22.4136
2.42,-19.6519
2.43,-10.22768
2.44,3.72274
2.45,18.97138
2.46,31.9316
2.47,39.50184
2.48,39.82302
2.49,32.7626
2.5,19.99262
2.51,4.62631
2.52,-9.51778
2.53,-18.85483
2.54,-20.94662
2.55,-15.15581
2.56,-2.86051
2.57,12.84537
2.58,27.90845
2.59,38.35256
2.6,41.33146
2.61,35.9189
2.62,23.41313
2.63,7.05173
2.64,-8.80964
2.65,-19.85613
2.66,-23.00096
2.67,-17.27378
2.68,-4.14676
2.69,12.81467
2.7,28.90647
2.71,39.59231
2.72,41.80512
2.73,34.86407
2.74,20.72642
2.75,3.47489
2.76,-11.83752
2.77,-20.66825
2.78,-20.35537
2.79,-10.96278
2.8,4.68096
2.81,21.79061
2.82,35.0609
2.83,40.30616
2.84,35.79773
2.85,22.86782
2.86,5.55944
2.87,-10.59982
2.88,-20.34334
2.89,-20.38513
2.9,-10.54653
2.91,6.10063
2.92,24.16531
2.93,37.66862
2.94,42.03004
2.95,35.64408
2.96,20.50049
2.97,1.59779
2.98,-14.6909
2.99,-22.77849
3.0,-19.81692
3.01,-6.75401
3.02,11.91573
3.03,29.66477
3.04,40.2156
3.05,39.79295
3.06,28.53354
3.07,10.50906
3.08,-7.68942
3.09,-19.33383
3.1,-20.05499
3.11,-9.52497
3.12,8.33793
3.13,26.76937
3.14,38.6823
3.15,39.38565
3.16,28.45155
3.17,9.97882
3.18,-8.90491
3.19,-20.77007
3.2,-20.81205
3.21,-8.82006
3.22,10.62738
3.23,29.8839
3.24,41.24215
3.25,40.05217
3.26,26.67789
3.27,6.45302
3.28,-12.4111
3.29,-22.16565
3.3,-18.75653
3.31,-3.58845
3.32,16.97143
3.33,34.20879
3.34,40.74821
3.35,33.75186
3.36,16.23193
3.37,-4.1597
3.38,-18.41063
3.39,-20.11353
3.4,-8.37311
3.41,11.67781
3.42,31.06332
3.43,40.94617
3.44,36.65482
3.45,19.91645
3.46,-1.7899
3.47,-18.55299
3.48,-22.56948
3.49,-11.82199
3.5,8.85994
3.51,29.93243
3.52,41.5472
3.53,38.20947
3.54,21.46732
3.55,-0.71559
3.56,-17.69596
3.57,-21.27109
3.58,-9.71736
3.59,11.26839
3.6,31.27756
3.61,40.29625
3.62,33.72665
3.63,14.79403
3.64,-6.94195
3.65,-20.33964
3.66,-18.36061
3.67,-1.78597
3.68,21.01661
3.69,38.27979
3.7,40.90683
3.71,27.297
3.72,4.34801
3.73,-16.00848
3.74,-23.03259
3.75,-12.92085
3.76,9.03133
3.77,31.13108
3.78,41.51161
3.79,34.58063
3.8,14.15799
3.81,-8.49993
3.82,-20.83
3.83,-15.94258
3.84,3.43769
3.85,26.36508
3.86,39.7571
3.87,35.82221
3.88,16.6194
3.89,-6.94722
3.9,-21.25826
3.91,-17.83138
3.92,1.62957
3.93,26.01998
3.94,41.15934
3.95,38.08237
3.96,18.43156
3.97,-6.33219
3.98,-21.59347
3.99,-18.27735
4.0,1.61529
4.01,26.06593
