ETA,Pi
2.25,-0.20946
2.26,-8.14931
2.27,-12.95669
2.28,-13.60195
2.29,-9.88335
2.3,-2.49564
2.31,7.0867
2.32,16.89492
2.33,24.86767
2.34,29.28889
2.35,29.16683
2.36,24.47104
2.37,16.16735
2.38,6.03377
2.39,-3.71124
2.4,-10.89369
2.41,-13.87678
2.42,-11.94899
2.43,-5.513
2.44,3.97769
2.45,14.33073
2.46,23.11269
2.47,28.22209
2.48,28.4023
2.49,23.56841
2.5,14.85908
2.51,4.38918
2.52,-5.24907
2.53,-11.62233
2.54,-13.07493
2.55,-9.17218
2.56,-0.84581
2.57,9.80897
2.58,20.04576
2.59,27.16905
2.6,29.24732
2.61,25.64755
2.62,17.24184
2.63,6.21452
2.64,-4.4927
2.65,-11.96309
2.66,-14.10781
2.67,-10.26664
2.68,-1.42985
2.69,9.99612
2.7,20.83325
2.71,28.01556
2.72,29.47031
2.73,24.739
2.74,15.14878
2.75,3.46536
2.76,-6.88844
2.77,-12.83603
2.78,-12.57564
2.79,-6.15363
2.8,4.5083
2.81,16.16049
2.82,25.19925
2.83,28.77998
2.84,25.72569
2.85,16.93822
2.86,5.16116
2.87,-5.85249
2.88,-12.52457
2.89,-12.61913
2.9,-6.00696
2.91,5.23686
2.92,17.46345
2.93,26.62362
2.94,29.61304
2.95,25.34076
2.96,15.14873
2.97,2.41463
2.98,-8.55426
2.99,-13.98389
3.0,-11.95422
3.01,-3.11194
3.02,9.50029
3.03,21.46844
3.04,28.55066
3.05,28.19982
3.06,20.51624
3.07,8.26319
3.08,-4.0912
3.09,-11.98668
3.1,-12.46146
3.11,-5.29279
3.12,6.86335
3.13,19.41929
3.14,27.5646
3.15,28.10806
3.16,20.74476
3.17,8.23984
3.18,-4.58157
3.19,-12.67973
3.2,-12.78593
3.21,-4.74152
3.22,8.36566
3.23,21.36511
3.24,29.04054
3.25,28.24275
3.26,19.21566
3.27,5.56741
3.28,-7.14624
3.29,-13.68442
3.3,-11.31118
3.31,-0.99017
3.32,12.95493
3.33,24.61651
3.34,29.00223
3.35,24.19961
3.36,12.26094
3.37,-1.61969
3.38,-11.32764
3.39,-12.51465
3.4,-4.56803
3.41,9.03798
3.42,22.22202
3.43,28.99151
3.44,26.16971
3.45,14.90857
3.46,0.2545
3.47,-11.093
3.48,-13.85005
3.49,-6.63843
3.5,7.28943
3.51,21.48745
3.52,29.29808
3.53,27.00576
3.54,15.66023
3.55,0.65385
3.56,-10.80686
3.57,-13.16907
3.58,-5.27169
3.59,9.01478
3.6,22.62366
3.61,28.75582
3.62,24.28861
3.63,11.41004
3.64,-3.39151
3.65,-12.55094
3.66,-11.28248
3.67,-0.10074
3.68,15.33483
3.69,27.05562
3.7,28.89536
3.71,19.75864
3.72,4.30039
3.73,-9.41823
3.74,-14.14136
3.75,-7.30224
3.76,7.51725
3.77,22.41372
3.78,29.36897
3.79,24.61031
3.8,10.73322
3.81,-4.63396
3.82,-12.97884
3.83,-9.63248
3.84,3.55827
3.85,19.17071
3.86,28.32527
3.87,25.71939
3.88,12.72563
3.89,-3.27736
3.9,-13.05165
3.91,-10.82604
3.92,2.27228
3.93,18.74109
3.94,28.98429
3.95,26.92867
3.96,13.67827
3.97,-3.0173
3.98,-13.27466
3.99,-10.96512
4.0,2.5389
4.01,19.08761
