ETA,Pi
0.0,7.49853
0.01,7.47709
0.02,7.4124
0.03,7.30489
0.04,7.15422
0.05,6.9606
0.06,6.72406
0.07,6.44474
0.08,6.12257
0.09,5.75794
0.1,5.351
0.11,4.90219
0.12,4.41191
0.13,3.88102
0.14,3.31026
0.15,2.70072
0.16,2.05381
0.17,1.37093
0.18,0.65411
0.19,-0.0943
0.2,-0.87182
0.21,-1.67527
0.22,-2.50114
0.23,-3.34513
0.24,-4.20311
0.25,-5.06968
0.26,-5.93915
0.27,-6.80533
0.28,-7.66128
0.29,-8.49949
0.3,-9.31176
0.31,-10.08938
0.32,-10.82311
0.33,-11.5032
0.34,-12.11925
0.35,-12.66075
0.36,-13.11679
0.37,-13.47615
0.38,-13.72772
0.39,-13.86044
0.4,-13.86352
0.41,-13.72668
0.42,-13.44022
0.43,-12.99543
0.44,-12.38481
0.45,-11.60224
0.46,-10.64318
0.47,-9.50526
0.48,-8.18818
0.49,-6.69433
0.5,-5.02857
0.51,-3.19912
0.52,-1.21726
0.53,0.9024
0.54,3.1417
0.55,5.47894
0.56,7.88883
0.57,10.34282
0.58,12.80892
0.59,15.25223
0.6,17.63533
0.61,19.9186
0.62,22.06112
0.63,24.02116
0.64,25.7571
0.65,27.22836
0.66,28.39651
0.67,29.22604
0.68,29.68617
0.69,29.75126
0.7,29.40244
0.71,28.62871
0.72,27.42765
0.73,25.80678
0.74,23.78395
0.75,21.38794
0.76,18.6587
0.77,15.64721
0.78,12.41521
0.79,9.03421
0.8,5.58431
0.81,2.15266
0.82,-1.16865
0.83,-4.285
0.84,-7.10192
0.85,-9.52824
0.86,-11.47938
0.87,-12.88045
0.88,-13.66994
0.89,-13.80263
0.9,-13.25253
0.91,-12.01543
0.92,-10.11069
0.93,-7.58233
0.94,-4.49925
0.95,-0.95451
0.96,2.93664
0.97,7.03964
0.98,11.20446
0.99,15.27127
1.0,19.07575
1.01,22.45642
1.02,25.26141
1.03,27.35622
1.04,28.63092
1.05,29.00669
1.06,28.44184
1.07,26.93617
1.08,24.53382
1.09,21.32393
1.1,17.43917
1.11,13.05193
1.12,8.36777
1.13,3.6168
1.14,-0.95686
1.15,-5.10779
1.16,-8.60238
1.17,-11.23292
1.18,-12.83091
1.19,-13.27916
1.2,-12.52195
1.21,-10.57176
1.22,-7.51299
1.23,-3.5007
1.24,1.24485
1.25,6.44823
1.26,11.79355
1.27,16.94261
1.28,21.55618
1.29,25.31666
1.3,27.95102
1.31,29.25203
1.32,29.09667
1.33,27.45932
1.34,24.41904
1.35,20.15951
1.36,14.96099
1.37,9.18417
1.38,3.2475
1.39,-2.4026
1.4,-7.32528
1.41,-11.12026
1.42,-13.46237
1.43,-14.13195
1.44,-13.03819
1.45,-10.23321
1.46,-5.91469
1.47,-0.41591
1.48,5.81674
1.49,12.25759
1.5,18.34525
1.51,23.53132
1.52,27.33142
1.53,29.37326
1.54,29.43648
1.55,27.48061
1.56,23.65716
1.57,18.30329
1.58,11.91681
1.59,5.11339
1.6,-1.43093
1.61,-7.04639
1.62,-11.13948
1.63,-13.25902
1.64,-13.14996
1.65,-10.78957
1.66,-6.39953
1.67,-0.43156
1.68,6.47372
1.69,13.55138
1.7,19.99531
1.71,25.04946
1.72,28.09895
1.73,28.74861
1.74,26.87967
1.75,22.67461
1.76,16.60781
1.77,9.39832
1.78,1.92951
1.79,-4.85612
1.8,-10.07581
1.81,-13.02335
1.82,-13.26905
1.83,-10.72783
1.84,-5.68437
1.85,1.23045
1.86,9.11244
1.87,16.89814
1.88,23.50669
1.89,27.99173
1.9,29.68076
1.91,28.28221
1.92,23.94226
1.93,17.23963
1.94,9.11655
1.95,0.75134
1.96,-6.61021
1.97,-11.84246
1.98,-14.11705
1.99,-13.04248
2.0,-8.74092
2.01,-1.84659
2.02,6.57777
2.03,15.19941
2.04,22.62285
2.05,27.61912
2.06,29.335
2.07,27.44909
2.08,22.24311
2.09,14.57326
2.1,5.73988
2.11,-2.72505
2.12,-9.32203
2.13,-12.85194
2.14,-12.64225
2.15,-8.68589
2.16,-1.66412
2.17,7.15814
2.18,16.15022
2.19,23.6121
2.2,28.09584
2.21,28.69201
2.22,25.22311
2.23,18.30174
2.24,9.23572
