ETA,Pi
0.0,7.63657
0.01,7.61422
0.02,7.5471
0.03,7.43514
0.04,7.27868
0.05,7.07733
0.06,6.83138
0.07,6.54085
0.08,6.20591
0.09,5.82667
0.1,5.4035
0.11,4.93693
0.12,4.42728
0.13,3.87528
0.14,3.28186
0.15,2.64809
0.16,1.97546
0.17,1.26551
0.18,0.52023
0.19,-0.25785
0.2,-1.06611
0.21,-1.90122
0.22,-2.75961
0.23,-3.63701
0.24,-4.5287
0.25,-5.42933
0.26,-6.33292
0.27,-7.23301
0.28,-8.12232
0.29,-8.99315
0.3,-9.83685
0.31,-10.6445
0.32,-11.40632
0.33,-12.11228
0.34,-12.75166
0.35,-13.31347
0.36,-13.78606
0.37,-14.15817
0.38,-14.41803
0.39,-14.55417
0.4,-14.5554
0.41,-14.41103
0.42,-14.11094
0.43,-13.64613
0.44,-13.0088
0.45,-12.1925
0.46,-11.19264
0.47,-10.00663
0.48,-8.63424
0.49,-7.078
0.5,-5.34306
0.51,-3.43783
0.52,-1.37402
0.53,0.83303
0.54,3.16449
0.55,5.59774
0.56,8.1066
0.57,10.66111
0.58,13.2282
0.59,15.77152
0.6,18.25212
0.61,20.62879
0.62,22.85896
0.63,24.89921
0.64,26.7063
0.65,28.23798
0.66,29.45419
0.67,30.31817
0.68,30.79768
0.69,30.86618
0.7,30.50409
0.71,29.69979
0.72,28.4509
0.73,26.7652
0.74,24.6612
0.75,22.16883
0.76,19.32958
0.77,16.19657
0.78,12.83397
0.79,9.31608
0.8,5.72626
0.81,2.1551
0.82,-1.30155
0.83,-4.5453
0.84,-7.478
0.85,-10.00477
0.86,-12.03758
0.87,-13.49867
0.88,-14.32385
0.89,-14.46615
0.9,-13.89845
0.91,-12.6164
0.92,-10.63996
0.93,-8.01491
0.94,-4.81274
0.95,-1.13021
0.96,2.91295
0.97,7.17677
0.98,11.50553
0.99,15.73289
1.0,19.68814
1.01,23.20331
1.02,26.12049
1.03,28.2999
1.04,29.6271
1.05,30.02015
1.06,29.43569
1.07,27.87344
1.08,25.37922
1.09,22.04568
1.1,18.01071
1.11,13.45346
1.12,8.58767
1.13,3.65252
1.14,-1.09835
1.15,-5.4097
1.16,-9.03882
1.17,-11.76977
1.18,-13.42739
1.19,-13.88998
1.2,-13.09958
1.21,-11.06942
1.22,-7.8871
1.23,-3.71399
1.24,1.22079
1.25,6.63087
1.26,12.18775
1.27,17.5398
1.28,22.3342
1.29,26.2408
1.3,28.9756
1.31,30.32338
1.32,30.15621
1.33,28.44756
1.34,25.27985
1.35,20.84415
1.36,15.43222
1.37,9.41935
1.38,3.2408
1.39,-2.63888
1.4,-7.76108
1.41,-11.70942
1.42,-14.14572
1.43,-14.84145
1.44,-13.70224
1.45,-10.78238
1.46,-6.28756
1.47,-0.56448
1.48,5.9224
1.49,12.62631
1.5,18.96322
1.51,24.3626
1.52,28.32059
1.53,30.44975
1.54,30.52078
1.55,28.49144
1.56,24.51918
1.57,18.95444
1.58,12.31485
1.59,5.24053
1.6,-1.56551
1.61,-7.40676
1.62,-11.66613
1.63,-13.87423
1.64,-13.76585
1.65,-11.31729
1.66,-6.75874
1.67,-0.55979
1.68,6.6137
1.69,13.96676
1.7,20.6613
1.71,25.91162
1.72,29.07868
1.73,29.75183
1.74,27.80749
1.75,23.43573
1.76,17.12975
1.77,9.63712
1.78,1.8762
1.79,-5.17327
1.8,-10.59375
1.81,-13.65116
1.82,-13.89918
1.83,-11.24965
1.84,-5.99898
1.85,1.19656
1.86,9.39645
1.87,17.49468
1.88,24.36715
1.89,29.0298
1.9,30.78316
1.91,29.3242
1.92,24.80507
1.93,17.82803
1.94,9.37305
1.95,0.66603
1.96,-6.99714
1.97,-12.44534
1.98,-14.81659
1.99,-13.70338
2.0,-9.23236
2.01,-2.06279
2.02,6.70015
2.03,15.67025
2.04,23.39604
2.05,28.59896
2.06,30.39126
2.07,28.43812
2.08,23.03203
2.09,15.06294
2.1,5.88277
2.11,-2.91574
2.12,-9.77342
2.13,-13.44353
2.14,-13.22684
2.15,-9.11601
2.16,-1.81933
2.17,7.34796
2.18,16.69062
2.19,24.44125
2.2,29.09485
2.21,29.70645
2.22,26.09224
2.23,18.89017
2.24,9.4607
2.25,-0.36002
2.26,-8.61236
2.27,-13.60476
2.28,-14.26727
2.29,-10.391
2.3,-2.6992
2.31,7.27402
2.32,17.48074
2.33,25.77692
2.34,30.37761
2.35,30.25135
2.36,25.36654
2.37,16.72753
2.38,6.18369
2.39,-3.95776
2.4,-11.43551
2.41,-14.54679
2.42,-12.55094
2.43,-5.86583
2.44,3.99796
2.45,14.76129
2.46,23.89416
2.47,29.21103
2.48,29.40479
2.49,24.3863
2.5,15.33882
2.51,4.46066
2.52,-5.5533
2.53,-12.1734
2.54,-13.67863
2.55,-9.61738
2.56,-0.95895
2.57,10.11788
2.58,20.75721
2.59,28.15646
2.6,30.30758
2.61,26.55347
2.62,17.80214
2.63,6.32644
2.64,-4.81321
2.65,-12.58299
2.66,-14.81047
2.67,-10.80954
2.68,-1.61106
2.69,10.28115
2.7,21.56104
2.71,29.03916
2.72,30.55912
2.73,25.64361
2.74,15.67243
2.75,3.52165
2.76,-7.24921
2.77,-13.44068
2.78,-13.17853
2.79,-6.5103
2.8,4.56671
2.81,16.67446
2.82,26.06691
2.83,29.78714
2.84,26.61188
2.85,17.47896
2.86,5.24058
2.87,-6.20167
2.88,-13.12852
2.89,-13.21634
2.9,-6.33202
2.91,5.36554
2.92,18.08132
2.93,27.60435
2.94,30.70674
2.95,26.25465
2.96,15.64465
2.97,2.39078
2.98,-9.02608
2.99,-14.67979
3.0,-12.57219
3.01,-3.37534
3.02,9.74633
3.03,22.20136
3.04,29.57709
3.05,29.22301
3.06,21.24213
3.07,8.50706
3.08,-4.33646
3.09,-12.54656
3.1,-13.04353
3.11,-5.59559
3.12,7.03579
3.13,20.08106
3.14,28.53945
3.15,29.09456
3.16,21.43147
3.17,8.427
3.18,-4.90079
3.19,-13.3121
3.2,-13.40996
3.21,-5.03168
3.22,8.60942
3.23,22.13493
3.24,30.11956
3.25,29.28815
3.26,19.89481
3.27,5.69254
3.28,-7.53978
3.29,-14.35067
3.3,-11.89301
3.31,-1.16704
3.32,13.33252
3.33,25.4627
3.34,30.03128
3.35,25.04782
3.36,12.64456
3.37,-1.77891
3.38,-11.86563
3.39,-13.09512
3.4,-4.83116
3.41,9.313
3.42,23.01382
3.43,30.04079
3.44,27.09256
3.45,15.37003
3.46,0.12386
3.47,-11.67713
3.48,-14.53795
3.49,-7.02723
3.5,7.47
3.51,22.24745
3.52,30.37947
3.53,28.00093
3.54,16.20301
3.55,0.59365
3.56,-11.3324
3.57,-13.79973
3.58,-5.59941
3.59,9.24581
3.6,23.38968
3.61,29.76392
3.62,25.12215
3.63,11.73897
3.64,-3.64026
3.65,-13.1515
3.66,-11.82086
3.67,-0.18573
3.68,15.8671
3.69,28.05057
3.7,29.95318
3.71,20.43783
3.72,4.34831
3.73,-9.92908
3.74,-14.84593
3.75,-7.73175
3.76,7.68772
3.77,23.19124
3.78,30.43727
3.79,25.49974
3.8,11.07612
3.81,-4.90166
3.82,-13.58186
3.83,-10.10916
3.84,3.59662
3.85,19.81837
3.86,29.32523
3.87,26.60673
3.88,13.09315
3.89,-3.54151
3.9,-13.69262
3.91,-11.3625
3.92,2.27237
3.93,19.40715
3.94,30.061
3.95,27.91819
3.96,14.12824
3.97,-3.24745
3.98,-13.92789
3.99,-11.53655
4.0,2.50206
4.01,19.71418
