ETA,Pi
3.04,36.0807
3.05,35.68037
3.06,25.67448
3.07,9.67539
3.08,-6.47141
3.09,-16.79921
3.1,-17.43306
3.11,-8.08196
3.12,7.7788
3.13,24.14947
3.14,34.74217
3.15,35.39207
3.16,25.71379
3.17,9.33698
3.18,-7.41928
3.19,-17.96431
3.2,-18.03196
3.21,-7.42911
3.22,9.78964
3.23,26.84747
3.24,36.91174
3.25,35.8596
3.26,24.01279
3.27,6.09906
3.28,-10.60281
3.29,-19.22488
3.3,-16.17636
3.31,-2.70791
3.32,15.53004
3.33,30.80827
3.34,36.58871
3.35,30.35935
3.36,14.79621
3.37,-3.31131
3.38,-15.96825
3.39,-17.49054
3.4,-7.08205
3.41,10.70652
3.42,27.91589
3.43,36.70776
3.44,32.93542
3.45,18.12359
3.46,-1.10393
3.47,-15.96458
3.48,-19.54024
3.49,-10.03742
3.5,8.26929
3.51,26.92458
3.52,37.20129
3.53,34.2295
3.54,19.38229
3.55,-0.27974
3.56,-15.32013
3.57,-18.46684
3.58,-8.194
3.59,10.4424
3.6,28.20643
3.61,36.21209
3.62,30.37921
3.63,13.56951
3.64,-5.73475
3.65,-17.647
3.66,-15.91945
3.67,-1.23955
3.68,18.97595
3.69,34.29362
3.7,36.64581
3.71,24.60928
3.72,4.29407
3.73,-13.72809
3.74,-19.94202
3.75,-10.97959
3.76,8.4655
3.77,28.03213
3.78,37.20622
3.79,31.03536
3.8,12.90982
3.81,-7.18818
3.82,-18.11799
3.83,-13.76999
3.84,3.43924
3.85,23.80103
3.86,35.7082
3.87,32.24215
3.88,15.21984
3.89,-5.69288
3.9,-18.41418
3.91,-15.41253
3.92,1.81154
3.93,23.41865
3.94,36.83823
3.95,34.12055
3.96,16.719
3.97,-5.20864
3.98,-18.70913
3.99,-15.74303
4.0,1.90797
4.01,23.58286
