ETA,Pi
0.0,8.2017
0.01,8.17362
0.02,8.08921
0.03,7.94849
0.04,7.75133
0.05,7.49808
0.06,7.18847
0.07,6.82284
0.08,6.40145
0.09,5.92436
0.1,5.39192
0.11,4.80485
0.12,4.16364
0.13,3.46939
0.14,2.72318
0.15,1.92621
0.16,1.08046
0.17,0.18804
0.18,-0.74858
0.19,-1.72644
0.2,-2.74186
0.21,-3.79107
0.22,-4.86913
0.23,-5.97082
0.24,-7.09008
0.25,-8.22023
0.26,-9.35372
0.27,-10.48231
0.28,-11.59698
0.29,-12.6877
0.3,-13.74406
0.31,-14.75435
0.32,-15.70656
0.33,-16.58785
0.34,-17.38468
0.35,-18.08327
0.36,-18.66925
0.37,-19.12802
0.38,-19.44503
0.39,-19.60582
0.4,-19.59619
0.41,-19.40283
0.42,-19.01309
0.43,-18.41563
0.44,-17.60061
0.45,-16.55998
0.46,-15.28812
0.47,-13.78168
0.48,-12.04056
0.49,-10.06783
0.5,-7.87012
0.51,-5.45814
0.52,-2.84681
0.53,-0.05519
0.54,2.89279
0.55,5.96859
0.56,9.13913
0.57,12.36686
0.58,15.60989
0.59,18.8225
0.6,21.95564
0.61,24.95735
0.62,27.77396
0.63,30.35089
0.64,32.63346
0.65,34.56855
0.66,36.10578
0.67,37.19883
0.68,37.80696
0.69,37.89673
0.7,37.44345
0.71,36.43252
0.72,34.86093
0.73,32.73832
0.74,30.08809
0.75,26.94775
0.76,23.36965
0.77,19.42051
0.78,15.18096
0.79,10.7447
0.8,6.21661
0.81,1.71063
0.82,-2.65251
0.83,-6.74913
0.84,-10.45554
0.85,-13.65236
0.86,-16.22857
0.87,-18.0863
0.88,-19.14479
0.89,-19.34448
0.9,-18.65134
0.91,-17.05937
0.92,-14.59353
0.93,-11.31099
0.94,-7.30149
0.95,-2.68614
0.96,2.38467
0.97,7.73532
0.98,13.17023
0.99,18.48042
1.0,23.45145
1.01,27.8722
1.02,31.54409
1.03,34.29116
1.04,35.96946
1.05,36.47565
1.06,35.75501
1.07,33.80673
1.08,30.68819
1.09,26.51541
1.1,21.46166
1.11,15.75167
1.12,9.65398
1.13,3.46908
1.14,-2.48442
1.15,-7.88581
1.16,-12.42996
1.17,-15.84574
1.18,-17.91294
1.19,-18.4787
1.2,-17.47039
1.21,-14.90477
1.22,-10.89239
1.23,-5.63629
1.24,0.575
1.25,7.38107
1.26,14.36837
1.27,21.09448
1.28,27.11534
1.29,32.01546
1.3,35.43762
1.31,37.11107
1.32,36.87506
1.33,34.69678
1.34,30.68049
1.35,25.06755
1.36,18.22589
1.37,10.6291
1.38,2.82617
1.39,-4.59715
1.4,-11.0624
1.41,-16.04459
1.42,-19.11724
1.43,-19.99248
1.44,-18.55137
1.45,-14.86269
1.46,-9.18591
1.47,-1.95842
1.48,6.23422
1.49,14.70247
1.5,22.70997
1.51,29.53754
1.52,34.54982
1.53,37.25815
1.54,37.3731
1.55,34.84075
1.56,29.85878
1.57,22.86796
1.58,14.5195
1.59,5.61897
1.6,-2.94893
1.61,-10.30755
1.62,-15.68024
1.63,-18.47602
1.64,-18.36102
1.65,-15.30489
1.66,-9.59682
1.67,-1.82694
1.68,7.16781
1.69,16.38833
1.7,24.78184
1.71,31.3611
1.72,35.32386
1.73,36.15511
1.74,33.70053
1.75,28.20009
1.76,20.27453
1.77,10.86399
1.78,1.12302
1.79,-7.71712
1.8,-14.50367
1.81,-18.31482
1.82,-18.59074
1.83,-15.22251
1.84,-8.58462
1.85,0.49578
1.86,10.83392
1.87,21.03718
1.88,29.69029
1.89,35.55455
1.9,37.74973
1.91,35.89474
1.92,30.18165
1.93,21.36937
1.94,10.69289
1.95,-0.30338
1.96,-9.98614
1.97,-16.87894
1.98,-19.8942
1.99,-18.51629
2.0,-12.90237
2.01,-3.88096
2.02,7.1572
2.03,18.46651
2.04,28.21805
2.05,34.80001
2.06,37.09232
2.07,34.67094
2.08,27.90172
2.09,17.90312
2.1,6.37525
2.11,-4.6784
2.12,-13.29634
2.13,-17.9101
2.14,-17.64012
2.15,-12.47761
2.16,-3.31385
2.17,8.19634
2.18,19.9203
2.19,29.63551
2.2,35.45035
2.21,36.17907
2.22,31.59439
2.23,22.50357
2.24,10.62218
2.25,-1.73659
2.26,-12.10646
2.27,-18.36064
2.28,-19.15604
2.29,-14.23405
2.3,-4.50929
2.31,8.08358
2.32,20.96404
2.33,31.43135
2.34,37.23757
2.35,37.08381
2.36,30.93039
2.37,20.042
2.38,6.74725
2.39,-6.04855
2.4,-15.49739
2.41,-19.45378
2.42,-16.98232
2.43,-8.60486
2.44,3.78154
2.45,17.31226
2.46,28.80519
2.47,35.51001
2.48,35.77952
2.49,29.49825
2.5,18.15143
2.51,4.50206
2.52,-8.06172
2.53,-16.35935
2.54,-18.22748
2.55,-13.10001
2.56,-2.19839
2.57,11.73425
2.58,25.10342
2.59,34.38281
2.6,37.04728
2.61,32.27367
2.62,21.21039
2.63,6.72489
2.64,-7.32441
2.65,-17.11414
2.66,-19.90818
2.67,-14.84507
2.68,-3.22735
2.69,11.78726
2.7,26.03092
2.71,35.48412
2.72,37.4291
2.73,31.26307
2.74,18.72202
2.75,3.42606
2.76,-10.14426
2.77,-17.96126
2.78,-17.66498
2.79,-9.31325
2.8,4.58371
2.81,19.77959
2.82,31.5661
2.83,36.22803
2.84,32.22992
2.85,20.75305
2.86,5.38449
2.87,-8.97077
2.88,-17.63842
2.89,-17.70086
2.9,-8.99679
2.91,5.75204
2.92,21.76638
2.93,33.74486
2.94,37.62531
2.95,31.98317
2.96,18.58057
2.97,1.84682
2.98,-12.57069
2.99,-19.72224
3.0,-17.08631
3.01,-5.50567
3.02,11.03514
3.03,26.7512
