ETA,Pi1,Pi2,Pi3,Pi4,Pi5
1.01,30.83975,27.26675,27.8722,23.20331,22.45642
1.02,34.98091,30.82987,31.54409,26.12049,25.26141
1.03,38.08175,33.4958,34.29116,28.2999,27.35622
1.04,39.97977,35.12473,35.96946,29.6271,28.63092
1.05,40.55848,35.6165,36.47565,30.02015,29.00669
1.06,39.75573,34.9178,35.75501,29.43569,28.44184
1.07,37.57058,33.02813,33.80673,27.87344,26.93617
1.08,34.06746,30.00298,30.68819,25.37922,24.53382
1.09,29.37677,25.95507,26.51541,22.04568,21.32393
1.1,23.69337,21.05239,21.46166,18.01071,17.43917
1.11,17.27045,15.51309,15.75167,13.45346,13.05193
1.12,10.41041,9.59757,9.65398,8.58767,8.36777
1.13,3.45175,3.59747,3.46908,3.65252,3.6168
1.14,-3.24644,-2.17793,-2.48442,-1.09835,-0.95686
1.15,-9.32299,-7.41776,-7.88581,-5.4097,-5.10779
1.16,-14.43393,-11.82593,-12.42996,-9.03882,-8.60238
1.17,-18.27368,-15.13928,-15.84574,-11.76977,-11.23292
1.18,-20.59417,-17.14433,-17.91294,-13.42739,-12.83091
1.19,-21.2232,-17.69279,-18.4787,-13.88998,-13.27916
1.2,-20.07894,-16.71418,-17.47039,-13.09958,-12.52195
1.21,-17.18028,-14.22477,-14.90477,-11.06942,-10.57176
1.22,-12.65193,-10.33179,-10.89239,-7.8871,-7.51299
1.23,-6.72301,-5.23239,-5.63629,-3.71399,-3.5007
1.24,0.28127,0.79352,0.575,1.22079,1.24485
1.25,7.95425,7.39639,7.38107,6.63087,6.44823
1.26,15.82973,14.17489,14.36837,12.18775,11.79355
1.27,23.40877,20.69977,21.09448,17.5398,16.94261
1.28,30.19049,26.54023,27.11534,22.3342,21.55618
1.29,35.70648,31.2932,32.01546,26.2408,25.31666
1.3,39.55402,34.61213,35.43762,28.9756,27.95102
1.31,41.42765,36.23434,37.11107,30.32338,29.25203
1.32,41.14649,36.004,36.87506,30.15621,29.09667
1.33,38.67355,33.88922,34.69678,28.44756,27.45932
1.34,34.12691,29.99136,30.68049,25.27985,24.41904
1.35,27.77896,24.54447,25.06755,20.84415,20.15951
1.36,20.04528,17.90567,18.22589,15.43222,14.96099
1.37,11.46061,10.53447,10.6291,9.41935,9.18417
1.38,2.64467,2.96354,2.82617,3.2408,3.2475
1.39,-5.74114,-4.23886,-4.59715,-2.63888,-2.4026
1.4,-13.04361,-10.51137,-11.0624,-7.76108,-7.32528
1.41,-18.67008,-15.34479,-16.04459,-11.70942,-11.12026
1.42,-22.13916,-18.32529,-19.11724,-14.14572,-13.46237
1.43,-23.12571,-19.17364,-19.99248,-14.84145,-14.13195
1.44,-21.49558,-17.77451,-18.55137,-13.70224,-13.03819
1.45,-17.32664,-14.19454,-14.86269,-10.78238,-10.23321
1.46,-10.91208,-8.68571,-9.18591,-6.28756,-5.91469
1.47,-2.74567,-1.6723,-1.95842,-0.56448,-0.41591
1.48,6.51137,6.27752,6.23422,5.9224,5.81674
1.49,16.08068,14.49483,14.70247,12.62631,12.25759
1.5,25.13091,22.26512,22.70997,18.96322,18.34525
1.51,32.85022,28.89055,29.53754,24.3626,23.53132
1.52,38.52134,33.75471,34.54982,28.32059,27.33142
1.53,41.59271,36.38353,37.25815,30.44975,29.37326
1.54,41.73734,36.49596,37.3731,30.52078,29.43648
1.55,38.89418,34.03981,34.84075,28.49144,27.48061
1.56,33.28585,29.2067,29.85878,24.51918,23.65716
1.57,25.40932,22.4243,22.86796,18.95444,18.30329
1.58,15.99887,14.32429,14.5195,12.31485,11.91681
1.59,5.96286,5.68827,5.61897,5.24053,5.11339
1.6,-3.70088,-2.6253,-2.94893,-1.56551,-1.43093
1.61,-12.00383,-9.76602,-10.30755,-7.40676,-7.04639
1.62,-18.07004,-14.98016,-15.68024,-11.66613,-11.13948
1.63,-21.23315,-17.69447,-18.47602,-13.87423,-13.25902
1.64,-21.11648,-17.5848,-18.36102,-13.76585,-13.14996
1.65,-17.68559,-14.62168,-15.30489,-11.31729,-10.78957
1.66,-11.26629,-9.08559,-9.59682,-6.75874,-6.39953
1.67,-2.52375,-1.54893,-1.82694,-0.55979,-0.43156
1.68,7.59915,7.17646,7.16781,6.6137,6.47372
1.69,17.97644,16.12125,16.38833,13.96676,13.55138
1.7,27.42181,24.26403,24.78184,20.6613,19.99531
1.71,34.8236,30.64713,31.3611,25.91162,25.04946
1.72,39.27802,34.49205,35.32386,29.07868,28.09895
1.73,40.20567,35.29921,36.15511,29.75183,28.74861
1.74,37.4334,32.9188,33.70053,27.80749,26.87967
1.75,31.23233,27.58353,28.20009,23.43573,22.67461
1.76,22.30241,19.89557,20.27453,17.12975,16.60781
1.77,11.70321,10.76694,10.86399,9.63712,9.39832
1.78,0.73585,1.31773,1.12302,1.8762,1.92951
1.79,-9.21246,-7.25753,-7.71712,-5.17327,-4.85612
1.8,-16.84314,-13.84032,-14.50367,-10.59375,-10.07581
1.81,-21.11813,-17.53645,-18.31482,-13.65116,-13.02335
1.82,-21.40733,-17.80282,-18.59074,-13.89918,-13.26905
1.83,-17.58894,-14.53371,-15.22251,-11.24965,-10.72783
1.84,-10.08612,-8.09251,-8.58462,-5.99898,-5.68437
1.85,0.16763,0.71804,0.49578,1.19656,1.23045
1.86,11.83594,10.74857,10.83392,9.39645,9.11244
1.87,23.34797,20.64787,21.03718,17.49468,16.89814
1.88,33.10757,29.04274,29.69029,24.36715,23.50669
1.89,39.71787,34.73137,35.55455,29.0298,27.99173
1.9,42.18608,36.8597,37.74973,30.78316,29.68076
1.91,40.08284,35.05814,35.89474,29.3242,28.28221
1.92,33.62489,29.51306,30.18165,24.80507,23.94226
1.93,23.66865,20.9609,21.36937,17.82803,17.23963
1.94,11.60753,10.6,10.69289,9.37305,9.11655
1.95,-0.81588,-0.07098,-0.30338,0.66603,0.75134
1.96,-11.75843,-9.46734,-9.98614,-6.99714,-6.61021
1.97,-19.55363,-16.1563,-16.87894,-12.44534,-11.84246
1.98,-22.97325,-19.0826,-19.8942,-14.81659,-14.11705
