Ri,M,Eta,k,Fval,Gval
-1,0,2.76,1.0,0.99667,0.0
-1,0,2.78,1.0,0.99691,0.0
-1,0,2.8,1.0,0.99713,0.0
-1,0,2.82,1.0,0.99734,0.0
-1,0,2.84,1.0,0.99753,0.0
-1,0,2.86,1.0,0.99771,0.0
-1,0,2.88,1.0,0.99788,0.0
-1,0,2.9,1.0,0.99803,0.0
-1,0,2.92,1.0,0.99818,0.0
-1,0,2.94,1.0,0.99832,0.0
-1,0,2.96,1.0,0.99844,0.0
-1,0,2.98,1.0,0.99856,0.0
-1,0,3.0,1.0,0.99867,0.0
-1,0,3.02,1.0,0.99877,0.0
-1,0,3.04,1.0,0.99887,0.0
-1,0,3.06,1.0,0.99895,0.0
-1,0,3.08,1.0,0.99903,0.0
-1,0,3.1,1.0,0.99911,0.0
-1,0,3.12,1.0,0.99918,0.0
-1,0,3.14,1.0,0.99924,0.0
-1,0,3.16,1.0,0.9993,0.0
-1,0,3.18,1.0,0.99936,0.0
-1,0,3.2,1.0,0.99941,0.0
-1,0,3.22,1.0,0.99946,0.0
-1,0,3.24,1.0,0.9995,0.0
-1,0,3.26,1.0,0.99954,0.0
-1,0,3.28,1.0,0.99958,0.0
-1,0,3.3,1.0,0.99961,0.0
-1,0,3.32,1.0,0.99964,0.0
-1,0,3.34,1.0,0.99967,0.0
-1,0,3.36,1.0,0.9997,0.0
-1,0,3.38,1.0,0.99972,0.0
-1,0,3.4,1.0,0.99974,0.0
-1,0,3.42,1.0,0.99976,0.0
-1,0,3.44,1.0,0.99978,0.0
-1,0,3.46,1.0,0.9998,0.0
-1,0,3.48,1.0,0.99982,0.0
-1,0,3.5,1.0,0.99983,0.0
-1,0,3.52,1.0,0.99985,0.0
-1,0,3.54,1.0,0.99986,0.0
-1,0,3.56,1.0,0.99987,0.0
-1,0,3.58,1.0,0.99988,0.0
-1,0,3.6,1.0,0.99989,0.0
-1,0,3.62,1.0,0.9999,0.0
-1,0,3.64,1.0,0.99991,0.0
-1,0,3.66,1.0,0.99992,0.0
-1,0,3.68,1.0,0.99993,0.0
-1,0,3.7,1.0,0.99993,0.0
-1,0,3.72,1.0,0.99994,0.0
-1,0,3.74,1.0,0.99994,0.0
-1,0,3.76,1.0,0.99995,0.0
-1,0,3.78,1.0,0.99995,0.0
-1,0,3.8,1.0,0.99995,0.0
-1,0,3.82,1.0,0.99996,0.0
-1,0,3.84,1.0,0.99996,0.0
-1,0,3.86,1.0,0.99996,0.0
-1,0,3.88,1.0,0.99997,0.0
-1,0,3.9,1.0,0.99997,0.0
-1,0,3.92,1.0,0.99997,0.0
-1,0,3.94,1.0,0.99998,0.0
-1,0,3.96,1.0,0.99998,0.0
-1,0,3.98,1.0,0.99998,0.0
-1,0,4.0,1.0,0.99999,0.0
-1,0,4.02,1.0,0.99999,0.0
-1,0,4.04,1.0,0.99999,0.0
-1,0,4.06,1.0,0.99999,0.0
-1,0,4.08,1.0,0.99999,0.0
-1,0,4.1,1.0,1.0,0.0
-1,0,4.12,1.0,1.0,0.0
-1,0,4.14,1.0,1.0,0.0
-1,0,4.16,1.0,1.0,0.0
-1,0,4.18,1.0,1.0,0.0
-1,0,4.2,1.0,1.0,0.0
-1,0,4.22,1.0,1.0,0.0
-1,0,4.24,1.0,1.00001,0.0
-1,0,4.26,1.0,1.00001,0.0
-1,0,4.28,1.0,1.00001,0.0
-1,0,4.3,1.0,1.00001,0.0
-1,0,4.32,1.0,1.00001,0.0
-1,0,4.34,1.0,1.00001,0.0
-1,0,4.36,1.0,1.00001,0.0
-1,0,4.38001,1.0,1.00001,0.0
