ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12
2.06,0.96754,0.00082,0.9869,0.00013,1.00214,0,1.00425,0,0.99828,2.00E-05,0.99893,1.00E-05,1.00055,0,1.00123,0,0.99992,0,0.99996,0,1.00008,0,1.00015,0
2.08,0.96935,0.0007,0.9877,0.00011,1.00199,0,1.00392,0,0.99841,1.00E-05,0.99902,1.00E-05,1.00051,0,1.00112,0,0.99993,0,0.99996,0,1.00007,0,1.00014,0
2.1,0.97107,0.00061,0.98845,9.00E-05,1.00185,0,1.00361,0,0.99853,1.00E-05,0.9991,1.00E-05,1.00046,0,1.00103,0,0.99994,0,0.99996,0,1.00006,0,1.00012,0
2.12,0.97271,0.00052,0.98917,8.00E-05,1.00171,0,1.00333,0,0.99865,1.00E-05,0.99917,1.00E-05,1.00042,0,1.00093,0,0.99995,0,0.99997,0,1.00006,0,1.00011,0
2.14,0.97427,0.00044,0.98984,7.00E-05,1.00159,0,1.00306,0,0.99876,1.00E-05,0.99923,0,1.00039,0,1.00085,0,0.99996,0,0.99997,0,1.00005,0,1.00009,0
2.16,0.97575,0.00038,0.99048,5.00E-05,1.00147,0,1.00282,0,0.99885,1.00E-05,0.99929,0,1.00035,0,1.00078,0,0.99996,0,0.99997,0,1.00005,0,1.00008,0
2.18,0.97715,0.00032,0.99108,5.00E-05,1.00136,0,1.00259,0,0.99895,0,0.99935,0,1.00032,0,1.00071,0,0.99997,0,0.99997,0,1.00004,0,1.00007,0
2.2,0.97848,0.00028,0.99165,4.00E-05,1.00126,0,1.00238,0,0.99903,0,0.9994,0,1.00029,0,1.00064,0,0.99997,0,0.99998,0,1.00004,0,1.00006,0
2.22,0.97975,0.00024,0.99219,3.00E-05,1.00117,0,1.00219,0,0.99911,0,0.99945,0,1.00027,0,1.00059,0,0.99998,0,0.99998,0,1.00003,0,1.00005,0
2.24,0.98095,0.0002,0.99269,3.00E-05,1.00108,0,1.00201,0,0.99918,0,0.9995,0,1.00025,0,1.00053,0,0.99998,0,0.99998,0,1.00003,0,1.00005,0
2.26,0.98208,0.00017,0.99317,2.00E-05,1.001,0,1.00185,0,0.99925,0,0.99954,0,1.00023,0,1.00048,0,0.99998,0,0.99998,0,1.00002,0,1.00004,0
2.28,0.98316,0.00014,0.99361,2.00E-05,1.00092,0,1.00169,0,0.99931,0,0.99957,0,1.00021,0,1.00044,0,0.99998,0,0.99998,0,1.00002,0,1.00003,0
2.3,0.98418,0.00012,0.99403,1.00E-05,1.00085,0,1.00155,0,0.99937,0,0.99961,0,1.00019,0,1.0004,0,0.99999,0,0.99999,0,1.00002,0,1.00003,0
2.32,0.98514,0.0001,0.99443,1.00E-05,1.00078,0,1.00142,0,0.99942,0,0.99964,0,1.00017,0,1.00036,0,0.99999,0,0.99999,0,1.00001,0,1.00002,0
2.34,0.98605,9.00E-05,0.9948,1.00E-05,1.00072,0,1.00131,0,0.99947,0,0.99967,0,1.00016,0,1.00033,0,0.99999,0,0.99999,0,1.00001,0,1.00002,0
2.36,0.98691,7.00E-05,0.99515,1.00E-05,1.00066,0,1.0012,0,0.99951,0,0.9997,0,1.00014,0,1.0003,0,0.99999,0,0.99999,0,1.00001,0,1.00001,0
2.38,0.98773,6.00E-05,0.99548,1.00E-05,1.00061,0,1.00109,0,0.99956,0,0.99973,0,1.00013,0,1.00027,0,0.99999,0,0.99999,0,1.00001,0,1.00001,0
2.4,0.9885,5.00E-05,0.99579,1.00E-05,1.00056,0,1.001,0,0.99959,0,0.99975,0,1.00012,0,1.00024,0,0.99999,0,0.99999,0,1,0,1.00001,0
2.42,0.98922,4.00E-05,0.99608,0,1.00052,0,1.00092,0,0.99963,0,0.99977,0,1.00011,0,1.00022,0,0.99999,0,0.99999,0,1,0,1,0
2.44,0.98991,4.00E-05,0.99635,0,1.00047,0,1.00084,0,0.99966,0,0.99979,0,1.0001,0,1.0002,0,0.99999,0,0.99999,0,1,0,1,0
2.46,0.99055,3.00E-05,0.9966,0,1.00044,0,1.00076,0,0.99969,0,0.99981,0,1.00009,0,1.00018,0,0.99999,0,0.99999,0,1,0,1,0
2.48,0.99116,3.00E-05,0.99684,0,1.0004,0,1.0007,0,0.99972,0,0.99983,0,1.00008,0,1.00016,0,0.99999,0,0.99999,0,1,0,1,0
2.5,0.99173,2.00E-05,0.99706,0,1.00037,0,1.00064,0,0.99974,0,0.99985,0,1.00008,0,1.00014,0,0.99999,0,0.99999,0,1,0,1,0
2.52,0.99227,2.00E-05,0.99727,0,1.00034,0,1.00058,0,0.99977,0,0.99986,0,1.00007,0,1.00013,0,0.99999,0,0.99999,0,1,0,0.99999,0
2.54,0.99278,2.00E-05,0.99746,0,1.00031,0,1.00053,0,0.99979,0,0.99987,0,1.00007,0,1.00012,0,0.99999,0,0.99999,0,1,0,0.99999,0
2.56,0.99325,1.00E-05,0.99764,0,1.00028,0,1.00048,0,0.99981,0,0.99989,0,1.00006,0,1.00011,0,0.99999,0,0.99999,0,1,0,0.99999,0
2.58,0.9937,1.00E-05,0.99781,0,1.00026,0,1.00044,0,0.99983,0,0.9999,0,1.00005,0,1.0001,0,0.99999,0,0.99999,0,1,0,0.99999,0
2.6,0.99412,1.00E-05,0.99797,0,1.00024,0,1.0004,0,0.99985,0,0.99991,0,1.00005,0,1.00009,0,0.99999,0,0.99999,0,1,0,0.99999,0
2.62,0.99452,1.00E-05,0.99812,0,1.00022,0,1.00036,0,0.99986,0,0.99992,0,1.00004,0,1.00008,0,0.99999,0,0.99999,0,1,0,0.99999,0
2.64,0.99489,1.00E-05,0.99826,0,1.0002,0,1.00033,0,0.99988,0,0.99993,0,1.00004,0,1.00007,0,0.99999,0,0.99999,0,1,0,0.99999,0
2.66,0.99523,1.00E-05,0.99839,0,1.00019,0,1.0003,0,0.99989,0,0.99994,0,1.00003,0,1.00007,0,0.99999,0,0.99999,0,1.00001,0,0.99999,0
2.68,0.99556,0,0.99851,0,1.00017,0,1.00027,0,0.9999,0,0.99995,0,1.00003,0,1.00006,0,0.99999,0,0.99999,0,1.00001,0,0.99999,0
2.7,0.99587,0,0.99862,0,1.00016,0,1.00024,0,0.99991,0,0.99995,0,1.00003,0,1.00006,0,0.99999,0,0.99999,0,1.00001,0,0.99999,0
2.72,0.99615,0,0.99873,0,1.00014,0,1.00022,0,0.99992,0,0.99996,0,1.00002,0,1.00005,0,1,0,0.99999,0,1.00001,0,0.99999,0
2.74,0.99642,0,0.99883,0,1.00013,0,1.00019,0,0.99994,0,0.99997,0,1.00002,0,1.00005,0,1,0,0.99999,0,1.00001,0,0.99999,0
2.76,0.99667,0,0.99892,0,1.00012,0,1.00017,0,0.99995,0,0.99998,0,1.00002,0,1.00004,0,1,0,0.99999,0,1.00002,0,0.99999,0
2.78,0.99691,0,0.999,0,1.00011,0,1.00016,0,0.99995,0,0.99998,0,1.00001,0,1.00004,0,1,0,0.99999,0,1.00002,0,1,0
2.8,0.99713,0,0.99908,0,1.0001,0,1.00014,0,0.99996,0,0.99999,0,1.00001,0,1.00003,0,1,0,0.99999,0,1.00002,0,1,0
2.82,0.99734,0,0.99915,0,1.00009,0,1.00013,0,0.99997,0,0.99999,0,1.00001,0,1.00003,0,1,0,0.99999,0,1.00002,0,1,0
2.84,0.99753,0,0.99922,0,1.00008,0,1.00011,0,0.99998,0,1,0,1.00001,0,1.00003,0,1,0,0.99999,0,1.00002,0,1,0
2.86,0.99771,0,0.99928,0,1.00008,0,1.0001,0,0.99998,0,1,0,1.00001,0,1.00003,0,1,0,0.99999,0,1.00002,0,1,0
2.88,0.99788,0,0.99934,0,1.00007,0,1.00009,0,0.99999,0,1,0,1.00001,0,1.00002,0,1,0,0.99999,0,1.00002,0,1,0
2.9,0.99803,0,0.99939,0,1.00006,0,1.00008,0,1,0,1.00001,0,1.00001,0,1.00002,0,1,0,0.99999,0,1.00002,0,1,0
2.92,0.99818,0,0.99944,0,1.00006,0,1.00007,0,1,0,1.00001,0,1.00001,0,1.00002,0,1.00001,0,0.99999,0,1.00001,0,1,0
2.94,0.99832,0,0.99948,0,1.00005,0,1.00007,0,1,0,1.00001,0,1.00001,0,1.00002,0,1.00001,0,0.99999,0,1.00001,0,1,0
2.96,0.99844,0,0.99953,0,1.00004,0,1.00006,0,1.00001,0,1.00001,0,1.00001,0,1.00002,0,1.00001,0,0.99999,0,1.00001,0,1,0
2.98,0.99856,0,0.99956,0,1.00004,0,1.00005,0,1.00001,0,1.00001,0,1.00001,0,1.00002,0,1.00001,0,0.99999,0,1.00001,0,1,0
3,0.99867,0,0.9996,0,1.00004,0,1.00005,0,1.00001,0,1.00001,0,1.00001,0,1.00001,0,1.00001,0,0.99999,0,1.00001,0,1,0
3.02,0.99877,0,0.99963,0,1.00003,0,1.00004,0,1.00002,0,1.00001,0,1.00001,0,1.00001,0,1.00001,0,0.99999,0,1.00001,0,1,0
3.04,0.99887,0,0.99967,0,1.00003,0,1.00003,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00001,0,0.99999,0,1.00001,0,1,0
3.06,0.99895,0,0.99969,0,1.00003,0,1.00003,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00001,0,0.99999,0,1,0,1,0
3.08,0.99903,0,0.99972,0,1.00003,0,1.00003,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00001,0,0.99999,0,1,0,0.99999,0
3.1,0.99911,0,0.99975,0,1.00002,0,1.00002,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00001,0,0.99999,0,1,0,0.99999,0
3.12,0.99918,0,0.99977,0,1.00002,0,1.00002,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00001,0,0.99999,0,1,0,1,0
3.14,0.99924,0,0.99979,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00001,0,0.99999,0,1,0,1,0
3.16,0.9993,0,0.99981,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00001,0,0.99999,0,0.99999,0,0.99999,0
3.18,0.99936,0,0.99983,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1,0,1.00001,0,0.99999,0,0.99999,0,0.99999,0
3.2,0.99941,0,0.99984,0,1.00002,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1,0,1.00001,0,0.99999,0,0.99999,0,0.99999,0
3.22,0.99946,0,0.99986,0,1.00003,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1,0,1.00001,0,0.99999,0,0.99999,0,0.99999,0
3.24,0.9995,0,0.99987,0,1.00003,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1,0,1.00001,0,0.99999,0,0.99999,0,0.99999,0
3.26,0.99954,0,0.99989,0,1.00003,0,1,0,1.00002,0,1.00001,0,1.00002,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0
3.28,0.99958,0,0.9999,0,1.00003,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0
3.3,0.99961,0,0.99991,0,1.00003,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0
3.32,0.99964,0,0.99992,0,1.00003,0,1.00001,0,1.00002,0,1.00001,0,1.00002,0,1,0,1,0,0.99999,0,0.99999,0,1,0
3.34,0.99967,0,0.99993,0,1.00003,0,1.00001,0,1.00001,0,1.00002,0,1.00002,0,1,0,1,0,0.99999,0,0.99999,0,1,0
3.36,0.9997,0,0.99994,0,1.00002,0,1.00001,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99999,0,1,0
3.38,0.99972,0,0.99994,0,1.00002,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99999,0,1,0
3.4,0.99974,0,0.99995,0,1.00002,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99999,0,1,0
3.42,0.99976,0,0.99996,0,1.00002,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99999,0,1.00001,0
3.44,0.99978,0,0.99996,0,1.00002,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99999,0,1.00001,0
3.46,0.9998,0,0.99997,0,1.00002,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99998,0,1.00001,0
3.48,0.99982,0,0.99997,0,1.00001,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99998,0,1.00001,0
3.5,0.99983,0,0.99998,0,1.00001,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99998,0,1.00001,0
3.52,0.99985,0,0.99998,0,1.00001,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99999,0,1,0,0.99999,0,0.99998,0,1.00001,0
3.54,0.99986,0,0.99999,0,1.00001,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99998,0,1,0,0.99999,0,0.99998,0,1.00001,0
3.56,0.99987,0,0.99999,0,1,0,1,0,1.00001,0,1.00003,0,1.00002,0,0.99998,0,1,0,0.99999,0,0.99998,0,1.00001,0
3.58,0.99988,0,1,0,1,0,1,0,1.00001,0,1.00003,0,1.00002,0,0.99998,0,1,0,0.99999,0,0.99998,0,1.00001,0
3.6,0.99989,0,1,0,1,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99998,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.62,0.9999,0,1,0,1,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99998,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.64,0.99991,0,1,0,1,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99998,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.66,0.99992,0,1.00001,0,1,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99998,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.68,0.99993,0,1.00001,0,1,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99998,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.7,0.99993,0,1.00001,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99997,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.72,0.99994,0,1.00001,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99997,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.74,0.99994,0,1.00001,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99997,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.76,0.99995,0,1.00001,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99997,0,1,0,0.99999,0,0.99998,0,1.00002,0
3.78,0.99995,0,1.00001,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00002,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.8,0.99995,0,1.00001,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00001,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.82,0.99996,0,1.00001,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00001,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.84,0.99996,0,1.00001,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00001,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.86,0.99996,0,1.00002,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00001,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.88,0.99997,0,1.00002,0,0.99999,0,1,0,1.00001,0,1.00002,0,1.00001,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.9,0.99997,0,1.00002,0,0.99999,0,1,0,1,0,1.00002,0,1.00001,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.92,0.99997,0,1.00002,0,0.99998,0,1,0,1,0,1.00002,0,1.00001,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.94,0.99998,0,1.00002,0,0.99998,0,1,0,1,0,1.00002,0,1,0,0.99997,0,1,0,1,0,0.99997,0,1.00002,0
3.96,0.99998,0,1.00002,0,0.99998,0,1,0,1,0,1.00002,0,1,0,0.99997,0,1,0,1,0,0.99998,0,1.00002,0
3.98,0.99998,0,1.00002,0,0.99998,0,1,0,1,0,1.00002,0,1,0,0.99997,0,1,0,1,0,0.99998,0,1.00002,0
4,0.99999,0,1.00002,0,0.99998,0,1,0,1,0,1.00002,0,1,0,0.99997,0,1,0,1,0,0.99998,0,1.00002,0
4.02,0.99999,0,1.00002,0,0.99998,0,1,0,1,0,1.00002,0,1,0,0.99997,0,1,0,1,0,0.99998,0,1.00002,0
4.04,0.99999,0,1.00002,0,0.99998,0,0.99999,0,1,0,1.00002,0,1,0,0.99998,0,0.99999,0,1,0,0.99998,0,1.00002,0
4.06,0.99999,0,1.00002,0,0.99998,0,0.99999,0,1,0,1.00002,0,0.99999,0,0.99998,0,0.99999,0,1,0,0.99998,0,1.00002,0
4.08,0.99999,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00002,0,0.99999,0,0.99998,0,0.99999,0,1,0,0.99998,0,1.00002,0
4.1,1,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00002,0,0.99999,0,0.99998,0,0.99999,0,1,0,0.99998,0,1.00002,0
4.12,1,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00002,0,0.99999,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1.00002,0
4.14,1,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00002,0,0.99998,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1.00002,0
4.16,1,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00002,0,0.99998,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1.00002,0
4.18,1,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00003,0,0.99998,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1.00002,0
4.2,1,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00003,0,0.99998,0,0.99998,0,0.99999,0,0.99998,0,0.99998,0,1.00002,0
4.22,1,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00003,0,0.99998,0,0.99998,0,0.99999,0,0.99998,0,0.99998,0,1.00002,0
4.24,1.00001,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00002,0,0.99998,0,0.99998,0,0.99999,0,0.99998,0,0.99998,0,1.00002,0
4.26,1.00001,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00002,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,0.99998,0,1.00002,0
4.28,1.00001,0,1.00002,0,0.99999,0,0.99999,0,1,0,1.00002,0,0.99998,0,0.99999,0,0.99999,0,0.99997,0,0.99999,0,1.00002,0
4.3,1.00001,0,1.00002,0,1,0,0.99999,0,1,0,1.00002,0,0.99998,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.32,1.00001,0,1.00002,0,1,0,0.99999,0,1,0,1.00002,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.34,1.00001,0,1.00002,0,1,0,0.99999,0,1,0,1.00002,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.36,1.00001,0,1.00002,0,1,0,0.99999,0,1,0,1.00002,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.38001,1.00001,0,1.00002,0,1,0,0.99999,0,1,0,1.00002,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.40001,1.00001,0,1.00002,0,1,0,0.99999,0,1,0,1.00002,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.42001,1.00001,0,1.00002,0,1,0,0.99999,0,1,0,1.00002,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.44001,1.00001,0,1.00002,0,1,0,0.99999,0,1,0,1.00001,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.46001,1.00001,0,1.00003,0,1,0,0.99998,0,1,0,1.00001,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.48001,1.00001,0,1.00003,0,1,0,0.99998,0,1,0,1.00001,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1.00001,0
4.50001,1.00001,0,1.00003,0,1,0,0.99998,0,1,0,1.00001,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,0.99999,0,1,0
4.52001,1.00001,0,1.00003,0,1,0,0.99998,0,1,0,1.00001,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,1,0,1,0
4.54001,1.00001,0,1.00003,0,1,0,0.99998,0,1,0,1,0,0.99997,0,0.99999,0,0.99998,0,0.99997,0,1,0,1,0
4.56001,1.00001,0,1.00003,0,1,0,0.99998,0,1,0,1,0,0.99998,0,0.99999,0,0.99998,0,0.99997,0,1,0,1,0
4.58001,1,0,1.00003,0,1,0,0.99998,0,1,0,1,0,0.99998,0,0.99999,0,0.99998,0,0.99997,0,1,0,1,0
4.60001,1,0,1.00003,0,1,0,0.99998,0,1,0,1,0,0.99998,0,0.99999,0,0.99998,0,0.99998,0,1,0,1,0
4.62001,1,0,1.00002,0,1,0,0.99999,0,1,0,1,0,0.99998,0,0.99999,0,0.99998,0,0.99998,0,1,0,0.99999,0
4.64001,1,0,1.00002,0,1,0,0.99999,0,1,0,1,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1.00001,0,0.99999,0
4.66001,1,0,1.00002,0,1,0,0.99999,0,1,0,0.99999,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1.00001,0,0.99999,0
4.68001,1,0,1.00002,0,1,0,0.99999,0,1,0,0.99999,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1.00001,0,0.99999,0
4.70001,1,0,1.00002,0,1,0,0.99999,0,1,0,0.99999,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1.00001,0,0.99999,0
4.72001,1,0,1.00002,0,1,0,0.99999,0,1,0,0.99999,0,0.99998,0,0.99999,0,0.99999,0,0.99998,0,1,0,0.99999,0
4.74001,1,0,1.00002,0,1,0,0.99999,0,1,0,0.99999,0,0.99998,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0
4.76001,1,0,1.00002,0,1,0,0.99999,0,1,0,0.99999,0,0.99998,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0
4.78001,1,0,1.00001,0,1,0,0.99999,0,1,0,0.99999,0,0.99998,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0
4.80001,1,0,1.00001,0,1,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0
4.82002,1,0,1.00001,0,1,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0
4.84002,1,0,1.00001,0,1,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0
4.86002,1,0,1.00001,0,1,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0
4.88002,1,0,1.00001,0,1,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0
4.90002,1,0,1,0,1,0,1,0,1,0,0.99999,0,0.99999,0,0.99999,0,1,0,0.99999,0,1,0,1,0
4.92002,1,0,1,0,1,0,1,0,1,0,1,0,0.99999,0,1,0,1,0,1,0,1,0,1,0
4.94002,1,0,1,0,1,0,1,0,1,0,1,0,0.99999,0,1,0,1,0,1,0,1,0,1,0
4.96002,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4.98002,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5.00002,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
