ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12
0.5,0.31579,0.5629,0.51022,0.48809,0.99726,0.34931,1.30336,0.29155,0.69693,0.42444,0.76,0.40279,1.01258,0.33471,1.22137,0.30265,0.86635,0.36271,0.89535,0.35204,1.02531,0.31753,1.1474,0.30555
0.52,0.3299,0.5456,0.52577,0.46826,1.00777,0.32603,1.30533,0.26773,0.71196,0.40186,0.77391,0.38005,1.01997,0.31161,1.22145,0.2793,0.87666,0.33923,0.90459,0.32873,1.02917,0.29473,1.14572,0.28268
0.54,0.34403,0.52839,0.54097,0.44868,1.01702,0.30367,1.30565,0.24528,0.72635,0.37984,0.78706,0.35796,1.02623,0.28952,1.2202,0.2572,0.8862,0.31666,0.91302,0.30638,1.03217,0.27304,1.14315,0.26099
0.56,0.35814,0.51129,0.55583,0.4294,1.02511,0.28226,1.30449,0.2242,0.74011,0.35843,0.79948,0.33657,1.03148,0.26845,1.21782,0.23635,0.89502,0.29502,0.92073,0.28499,1.03441,0.25243,1.13985,0.24046
0.58,0.37225,0.49431,0.57033,0.41043,1.03211,0.2618,1.30204,0.20446,0.75327,0.33764,0.81122,0.31589,1.03581,0.2484,1.21444,0.21672,0.90318,0.27433,0.92776,0.26458,1.036,0.23291,1.13595,0.22109
0.6,0.38632,0.47746,0.58449,0.3918,1.03813,0.24232,1.29843,0.18603,0.76586,0.31751,0.82231,0.29594,1.03931,0.22938,1.21022,0.1983,0.91072,0.2546,0.93418,0.24515,1.03702,0.21447,1.13156,0.20286
0.62,0.40036,0.46077,0.59832,0.37353,1.04324,0.22382,1.29384,0.16888,0.77788,0.29806,0.83279,0.27676,1.04207,0.21138,1.20529,0.18105,0.91769,0.23582,0.94004,0.2267,1.03756,0.19709,1.1268,0.18574
0.64,0.41434,0.44423,0.61181,0.35564,1.04751,0.20629,1.28839,0.15297,0.78937,0.27931,0.84268,0.25835,1.04417,0.1944,1.19977,0.16496,0.92414,0.218,0.94539,0.20922,1.03767,0.18075,1.12174,0.16971
0.66,0.42827,0.42788,0.62496,0.33815,1.05104,0.18973,1.28221,0.13824,0.80035,0.26128,0.85202,0.24072,1.04569,0.1784,1.19377,0.14996,0.9301,0.20112,0.95027,0.19271,1.03744,0.16543,1.11648,0.15473
0.68,0.44213,0.41171,0.63779,0.32108,1.05388,0.17413,1.27542,0.12466,0.81083,0.24398,0.86083,0.22387,1.0467,0.16339,1.1874,0.13604,0.93562,0.18519,0.95472,0.17715,1.03691,0.15109,1.11109,0.14077
0.7,0.45591,0.39575,0.6503,0.30444,1.0561,0.15947,1.26813,0.11216,0.82084,0.22741,0.86915,0.20782,1.04725,0.14932,1.18073,0.12315,0.94072,0.17018,0.95878,0.16252,1.03613,0.13771,1.10563,0.1278
0.72,0.4696,0.38002,0.66249,0.28826,1.05776,0.14573,1.26043,0.10069,0.83039,0.21159,0.877,0.19255,1.0474,0.13618,1.17385,0.11123,0.94543,0.15607,0.96248,0.14879,1.03516,0.12525,1.10015,0.11577
0.74,0.48318,0.36452,0.67436,0.27255,1.05892,0.13288,1.25241,0.0902,0.83949,0.1965,0.8844,0.17807,1.04722,0.12393,1.16683,0.10025,0.94979,0.14284,0.96585,0.13595,1.03403,0.11369,1.0947,0.10465
0.76,0.49666,0.34927,0.68591,0.25731,1.05965,0.12091,1.24415,0.08063,0.84818,0.18216,0.89139,0.16437,1.04674,0.11255,1.15974,0.09016,0.95381,0.13047,0.96893,0.12397,1.03278,0.10297,1.08932,0.09439
0.78,0.51003,0.33428,0.69716,0.24257,1.05997,0.10978,1.23573,0.07192,0.85645,0.16854,0.89797,0.15142,1.04601,0.102,1.15263,0.08091,0.95753,0.11893,0.97173,0.11281,1.03144,0.09307,1.08405,0.08494
