ETA,F,G
0.0,0.0949,1.0
0.02,0.11286,0.99303
0.04,0.21539,0.98068
0.06,0.30837,0.96325
0.08,0.39254,0.94173
0.1,0.46859,0.91695
0.12,0.53719,0.88961
0.14,0.59893,0.86029
0.16,0.65439,0.82949
0.18,0.70408,0.79762
0.2,0.74851,0.76502
0.22,0.78813,0.73201
0.24,0.82336,0.69882
0.26,0.85459,0.66568
0.28,0.88218,0.63277
0.3,0.90648,0.60024
0.32,0.92778,0.56822
0.34,0.94638,0.53685
0.36,0.96253,0.5062
0.38,0.97649,0.47636
0.4,0.98847,0.4474
0.42,0.99868,0.41939
0.44,1.0073,0.39236
0.46,1.01451,0.36635
0.48,1.02046,0.3414
0.5,1.02531,0.31753
0.52,1.02917,0.29473
0.54,1.03217,0.27304
0.56,1.03441,0.25243
0.58,1.036,0.23291
0.6,1.03702,0.21447
0.62,1.03756,0.19709
0.64,1.03767,0.18075
0.66,1.03744,0.16543
0.68,1.03691,0.15109
0.7,1.03613,0.13771
0.72,1.03516,0.12525
0.74,1.03403,0.11369
0.76,1.03278,0.10297
0.78,1.03144,0.09307
0.8,1.03003,0.08394
0.82,1.02858,0.07555
0.84,1.02711,0.06785
0.86,1.02563,0.06081
0.88,1.02417,0.05438
0.9,1.02272,0.04852
0.92,1.02131,0.0432
0.94,1.01994,0.03838
0.96,1.01861,0.03403
0.98,1.01733,0.0301
1.0,1.01611,0.02657
1.02,1.01495,0.0234
1.04,1.01384,0.02056
1.06,1.01279,0.01803
1.08,1.01181,0.01577
1.1,1.01088,0.01377
1.12,1.01001,0.01199
1.14,1.00919,0.01042
1.16,1.00843,0.00904
1.18,1.00772,0.00782
1.2,1.00706,0.00675
1.22,1.00645,0.00581
1.24,1.00589,0.00499
1.26,1.00537,0.00428
1.28,1.00489,0.00366
1.3,1.00445,0.00313
1.32,1.00404,0.00266
1.34,1.00367,0.00226
1.36,1.00333,0.00192
1.38,1.00302,0.00162
1.4,1.00273,0.00137
1.42,1.00247,0.00115
1.44,1.00223,0.00097
1.46,1.00202,0.00081
1.48,1.00182,0.00068
1.5,1.00164,0.00057
1.52,1.00148,0.00047
1.54,1.00133,0.00039
1.56,1.0012,0.00032
1.58,1.00108,0.00027
1.6,1.00097,0.00022
1.62,1.00087,0.00018
1.64,1.00078,0.00015
1.66,1.0007,0.00012
1.68,1.00063,0.0001
1.7,1.00056,8e-05
1.72,1.0005,7e-05
1.74,1.00045,5e-05
1.76,1.0004,4e-05
1.78,1.00036,3e-05
1.8,1.00032,3e-05
1.82,1.00029,2e-05
1.84,1.00026,2e-05
1.86,1.00023,1e-05
1.88,1.00021,1e-05
1.9,1.00019,1e-05
1.92,1.00017,1e-05
1.94,1.00015,1e-05
1.96,1.00013,0.0
1.98,1.00012,0.0
2.0,1.00011,0.0
2.02,1.00009,0.0
2.04,1.00008,0.0
2.06,1.00008,0.0
2.08,1.00007,0.0
2.1,1.00006,0.0
2.12,1.00006,0.0
2.14,1.00005,0.0
2.16,1.00005,0.0
2.18,1.00004,0.0
2.2,1.00004,0.0
2.22,1.00003,0.0
2.24,1.00003,0.0
2.26,1.00002,0.0
2.28,1.00002,0.0
2.3,1.00002,0.0
2.32,1.00001,0.0
2.34,1.00001,0.0
2.36,1.00001,0.0
2.38,1.00001,0.0
2.4,1.0,0.0
2.42,1.0,0.0
2.44,1.0,0.0
2.46,1.0,0.0
2.48,1.0,0.0
2.5,1.0,0.0
2.52,1.0,0.0
2.54,1.0,0.0
2.56,1.0,0.0
2.58,1.0,0.0
2.6,1.0,0.0
2.62,1.0,0.0
2.64,1.0,0.0
2.66,1.00001,0.0
2.68,1.00001,0.0
2.7,1.00001,-0.0
2.72,1.00001,-0.0
2.74,1.00001,-0.0
2.76,1.00002,-0.0
2.78,1.00002,-0.0
2.8,1.00002,-0.0
2.82,1.00002,-0.0
2.84,1.00002,-0.0
2.86,1.00002,-0.0
2.88,1.00002,-0.0
2.9,1.00002,-0.0
2.92,1.00001,-0.0
2.94,1.00001,-0.0
2.96,1.00001,-0.0
2.98,1.00001,-0.0
3.0,1.00001,-0.0
3.02,1.00001,-0.0
3.04,1.00001,-0.0
3.06,1.0,-0.0
3.08,1.0,-0.0
3.1,1.0,-0.0
3.12,1.0,-0.0
3.14,1.0,-0.0
3.16,0.99999,-0.0
3.18,0.99999,-0.0
3.2,0.99999,-0.0
3.22,0.99999,-0.0
3.24,0.99999,-0.0
3.26,0.99999,-0.0
3.28,0.99999,-0.0
3.3,0.99999,-0.0
3.32,0.99999,-0.0
3.34,0.99999,-0.0
3.36,0.99999,-0.0
3.38,0.99999,-0.0
3.4,0.99999,-0.0
3.42,0.99999,-0.0
3.44,0.99999,-0.0
3.46,0.99998,-0.0
3.48,0.99998,-0.0
3.5,0.99998,-0.0
3.52,0.99998,-0.0
3.54,0.99998,-0.0
3.56,0.99998,-0.0
3.58,0.99998,-0.0
3.6,0.99998,-0.0
3.62,0.99998,-0.0
3.64,0.99998,-0.0
3.66,0.99998,-0.0
3.68,0.99998,-0.0
3.7,0.99998,-0.0
3.72,0.99998,-0.0
3.74,0.99998,-0.0
3.76,0.99998,-0.0
3.78,0.99997,-0.0
3.8,0.99997,-0.0
3.82,0.99997,-0.0
3.84,0.99997,-0.0
3.86,0.99997,-0.0
3.88,0.99997,-0.0
3.9,0.99997,-0.0
3.92,0.99997,-0.0
3.94,0.99997,-0.0
3.96,0.99998,-0.0
3.98,0.99998,-0.0
4.0,0.99998,-0.0
4.02,0.99998,-0.0
4.04,0.99998,-0.0
