    ETA       F       G
    0.00000    0.09490    1.00000
    0.02000    0.02505    0.98018
    0.04000    0.04972    0.96100
    0.06000    0.07398    0.94159
    0.08000    0.09786    0.92196
    0.10000    0.12134    0.90212
    0.12000    0.14442    0.88207
    0.14000    0.16712    0.86185
    0.16000    0.18943    0.84145
    0.18000    0.21134    0.82091
    0.20000    0.23287    0.80022
    0.22000    0.25401    0.77942
    0.24000    0.27476    0.75852
    0.26000    0.29513    0.73754
    0.28000    0.31512    0.71650
    0.30000    0.33472    0.69543
    0.32000    0.35394    0.67435
    0.34000    0.37279    0.65327
    0.36000    0.39126    0.63224
    0.38000    0.40935    0.61126
    0.40000    0.42708    0.59037
    0.42000    0.44444    0.56959
    0.44000    0.46143    0.54894
    0.46000    0.47805    0.52846
    0.48000    0.49432    0.50817
    0.50000    0.51022    0.48809
    0.52000    0.52577    0.46826
    0.54000    0.54097    0.44868
    0.56000    0.55583    0.42940
    0.58000    0.57033    0.41043
    0.60000    0.58449    0.39180
    0.62000    0.59832    0.37353
    0.64000    0.61181    0.35564
    0.66000    0.62496    0.33815
    0.68000    0.63779    0.32108
    0.70000    0.65030    0.30444
    0.72000    0.66249    0.28826
    0.74000    0.67436    0.27255
    0.76000    0.68591    0.25731
    0.78000    0.69716    0.24257
    0.80000    0.70811    0.22832
    0.82000    0.71876    0.21459
    0.84000    0.72911    0.20137
    0.86000    0.73918    0.18866
    0.88000    0.74895    0.17648
    0.90000    0.75845    0.16482
    0.92000    0.76767    0.15368
    0.94000    0.77662    0.14305
    0.96000    0.78530    0.13294
    0.98000    0.79372    0.12333
    1.00000    0.80188    0.11423
    1.02000    0.80978    0.10561
    1.04000    0.81744    0.09748
    1.06000    0.82486    0.08981
    1.08000    0.83204    0.08260
    1.10000    0.83898    0.07583
    1.12000    0.84570    0.06949
    1.14000    0.85219    0.06357
    1.16000    0.85846    0.05804
    1.18000    0.86452    0.05290
    1.20000    0.87037    0.04812
    1.22000    0.87601    0.04370
    1.24000    0.88146    0.03960
    1.26000    0.88671    0.03582
    1.28000    0.89177    0.03234
    1.30000    0.89665    0.02915
    1.32000    0.90134    0.02622
    1.34000    0.90586    0.02353
    1.36000    0.91021    0.02108
    1.38000    0.91440    0.01885
    1.40000    0.91842    0.01683
    1.42000    0.92228    0.01499
    1.44000    0.92600    0.01332
    1.46000    0.92956    0.01182
    1.48000    0.93298    0.01047
    1.50000    0.93626    0.00925
    1.52000    0.93941    0.00816
    1.54000    0.94242    0.00718
    1.56000    0.94531    0.00631
    1.58000    0.94808    0.00553
    1.60000    0.95072    0.00484
    1.62000    0.95325    0.00423
    1.64000    0.95568    0.00368
    1.66000    0.95799    0.00320
    1.68000    0.96020    0.00278
    1.70000    0.96231    0.00241
    1.72000    0.96432    0.00209
    1.74000    0.96625    0.00180
    1.76000    0.96808    0.00155
    1.78000    0.96982    0.00133
    1.80000    0.97149    0.00114
    1.82000    0.97307    0.00098
    1.84000    0.97458    0.00084
    1.86000    0.97601    0.00072
    1.88000    0.97737    0.00061
    1.90000    0.97867    0.00052
    1.92000    0.97990    0.00044
    1.94000    0.98106    0.00037
    1.96000    0.98217    0.00032
    1.98000    0.98322    0.00027
    2.00000    0.98422    0.00022
    2.02000    0.98516    0.00019
    2.04000    0.98605    0.00016
    2.06000    0.98690    0.00013
    2.08000    0.98770    0.00011
    2.10000    0.98845    0.00009
    2.12000    0.98917    0.00008
    2.14000    0.98984    0.00007
    2.16000    0.99048    0.00005
    2.18000    0.99108    0.00005
    2.20000    0.99165    0.00004
    2.22000    0.99219    0.00003
    2.24000    0.99269    0.00003
    2.26000    0.99317    0.00002
    2.28000    0.99361    0.00002
    2.30000    0.99403    0.00001
    2.32000    0.99443    0.00001
    2.34000    0.99480    0.00001
    2.36000    0.99515    0.00001
    2.38000    0.99548    0.00001
    2.40000    0.99579    0.00001
    2.42000    0.99608    0.00000
    2.44000    0.99635    0.00000
    2.46000    0.99660    0.00000
    2.48000    0.99684    0.00000
    2.50000    0.99706    0.00000
    2.52000    0.99727    0.00000
    2.54000    0.99746    0.00000
    2.56000    0.99764    0.00000
    2.58000    0.99781    0.00000
    2.60000    0.99797    0.00000
    2.62000    0.99812    0.00000
    2.64000    0.99826    0.00000
    2.66000    0.99839    0.00000
    2.68000    0.99851    0.00000
    2.70000    0.99862    0.00000
    2.72000    0.99873    0.00000
    2.74000    0.99883    0.00000
    2.76000    0.99892    0.00000
    2.78000    0.99900    0.00000
    2.80000    0.99908    0.00000
    2.82000    0.99915    0.00000
    2.84000    0.99922    0.00000
    2.86000    0.99928    0.00000
    2.88000    0.99934    0.00000
    2.90000    0.99939    0.00000
    2.92000    0.99944    0.00000
    2.94000    0.99948    0.00000
    2.96000    0.99953    0.00000
    2.98000    0.99956    0.00000
    3.00000    0.99960    0.00000
    3.02000    0.99963    0.00000
    3.04000    0.99967    0.00000
    3.06000    0.99969    0.00000
    3.08000    0.99972    0.00000
    3.10000    0.99975    0.00000
    3.12000    0.99977    0.00000
    3.14000    0.99979    0.00000
    3.16000    0.99981    0.00000
    3.18000    0.99983    0.00000
    3.20000    0.99984    0.00000
    3.22000    0.99986    0.00000
    3.24000    0.99987    0.00000
