ETA,F,G
0.0,0.0949,1.0
0.02,0.14145,0.99946
0.04,0.26917,0.99107
0.06,0.38414,0.97571
0.08,0.48731,0.95487
0.1,0.57959,0.92976
0.12,0.66184,0.90137
0.14,0.73488,0.87053
0.16,0.79947,0.8379
0.18,0.85634,0.80405
0.2,0.90617,0.76942
0.22,0.94958,0.73439
0.24,0.98718,0.69927
0.26,1.01949,0.66429
0.28,1.04704,0.62969
0.3,1.0703,0.59561
0.32,1.08969,0.56221
0.34,1.10563,0.52961
0.36,1.11848,0.49789
0.38,1.12859,0.46713
0.4,1.13627,0.4374
0.42,1.1418,0.40875
0.44,1.14545,0.38122
0.46,1.14745,0.35483
0.48,1.14804,0.3296
0.5,1.1474,0.30555
0.52,1.14572,0.28268
0.54,1.14315,0.26099
0.56,1.13985,0.24046
0.58,1.13595,0.22109
0.6,1.13156,0.20286
0.62,1.1268,0.18574
0.64,1.12174,0.16971
0.66,1.11648,0.15473
0.68,1.11109,0.14077
0.7,1.10563,0.1278
0.72,1.10015,0.11577
0.74,1.0947,0.10465
0.76,1.08932,0.09439
0.78,1.08405,0.08494
0.8,1.07891,0.07628
0.82,1.07393,0.06835
0.84,1.06911,0.06111
0.86,1.06449,0.05451
0.88,1.06006,0.04852
0.9,1.05583,0.04309
0.92,1.05181,0.03818
0.94,1.048,0.03375
0.96,1.0444,0.02977
0.98,1.041,0.0262
1.0,1.03781,0.02301
1.02,1.03481,0.02016
1.04,1.03201,0.01762
1.06,1.0294,0.01537
1.08,1.02697,0.01338
1.1,1.0247,0.01161
1.12,1.0226,0.01006
1.14,1.02066,0.00869
1.16,1.01886,0.0075
1.18,1.0172,0.00645
1.2,1.01567,0.00553
1.22,1.01426,0.00474
1.24,1.01297,0.00405
1.26,1.01178,0.00345
1.28,1.01069,0.00294
1.3,1.0097,0.00249
1.32,1.00879,0.00211
1.34,1.00796,0.00178
1.36,1.0072,0.0015
1.38,1.00651,0.00126
1.4,1.00588,0.00106
1.42,1.00531,0.00089
1.44,1.00479,0.00074
1.46,1.00432,0.00062
1.48,1.00389,0.00051
1.5,1.00351,0.00042
1.52,1.00316,0.00035
1.54,1.00284,0.00029
1.56,1.00256,0.00024
1.58,1.0023,0.0002
1.6,1.00206,0.00016
1.62,1.00185,0.00013
1.64,1.00167,0.00011
1.66,1.00149,9e-05
1.68,1.00134,7e-05
1.7,1.0012,6e-05
1.72,1.00108,5e-05
1.74,1.00097,4e-05
1.76,1.00086,3e-05
1.78,1.00077,2e-05
1.8,1.00069,2e-05
1.82,1.00062,2e-05
1.84,1.00055,1e-05
1.86,1.0005,1e-05
1.88,1.00044,1e-05
1.9,1.0004,1e-05
1.92,1.00035,0.0
1.94,1.00031,0.0
1.96,1.00028,0.0
1.98,1.00025,0.0
2.0,1.00022,0.0
2.02,1.0002,0.0
2.04,1.00017,0.0
2.06,1.00015,0.0
2.08,1.00014,0.0
2.1,1.00012,0.0
2.12,1.00011,0.0
2.14,1.00009,0.0
2.16,1.00008,0.0
2.18,1.00007,0.0
2.2,1.00006,0.0
2.22,1.00005,0.0
2.24,1.00005,0.0
2.26,1.00004,0.0
2.28,1.00003,0.0
2.3,1.00003,0.0
2.32,1.00002,0.0
2.34,1.00002,0.0
2.36,1.00001,0.0
2.38,1.00001,0.0
2.4,1.00001,0.0
2.42,1.0,0.0
2.44,1.0,0.0
2.46,1.0,0.0
2.48,1.0,0.0
2.5,1.0,0.0
2.52,0.99999,0.0
2.54,0.99999,0.0
2.56,0.99999,0.0
2.58,0.99999,0.0
2.6,0.99999,0.0
2.62,0.99999,0.0
2.64,0.99999,0.0
2.66,0.99999,-0.0
2.68,0.99999,-0.0
2.7,0.99999,-0.0
2.72,0.99999,-0.0
2.74,0.99999,-0.0
2.76,0.99999,-0.0
2.78,1.0,-0.0
2.8,1.0,-0.0
2.82,1.0,-0.0
2.84,1.0,-0.0
2.86,1.0,-0.0
2.88,1.0,-0.0
2.9,1.0,-0.0
2.92,1.0,-0.0
2.94,1.0,-0.0
2.96,1.0,-0.0
2.98,1.0,-0.0
3.0,1.0,-0.0
3.02,1.0,-0.0
3.04,1.0,-0.0
3.06,1.0,-0.0
3.08,0.99999,-0.0
3.1,0.99999,-0.0
3.12,1.0,-0.0
3.14,1.0,-0.0
3.16,0.99999,-0.0
3.18,0.99999,-0.0
3.2,0.99999,-0.0
3.22,0.99999,-0.0
3.24,0.99999,-0.0
3.26,0.99999,-0.0
3.28,0.99999,-0.0
3.3,0.99999,-0.0
3.32,1.0,-0.0
3.34,1.0,-0.0
3.36,1.0,-0.0
3.38,1.0,-0.0
3.4,1.0,-0.0
3.42,1.00001,-0.0
3.44,1.00001,-0.0
3.46,1.00001,-0.0
3.48,1.00001,-0.0
3.5,1.00001,-0.0
3.52,1.00001,-0.0
3.54,1.00001,-0.0
3.56,1.00001,-0.0
3.58,1.00001,-0.0
3.6,1.00002,-0.0
3.62,1.00002,-0.0
3.64,1.00002,-0.0
3.66,1.00002,-0.0
3.68,1.00002,-0.0
3.7,1.00002,-0.0
3.72,1.00002,-0.0
3.74,1.00002,-0.0
3.76,1.00002,-0.0
3.78,1.00002,-0.0
3.8,1.00002,-0.0
3.82,1.00002,-0.0
3.84,1.00002,-0.0
3.86,1.00002,-0.0
3.88,1.00002,-0.0
3.9,1.00002,-0.0
3.92,1.00002,-0.0
3.94,1.00002,-0.0
3.96,1.00002,-0.0
3.98,1.00002,-0.0
4.0,1.00002,-0.0
4.02,1.00002,-0.0
4.04,1.00002,-0.0
4.06,1.00002,-0.0
4.08,1.00002,-0.0
4.1,1.00002,-0.0
4.12,1.00002,-0.0
4.14,1.00002,-0.0
4.16,1.00002,-0.0
4.18,1.00002,-0.0
4.2,1.00002,-0.0
4.22,1.00002,-0.0
4.24,1.00002,-0.0
4.26,1.00002,-0.0
4.28,1.00002,-0.0
4.3,1.00001,-0.0
4.32,1.00001,-0.0
4.34,1.00001,-0.0
4.36,1.00001,-0.0
4.38001,1.00001,-0.0
4.40001,1.00001,-0.0
4.42001,1.00001,-0.0
4.44001,1.00001,-0.0
4.46001,1.00001,-0.0
4.48001,1.00001,-0.0
4.50001,1.0,-0.0
4.52001,1.0,-0.0
4.54001,1.0,-0.0
4.56001,1.0,-0.0
4.58001,1.0,-0.0
4.60001,1.0,-0.0
4.62001,0.99999,-0.0
4.64001,0.99999,-0.0
4.66001,0.99999,-0.0
4.68001,0.99999,-0.0
4.70001,0.99999,-0.0
4.72001,0.99999,-0.0
4.74001,0.99999,-0.0
4.76001,0.99999,-0.0
4.78001,0.99999,-0.0
4.80001,0.99999,0.0
4.82002,0.99999,0.0
4.84002,0.99999,0.0
4.86002,0.99999,0.0
4.88002,0.99999,0.0
4.90002,1.0,0.0
4.92002,1.0,0.0
4.94002,1.0,0.0
4.96002,1.0,0.0
4.98002,1.0,0.0
5.00002,1.0,0.0
