    ETA       F       G
    0.00000    0.09490    1.00000
    0.02000    0.12881    0.99617
    0.04000    0.24800    0.98660
    0.06000    0.35792    0.97144
    0.08000    0.45896    0.95161
    0.10000    0.55152    0.92792
    0.12000    0.63600    0.90107
    0.14000    0.71282    0.87170
    0.16000    0.78238    0.84037
    0.18000    0.84511    0.80754
    0.20000    0.90141    0.77365
    0.22000    0.95168    0.73907
    0.24000    0.99632    0.70411
    0.26000    1.03571    0.66906
    0.28000    1.07023    0.63417
    0.30000    1.10023    0.59964
    0.32000    1.12608    0.56565
    0.34000    1.14809    0.53236
    0.36000    1.16659    0.49989
    0.38000    1.18188    0.46835
    0.40000    1.19425    0.43784
    0.42000    1.20397    0.40843
    0.44000    1.21131    0.38016
    0.46000    1.21651    0.35309
    0.48000    1.21979    0.32725
    0.50000    1.22137    0.30265
    0.52000    1.22145    0.27930
    0.54000    1.22020    0.25720
    0.56000    1.21782    0.23635
    0.58000    1.21444    0.21672
    0.60000    1.21022    0.19830
    0.62000    1.20529    0.18105
    0.64000    1.19977    0.16496
    0.66000    1.19377    0.14996
    0.68000    1.18740    0.13604
    0.70000    1.18073    0.12315
    0.72000    1.17385    0.11123
    0.74000    1.16683    0.10025
    0.76000    1.15974    0.09016
    0.78000    1.15263    0.08091
    0.80000    1.14554    0.07245
    0.82000    1.13853    0.06473
    0.84000    1.13162    0.05771
    0.86000    1.12485    0.05134
    0.88000    1.11825    0.04557
    0.90000    1.11182    0.04036
    0.92000    1.10560    0.03567
    0.94000    1.09958    0.03146
    0.96000    1.09379    0.02768
    0.98000    1.08823    0.02430
    1.00000    1.08291    0.02129
    1.02000    1.07782    0.01861
    1.04000    1.07296    0.01623
    1.06000    1.06834    0.01413
    1.08000    1.06395    0.01227
    1.10000    1.05979    0.01063
    1.12000    1.05585    0.00919
    1.14000    1.05213    0.00793
    1.16000    1.04862    0.00683
    1.18000    1.04531    0.00586
    1.20000    1.04219    0.00503
    1.22000    1.03926    0.00430
    1.24000    1.03651    0.00367
    1.26000    1.03393    0.00313
    1.28000    1.03151    0.00266
    1.30000    1.02925    0.00225
    1.32000    1.02713    0.00191
    1.34000    1.02516    0.00161
    1.36000    1.02331    0.00136
    1.38000    1.02159    0.00114
    1.40000    1.01999    0.00096
    1.42000    1.01849    0.00080
    1.44000    1.01710    0.00067
    1.46000    1.01581    0.00056
    1.48000    1.01460    0.00047
    1.50000    1.01349    0.00039
    1.52000    1.01245    0.00032
    1.54000    1.01149    0.00027
    1.56000    1.01059    0.00022
    1.58000    1.00977    0.00018
    1.60000    1.00900    0.00015
    1.62000    1.00829    0.00012
    1.64000    1.00763    0.00010
    1.66000    1.00703    0.00008
    1.68000    1.00646    0.00007
    1.70000    1.00594    0.00006
    1.72000    1.00547    0.00005
    1.74000    1.00502    0.00004
    1.76000    1.00461    0.00003
    1.78000    1.00424    0.00002
    1.80000    1.00389    0.00002
    1.82000    1.00357    0.00002
    1.84000    1.00327    0.00001
    1.86000    1.00300    0.00001
    1.88000    1.00275    0.00001
    1.90000    1.00252    0.00001
    1.92000    1.00230    0.00001
    1.94000    1.00211    0.00000
    1.96000    1.00193    0.00000
    1.98000    1.00176    0.00000
    2.00000    1.00161    0.00000
    2.02000    1.00147    0.00000
    2.04000    1.00135    0.00000
    2.06000    1.00123    0.00000
    2.08000    1.00112    0.00000
    2.10000    1.00103    0.00000
    2.12000    1.00093    0.00000
    2.14000    1.00085    0.00000
    2.16000    1.00078    0.00000
    2.18000    1.00071    0.00000
    2.20000    1.00064    0.00000
    2.22000    1.00059    0.00000
    2.24000    1.00053    0.00000
    2.26000    1.00048    0.00000
    2.28000    1.00044    0.00000
    2.30000    1.00040    0.00000
    2.32000    1.00036    0.00000
    2.34000    1.00033    0.00000
    2.36000    1.00030    0.00000
    2.38000    1.00027    0.00000
    2.40000    1.00024    0.00000
    2.42000    1.00022    0.00000
    2.44000    1.00020    0.00000
    2.46000    1.00018    0.00000
    2.48000    1.00016    0.00000
    2.50000    1.00014    0.00000
    2.52000    1.00013    0.00000
    2.54000    1.00012    0.00000
    2.56000    1.00011    0.00000
    2.58000    1.00010    0.00000
    2.60000    1.00009    0.00000
    2.62000    1.00008    0.00000
    2.64000    1.00007    0.00000
    2.66000    1.00007    0.00000
    2.68000    1.00006    0.00000
    2.70000    1.00006    0.00000
    2.72000    1.00005    0.00000
    2.74000    1.00005    0.00000
    2.76000    1.00004    0.00000
    2.78000    1.00004    0.00000
    2.80000    1.00003    0.00000
    2.82000    1.00003    0.00000
    2.84000    1.00003    0.00000
    2.86000    1.00003    0.00000
    2.88000    1.00002    0.00000
    2.90000    1.00002   -0.00000
    2.92000    1.00002   -0.00000
    2.94000    1.00002   -0.00000
    2.96000    1.00002   -0.00000
    2.98000    1.00002   -0.00000
    3.00000    1.00001   -0.00000
    3.02000    1.00001   -0.00000
    3.04000    1.00001   -0.00000
    3.06000    1.00001   -0.00000
    3.08000    1.00001   -0.00000
    3.10000    1.00001   -0.00000
    3.12000    1.00001   -0.00000
    3.14000    1.00001   -0.00000
    3.16000    1.00001   -0.00000
    3.18000    1.00000   -0.00000
    3.20000    1.00000   -0.00000
    3.22000    1.00000   -0.00000
    3.24000    1.00000   -0.00000
    3.26000    1.00000   -0.00000
    3.28000    1.00000   -0.00000
    3.30000    1.00000   -0.00000
    3.32000    1.00000   -0.00000
    3.34000    1.00000   -0.00000
