ETA,F,G
0.0,0.0949,1.0
0.02,0.12881,0.99617
0.04,0.248,0.9866
0.06,0.35792,0.97144
0.08,0.45896,0.95161
0.1,0.55152,0.92792
0.12,0.636,0.90107
0.14,0.71282,0.8717
0.16,0.78238,0.84037
0.18,0.84511,0.80754
0.2,0.90141,0.77365
0.22,0.95168,0.73907
0.24,0.99632,0.70411
0.26,1.03571,0.66906
0.28,1.07023,0.63417
0.3,1.10023,0.59964
0.32,1.12608,0.56565
0.34,1.14809,0.53236
0.36,1.16659,0.49989
0.38,1.18188,0.46835
0.4,1.19425,0.43784
0.42,1.20397,0.40843
0.44,1.21131,0.38016
0.46,1.21651,0.35309
0.48,1.21979,0.32725
0.5,1.22137,0.30265
0.52,1.22145,0.2793
0.54,1.2202,0.2572
0.56,1.21782,0.23635
0.58,1.21444,0.21672
0.6,1.21022,0.1983
0.62,1.20529,0.18105
0.64,1.19977,0.16496
0.66,1.19377,0.14996
0.68,1.1874,0.13604
0.7,1.18073,0.12315
0.72,1.17385,0.11123
0.74,1.16683,0.10025
0.76,1.15974,0.09016
0.78,1.15263,0.08091
0.8,1.14554,0.07245
0.82,1.13853,0.06473
0.84,1.13162,0.05771
0.86,1.12485,0.05134
0.88,1.11825,0.04557
0.9,1.11182,0.04036
0.92,1.1056,0.03567
0.94,1.09958,0.03146
0.96,1.09379,0.02768
0.98,1.08823,0.0243
1.0,1.08291,0.02129
1.02,1.07782,0.01861
1.04,1.07296,0.01623
1.06,1.06834,0.01413
1.08,1.06395,0.01227
1.1,1.05979,0.01063
1.12,1.05585,0.00919
1.14,1.05213,0.00793
1.16,1.04862,0.00683
1.18,1.04531,0.00586
1.2,1.04219,0.00503
1.22,1.03926,0.0043
1.24,1.03651,0.00367
1.26,1.03393,0.00313
1.28,1.03151,0.00266
1.3,1.02925,0.00225
1.32,1.02713,0.00191
1.34,1.02516,0.00161
1.36,1.02331,0.00136
1.38,1.02159,0.00114
1.4,1.01999,0.00096
1.42,1.01849,0.0008
1.44,1.0171,0.00067
1.46,1.01581,0.00056
1.48,1.0146,0.00047
1.5,1.01349,0.00039
1.52,1.01245,0.00032
1.54,1.01149,0.00027
1.56,1.01059,0.00022
1.58,1.00977,0.00018
1.6,1.009,0.00015
1.62,1.00829,0.00012
1.64,1.00763,0.0001
1.66,1.00703,8e-05
1.68,1.00646,7e-05
1.7,1.00594,6e-05
1.72,1.00547,5e-05
1.74,1.00502,4e-05
1.76,1.00461,3e-05
1.78,1.00424,2e-05
1.8,1.00389,2e-05
1.82,1.00357,2e-05
1.84,1.00327,1e-05
1.86,1.003,1e-05
1.88,1.00275,1e-05
1.9,1.00252,1e-05
1.92,1.0023,1e-05
1.94,1.00211,0.0
1.96,1.00193,0.0
1.98,1.00176,0.0
2.0,1.00161,0.0
2.02,1.00147,0.0
2.04,1.00135,0.0
2.06,1.00123,0.0
2.08,1.00112,0.0
2.1,1.00103,0.0
2.12,1.00093,0.0
2.14,1.00085,0.0
2.16,1.00078,0.0
2.18,1.00071,0.0
2.2,1.00064,0.0
2.22,1.00059,0.0
2.24,1.00053,0.0
2.26,1.00048,0.0
2.28,1.00044,0.0
2.3,1.0004,0.0
2.32,1.00036,0.0
2.34,1.00033,0.0
2.36,1.0003,0.0
2.38,1.00027,0.0
2.4,1.00024,0.0
2.42,1.00022,0.0
2.44,1.0002,0.0
2.46,1.00018,0.0
2.48,1.00016,0.0
2.5,1.00014,0.0
2.52,1.00013,0.0
2.54,1.00012,0.0
2.56,1.00011,0.0
2.58,1.0001,0.0
2.6,1.00009,0.0
2.62,1.00008,0.0
2.64,1.00007,0.0
2.66,1.00007,0.0
2.68,1.00006,0.0
2.7,1.00006,0.0
