    ETA       F       G
    0.00000    0.09490    1.00000
    0.02000    0.07863    0.99015
    0.04000    0.15095    0.97714
    0.06000    0.21747    0.96068
    0.08000    0.27867    0.94134
    0.10000    0.33497    0.91957
    0.12000    0.38679    0.89580
    0.14000    0.43448    0.87036
    0.16000    0.47838    0.84357
    0.18000    0.51881    0.81571
    0.20000    0.55604    0.78703
    0.22000    0.59034    0.75772
    0.24000    0.62195    0.72800
    0.26000    0.65108    0.69802
    0.28000    0.67794    0.66796
    0.30000    0.70270    0.63794
    0.32000    0.72554    0.60809
    0.34000    0.74662    0.57853
    0.36000    0.76607    0.54937
    0.38000    0.78402    0.52068
    0.40000    0.80060    0.49256
    0.42000    0.81591    0.46508
    0.44000    0.83005    0.43830
    0.46000    0.84311    0.41228
    0.48000    0.85519    0.38707
    0.50000    0.86635    0.36271
    0.52000    0.87666    0.33923
    0.54000    0.88620    0.31666
    0.56000    0.89502    0.29502
    0.58000    0.90318    0.27433
    0.60000    0.91072    0.25460
    0.62000    0.91769    0.23582
    0.64000    0.92414    0.21800
    0.66000    0.93010    0.20112
    0.68000    0.93562    0.18519
    0.70000    0.94072    0.17018
    0.72000    0.94543    0.15607
    0.74000    0.94979    0.14284
    0.76000    0.95381    0.13047
    0.78000    0.95753    0.11893
    0.80000    0.96097    0.10819
    0.82000    0.96414    0.09822
    0.84000    0.96707    0.08899
    0.86000    0.96978    0.08045
    0.88000    0.97227    0.07259
    0.90000    0.97457    0.06535
    0.92000    0.97669    0.05872
    0.94000    0.97865    0.05265
    0.96000    0.98045    0.04710
    0.98000    0.98211    0.04206
    1.00000    0.98363    0.03747
    1.02000    0.98503    0.03331
    1.04000    0.98632    0.02955
    1.06000    0.98751    0.02616
    1.08000    0.98859    0.02311
    1.10000    0.98959    0.02037
    1.12000    0.99050    0.01792
    1.14000    0.99134    0.01573
    1.16000    0.99211    0.01377
    1.18000    0.99282    0.01204
    1.20000    0.99346    0.01050
    1.22000    0.99405    0.00913
    1.24000    0.99459    0.00793
    1.26000    0.99508    0.00687
    1.28000    0.99553    0.00594
    1.30000    0.99594    0.00512
    1.32000    0.99631    0.00441
    1.34000    0.99665    0.00379
    1.36000    0.99696    0.00324
    1.38000    0.99725    0.00277
    1.40000    0.99750    0.00237
    1.42000    0.99774    0.00201
    1.44000    0.99795    0.00171
    1.46000    0.99814    0.00145
    1.48000    0.99832    0.00122
    1.50000    0.99848    0.00103
    1.52000    0.99863    0.00087
    1.54000    0.99876    0.00073
    1.56000    0.99888    0.00061
    1.58000    0.99899    0.00051
    1.60000    0.99908    0.00043
    1.62000    0.99917    0.00036
    1.64000    0.99925    0.00030
    1.66000    0.99933    0.00024
    1.68000    0.99939    0.00020
    1.70000    0.99945    0.00017
    1.72000    0.99951    0.00014
    1.74000    0.99956    0.00011
    1.76000    0.99960    0.00009
    1.78000    0.99964    0.00008
    1.80000    0.99968    0.00006
    1.82000    0.99971    0.00005
    1.84000    0.99974    0.00004
    1.86000    0.99976    0.00003
    1.88000    0.99979    0.00003
    1.90000    0.99981    0.00002
    1.92000    0.99983    0.00002
    1.94000    0.99985    0.00001
    1.96000    0.99986    0.00001
    1.98000    0.99988    0.00001
    2.00000    0.99989    0.00001
    2.02000    0.99990    0.00001
    2.04000    0.99991    0.00000
    2.06000    0.99992    0.00000
    2.08000    0.99993    0.00000
    2.10000    0.99994    0.00000
    2.12000    0.99995    0.00000
    2.14000    0.99996    0.00000
    2.16000    0.99996    0.00000
    2.18000    0.99997    0.00000
    2.20000    0.99997    0.00000
    2.22000    0.99998    0.00000
    2.24000    0.99998    0.00000
    2.26000    0.99998    0.00000
    2.28000    0.99998    0.00000
    2.30000    0.99999    0.00000
    2.32000    0.99999    0.00000
    2.34000    0.99999    0.00000
    2.36000    0.99999    0.00000
    2.38000    0.99999    0.00000
    2.40000    0.99999    0.00000
    2.42000    0.99999    0.00000
    2.44000    0.99999    0.00000
    2.46000    0.99999    0.00000
    2.48000    0.99999    0.00000
    2.50000    0.99999    0.00000
    2.52000    0.99999    0.00000
    2.54000    0.99999    0.00000
    2.56000    0.99999    0.00000
    2.58000    0.99999    0.00000
    2.60000    0.99999    0.00000
    2.62000    0.99999    0.00000
    2.64000    0.99999    0.00000
    2.66000    0.99999    0.00000
    2.68000    0.99999    0.00000
    2.70000    0.99999    0.00000
    2.72000    1.00000    0.00000
    2.74000    1.00000    0.00000
    2.76000    1.00000    0.00000
    2.78000    1.00000   -0.00000
    2.80000    1.00000   -0.00000
    2.82000    1.00000   -0.00000
    2.84000    1.00000   -0.00000
    2.86000    1.00000   -0.00000
    2.88000    1.00000   -0.00000
    2.90000    1.00000   -0.00000
    2.92000    1.00001   -0.00000
    2.94000    1.00001   -0.00000
    2.96000    1.00001   -0.00000
