ETA,F,G
0.0,0.0949,1.0
0.02,0.02505,0.98018
0.04,0.04972,0.961
0.06,0.07398,0.94159
0.08,0.09786,0.92196
0.1,0.12134,0.90212
0.12,0.14442,0.88207
0.14,0.16712,0.86185
0.16,0.18943,0.84145
0.18,0.21134,0.82091
0.2,0.23287,0.80022
0.22,0.25401,0.77942
0.24,0.27476,0.75852
0.26,0.29513,0.73754
0.28,0.31512,0.7165
0.3,0.33472,0.69543
0.32,0.35394,0.67435
0.34,0.37279,0.65327
0.36,0.39126,0.63224
0.38,0.40935,0.61126
0.4,0.42708,0.59037
0.42,0.44444,0.56959
0.44,0.46143,0.54894
0.46,0.47805,0.52846
0.48,0.49432,0.50817
0.5,0.51022,0.48809
0.52,0.52577,0.46826
0.54,0.54097,0.44868
0.56,0.55583,0.4294
0.58,0.57033,0.41043
0.6,0.58449,0.3918
0.62,0.59832,0.37353
0.64,0.61181,0.35564
0.66,0.62496,0.33815
0.68,0.63779,0.32108
0.7,0.6503,0.30444
0.72,0.66249,0.28826
0.74,0.67436,0.27255
0.76,0.68591,0.25731
0.78,0.69716,0.24257
0.8,0.70811,0.22832
0.82,0.71876,0.21459
0.84,0.72911,0.20137
0.86,0.73918,0.18866
0.88,0.74895,0.17648
0.9,0.75845,0.16482
0.92,0.76767,0.15368
0.94,0.77662,0.14305
0.96,0.7853,0.13294
0.98,0.79372,0.12333
1.0,0.80188,0.11423
1.02,0.80978,0.10561
1.04,0.81744,0.09748
1.06,0.82486,0.08981
1.08,0.83204,0.0826
1.1,0.83898,0.07583
1.12,0.8457,0.06949
1.14,0.85219,0.06357
1.16,0.85846,0.05804
1.18,0.86452,0.0529
1.2,0.87037,0.04812
1.22,0.87601,0.0437
1.24,0.88146,0.0396
1.26,0.88671,0.03582
1.28,0.89177,0.03234
1.3,0.89665,0.02915
1.32,0.90134,0.02622
1.34,0.90586,0.02353
1.36,0.91021,0.02108
1.38,0.9144,0.01885
1.4,0.91842,0.01683
1.42,0.92228,0.01499
1.44,0.926,0.01332
1.46,0.92956,0.01182
1.48,0.93298,0.01047
1.5,0.93626,0.00925
1.52,0.93941,0.00816
1.54,0.94242,0.00718
1.56,0.94531,0.00631
1.58,0.94808,0.00553
1.6,0.95072,0.00484
1.62,0.95325,0.00423
1.64,0.95568,0.00368
1.66,0.95799,0.0032
1.68,0.9602,0.00278
1.7,0.96231,0.00241
1.72,0.96432,0.00209
1.74,0.96625,0.0018
1.76,0.96808,0.00155
1.78,0.96982,0.00133
1.8,0.97149,0.00114
1.82,0.97307,0.00098
1.84,0.97458,0.00084
1.86,0.97601,0.00072
1.88,0.97737,0.00061
1.9,0.97867,0.00052
1.92,0.9799,0.00044
1.94,0.98106,0.00037
1.96,0.98217,0.00032
1.98,0.98322,0.00027
2.0,0.98422,0.00022
2.02,0.98516,0.00019
2.04,0.98605,0.00016
2.06,0.9869,0.00013
2.08,0.9877,0.00011
2.1,0.98845,9e-05
2.12,0.98917,8e-05
2.14,0.98984,7e-05
2.16,0.99048,5e-05
2.18,0.99108,5e-05
2.2,0.99165,4e-05
2.22,0.99219,3e-05
2.24,0.99269,3e-05
2.26,0.99317,2e-05
2.28,0.99361,2e-05
2.3,0.99403,1e-05
2.32,0.99443,1e-05
2.34,0.9948,1e-05
2.36,0.99515,1e-05
2.38,0.99548,1e-05
2.4,0.99579,1e-05
2.42,0.99608,0.0
2.44,0.99635,0.0
2.46,0.9966,0.0
2.48,0.99684,0.0
2.5,0.99706,0.0
2.52,0.99727,0.0
2.54,0.99746,0.0
2.56,0.99764,0.0
2.58,0.99781,0.0
2.6,0.99797,0.0
2.62,0.99812,0.0
2.64,0.99826,0.0
2.66,0.99839,0.0
2.68,0.99851,0.0
2.7,0.99862,0.0
2.72,0.99873,0.0
2.74,0.99883,0.0
2.76,0.99892,0.0
2.78,0.999,0.0
2.8,0.99908,0.0
2.82,0.99915,0.0
2.84,0.99922,0.0
2.86,0.99928,0.0
2.88,0.99934,0.0
2.9,0.99939,0.0
2.92,0.99944,0.0
2.94,0.99948,0.0
2.96,0.99953,0.0
2.98,0.99956,0.0
3.0,0.9996,0.0
3.02,0.99963,0.0
3.04,0.99967,0.0
3.06,0.99969,0.0
3.08,0.99972,0.0
3.1,0.99975,0.0
3.12,0.99977,0.0
