ETA,F,G
0.0,0.0949,1.0
0.02,0.12394,0.99501
0.04,0.24036,0.9852
0.06,0.34933,0.97037
0.08,0.45097,0.95117
0.1,0.54541,0.92822
0.12,0.63285,0.90208
0.14,0.71349,0.87328
0.16,0.78755,0.84231
0.18,0.85528,0.80963
0.2,0.91694,0.77564
0.22,0.97279,0.74072
0.24,1.02312,0.70522
0.26,1.06821,0.66944
0.28,1.10836,0.63366
0.3,1.14384,0.59813
0.32,1.17495,0.56306
0.34,1.20198,0.52863
0.36,1.22521,0.49503
0.38,1.2449,0.46237
0.4,1.26134,0.43079
0.42,1.27477,0.40036
0.44,1.28546,0.37118
0.46,1.29363,0.34329
0.48,1.29952,0.31674
0.5,1.30336,0.29155
0.52,1.30533,0.26773
0.54,1.30565,0.24528
0.56,1.30449,0.2242
0.58,1.30204,0.20446
0.6,1.29843,0.18603
0.62,1.29384,0.16888
0.64,1.28839,0.15297
0.66,1.28221,0.13824
0.68,1.27542,0.12466
0.7,1.26813,0.11216
0.72,1.26043,0.10069
0.74,1.25241,0.0902
0.76,1.24415,0.08063
0.78,1.23573,0.07192
0.8,1.2272,0.06401
0.82,1.21862,0.05685
0.84,1.21005,0.05039
0.86,1.20152,0.04457
0.88,1.19307,0.03934
0.9,1.18474,0.03465
0.92,1.17656,0.03046
0.94,1.16854,0.02672
0.96,1.16071,0.0234
0.98,1.15309,0.02045
1.0,1.14568,0.01784
1.02,1.1385,0.01553
1.04,1.13156,0.01349
1.06,1.12485,0.01171
1.08,1.11839,0.01014
1.1,1.11217,0.00876
1.12,1.1062,0.00756
1.14,1.10047,0.00651
1.16,1.09498,0.0056
1.18,1.08973,0.00481
1.2,1.08471,0.00412
1.22,1.07992,0.00353
1.24,1.07535,0.00302
1.26,1.071,0.00258
1.28,1.06686,0.0022
1.3,1.06292,0.00187
1.32,1.05918,0.00159
1.34,1.05563,0.00135
1.36,1.05227,0.00115
1.38,1.04908,0.00097
1.4,1.04606,0.00082
1.42,1.0432,0.0007
1.44,1.0405,0.00059
1.46,1.03795,0.0005
1.48,1.03554,0.00042
1.5,1.03326,0.00035
1.52,1.03112,0.0003
1.54,1.02909,0.00025
1.56,1.02719,0.00021
1.58,1.0254,0.00018
1.6,1.02371,0.00015
1.62,1.02213,0.00013
1.64,1.02064,0.00011
1.66,1.01924,9e-05
1.68,1.01792,8e-05
1.7,1.01669,6e-05
1.72,1.01554,5e-05
1.74,1.01445,4e-05
1.76,1.01344,4e-05
1.78,1.01249,3e-05
1.8,1.01161,3e-05
1.82,1.01078,2e-05
1.84,1.01,2e-05
1.86,1.00928,2e-05
1.88,1.0086,1e-05
1.9,1.00797,1e-05
1.92,1.00738,1e-05
1.94,1.00683,1e-05
1.96,1.00632,1e-05
1.98,1.00584,1e-05
2.0,1.0054,0.0
2.02,1.00499,0.0
2.04,1.00461,0.0
2.06,1.00425,0.0
2.08,1.00392,0.0
2.1,1.00361,0.0
2.12,1.00333,0.0
2.14,1.00306,0.0
2.16,1.00282,0.0
2.18,1.00259,0.0
2.2,1.00238,0.0
2.22,1.00219,0.0
2.24,1.00201,0.0
2.26,1.00185,0.0
2.28,1.00169,0.0
2.3,1.00155,0.0
2.32,1.00142,0.0
2.34,1.00131,0.0
2.36,1.0012,0.0
2.38,1.00109,0.0
2.4,1.001,0.0
2.42,1.00092,0.0
2.44,1.00084,0.0
2.46,1.00076,0.0
2.48,1.0007,0.0
2.5,1.00064,0.0
2.52,1.00058,0.0
2.54,1.00053,0.0
2.56,1.00048,0.0
2.58,1.00044,0.0
2.6,1.0004,0.0
2.62,1.00036,0.0
2.64,1.00033,0.0
2.66,1.0003,0.0
2.68,1.00027,0.0
2.7,1.00024,0.0
2.72,1.00022,0.0
2.74,1.00019,0.0
2.76,1.00017,0.0
2.78,1.00016,0.0
2.8,1.00014,0.0
2.82,1.00013,0.0
2.84,1.00011,0.0
2.86,1.0001,0.0
2.88,1.00009,0.0
2.9,1.00008,0.0
2.92,1.00007,0.0
2.94,1.00007,0.0
2.96,1.00006,0.0
2.98,1.00005,0.0
3.0,1.00005,0.0
3.02,1.00004,0.0
3.04,1.00003,0.0
3.06,1.00003,0.0
3.08,1.00003,0.0
3.1,1.00002,0.0
3.12,1.00002,0.0
3.14,1.00001,0.0
3.16,1.00001,-0.0
3.18,1.00001,-0.0
3.2,1.00001,-0.0
3.22,1.00001,-0.0
3.24,1.00001,-0.0
3.26,1.0,-0.0
3.28,1.00001,-0.0
3.3,1.00001,-0.0
3.32,1.00001,-0.0
3.34,1.00001,-0.0
3.36,1.00001,-0.0
3.38,1.0,-0.0
3.4,1.0,-0.0
3.42,1.0,-0.0
3.44,1.0,-0.0
