ETA,F,G
0.0,0.0949,1.0
0.02,0.07863,0.99015
0.04,0.15095,0.97714
0.06,0.21747,0.96068
0.08,0.27867,0.94134
0.1,0.33497,0.91957
0.12,0.38679,0.8958
0.14,0.43448,0.87036
0.16,0.47838,0.84357
0.18,0.51881,0.81571
0.2,0.55604,0.78703
0.22,0.59034,0.75772
0.24,0.62195,0.728
0.26,0.65108,0.69802
0.28,0.67794,0.66796
0.3,0.7027,0.63794
0.32,0.72554,0.60809
0.34,0.74662,0.57853
0.36,0.76607,0.54937
0.38,0.78402,0.52068
0.4,0.8006,0.49256
0.42,0.81591,0.46508
0.44,0.83005,0.4383
0.46,0.84311,0.41228
0.48,0.85519,0.38707
0.5,0.86635,0.36271
0.52,0.87666,0.33923
0.54,0.8862,0.31666
0.56,0.89502,0.29502
0.58,0.90318,0.27433
0.6,0.91072,0.2546
0.62,0.91769,0.23582
0.64,0.92414,0.218
0.66,0.9301,0.20112
0.68,0.93562,0.18519
0.7,0.94072,0.17018
0.72,0.94543,0.15607
0.74,0.94979,0.14284
0.76,0.95381,0.13047
0.78,0.95753,0.11893
0.8,0.96097,0.10819
0.82,0.96414,0.09822
0.84,0.96707,0.08899
0.86,0.96978,0.08045
0.88,0.97227,0.07259
0.9,0.97457,0.06535
0.92,0.97669,0.05872
0.94,0.97865,0.05265
0.96,0.98045,0.0471
0.98,0.98211,0.04206
1.0,0.98363,0.03747
1.02,0.98503,0.03331
1.04,0.98632,0.02955
1.06,0.98751,0.02616
1.08,0.98859,0.02311
1.1,0.98959,0.02037
1.12,0.9905,0.01792
1.14,0.99134,0.01573
1.16,0.99211,0.01377
1.18,0.99282,0.01204
1.2,0.99346,0.0105
1.22,0.99405,0.00913
1.24,0.99459,0.00793
1.26,0.99508,0.00687
1.28,0.99553,0.00594
1.3,0.99594,0.00512
1.32,0.99631,0.00441
1.34,0.99665,0.00379
1.36,0.99696,0.00324
1.38,0.99725,0.00277
1.4,0.9975,0.00237
1.42,0.99774,0.00201
1.44,0.99795,0.00171
1.46,0.99814,0.00145
1.48,0.99832,0.00122
1.5,0.99848,0.00103
1.52,0.99863,0.00087
1.54,0.99876,0.00073
1.56,0.99888,0.00061
1.58,0.99899,0.00051
1.6,0.99908,0.00043
1.62,0.99917,0.00036
1.64,0.99925,0.0003
1.66,0.99933,0.00024
1.68,0.99939,0.0002
1.7,0.99945,0.00017
1.72,0.99951,0.00014
1.74,0.99956,0.00011
1.76,0.9996,9e-05
1.78,0.99964,8e-05
1.8,0.99968,6e-05
1.82,0.99971,5e-05
1.84,0.99974,4e-05
1.86,0.99976,3e-05
1.88,0.99979,3e-05
1.9,0.99981,2e-05
1.92,0.99983,2e-05
1.94,0.99985,1e-05
1.96,0.99986,1e-05
1.98,0.99988,1e-05
2.0,0.99989,1e-05
2.02,0.9999,1e-05
2.04,0.99991,0.0
2.06,0.99992,0.0
2.08,0.99993,0.0
2.1,0.99994,0.0
2.12,0.99995,0.0
2.14,0.99996,0.0
2.16,0.99996,0.0
2.18,0.99997,0.0
2.2,0.99997,0.0
2.22,0.99998,0.0
2.24,0.99998,0.0
2.26,0.99998,0.0
2.28,0.99998,0.0
2.3,0.99999,0.0
2.32,0.99999,0.0
2.34,0.99999,0.0
2.36,0.99999,0.0
2.38,0.99999,0.0
2.4,0.99999,0.0
2.42,0.99999,0.0
2.44,0.99999,0.0
2.46,0.99999,0.0
2.48,0.99999,0.0
2.5,0.99999,0.0
2.52,0.99999,0.0
2.54,0.99999,0.0
2.56,0.99999,0.0
2.58,0.99999,0.0
2.6,0.99999,0.0
2.62,0.99999,0.0
2.64,0.99999,0.0
2.66,0.99999,0.0
2.68,0.99999,0.0
2.7,0.99999,0.0
2.72,1.0,0.0
2.74,1.0,0.0
2.76,1.0,0.0
2.78,1.0,-0.0
2.8,1.0,-0.0
2.82,1.0,-0.0
2.84,1.0,-0.0
2.86,1.0,-0.0
2.88,1.0,-0.0
2.9,1.0,-0.0
2.92,1.00001,-0.0
2.94,1.00001,-0.0
2.96,1.00001,-0.0
2.98,1.00001,-0.0
3.0,1.00001,-0.0
3.02,1.00001,-0.0
3.04,1.00001,-0.0
3.06,1.00001,-0.0
3.08,1.00001,-0.0
3.1,1.00001,-0.0
3.12,1.00001,-0.0
3.14,1.00001,-0.0
3.16,1.00001,-0.0
3.18,1.00001,-0.0
3.2,1.00001,-0.0
3.22,1.00001,-0.0
3.24,1.00001,-0.0
3.26,1.0,-0.0
3.28,1.0,-0.0
3.3,1.0,-0.0
3.32,1.0,-0.0
3.34,1.0,-0.0
3.36,1.0,-0.0
3.38,1.0,-0.0
3.4,1.0,-0.0
3.42,1.0,-0.0
3.44,1.0,-0.0
3.46,1.0,-0.0
3.48,1.0,-0.0
3.5,1.0,-0.0
3.52,1.0,-0.0
3.54,1.0,-0.0
3.56,1.0,-0.0
3.58,1.0,-0.0
3.6,1.0,-0.0
3.62,1.0,-0.0
3.64,1.0,-0.0
3.66,1.0,-0.0
3.68,1.0,-0.0
3.7,1.0,-0.0
3.72,1.0,-0.0
3.74,1.0,-0.0
3.76,1.0,-0.0
3.78,1.0,-0.0
3.8,1.0,-0.0
3.82,1.0,-0.0
3.84,1.0,-0.0
3.86,1.0,-0.0
3.88,1.0,-0.0
3.9,1.0,-0.0
3.92,1.0,-0.0
3.94,1.0,-0.0
3.96,1.0,-0.0
3.98,1.0,-0.0
4.0,1.0,-0.0
4.02,1.0,-0.0
4.04,0.99999,-0.0
4.06,0.99999,-0.0
4.08,0.99999,-0.0
4.1,0.99999,-0.0
4.12,0.99999,-0.0
4.14,0.99999,-0.0
4.16,0.99999,-0.0
4.18,0.99999,-0.0
4.2,0.99999,-0.0
4.22,0.99999,-0.0
4.24,0.99999,-0.0
4.26,0.99999,-0.0
4.28,0.99999,-0.0
4.3,0.99998,-0.0
4.32,0.99998,-0.0
4.34,0.99998,-0.0
4.36,0.99998,-0.0
4.38001,0.99998,-0.0
4.40001,0.99998,-0.0
4.42001,0.99998,-0.0
4.44001,0.99998,-0.0
4.46001,0.99998,-0.0
4.48001,0.99998,-0.0
4.50001,0.99998,-0.0
4.52001,0.99998,-0.0
4.54001,0.99998,-0.0
4.56001,0.99998,-0.0
4.58001,0.99998,-0.0
4.60001,0.99998,-0.0
4.62001,0.99998,-0.0
4.64001,0.99999,-0.0
4.66001,0.99999,0.0
4.68001,0.99999,0.0
4.70001,0.99999,0.0
4.72001,0.99999,0.0
4.74001,0.99999,0.0
4.76001,0.99999,0.0
4.78001,0.99999,0.0
4.80001,0.99999,0.0
4.82002,0.99999,0.0
4.84002,0.99999,0.0
4.86002,0.99999,0.0
4.88002,0.99999,0.0
4.90002,1.0,0.0
4.92002,1.0,0.0
4.94002,1.0,0.0
4.96002,1.0,0.0
4.98002,1.0,0.0
5.00002,1.0,0.0
