    ETA       F       G
    0.00000    0.09490    1.00000
    0.02000    0.11286    0.99303
    0.04000    0.21539    0.98068
    0.06000    0.30837    0.96325
    0.08000    0.39254    0.94173
    0.10000    0.46859    0.91695
    0.12000    0.53719    0.88961
    0.14000    0.59893    0.86029
    0.16000    0.65439    0.82949
    0.18000    0.70408    0.79762
    0.20000    0.74851    0.76502
    0.22000    0.78813    0.73201
    0.24000    0.82336    0.69882
    0.26000    0.85459    0.66568
    0.28000    0.88218    0.63277
    0.30000    0.90648    0.60024
    0.32000    0.92778    0.56822
    0.34000    0.94638    0.53685
    0.36000    0.96253    0.50620
    0.38000    0.97649    0.47636
    0.40000    0.98847    0.44740
    0.42000    0.99868    0.41939
    0.44000    1.00730    0.39236
    0.46000    1.01451    0.36635
    0.48000    1.02046    0.34140
    0.50000    1.02531    0.31753
    0.52000    1.02917    0.29473
    0.54000    1.03217    0.27304
    0.56000    1.03441    0.25243
    0.58000    1.03600    0.23291
    0.60000    1.03702    0.21447
    0.62000    1.03756    0.19709
    0.64000    1.03767    0.18075
    0.66000    1.03744    0.16543
    0.68000    1.03691    0.15109
    0.70000    1.03613    0.13771
    0.72000    1.03516    0.12525
    0.74000    1.03403    0.11369
    0.76000    1.03278    0.10297
    0.78000    1.03144    0.09307
    0.80000    1.03003    0.08394
    0.82000    1.02858    0.07555
    0.84000    1.02711    0.06785
    0.86000    1.02563    0.06081
    0.88000    1.02417    0.05438
    0.90000    1.02272    0.04852
    0.92000    1.02131    0.04320
    0.94000    1.01994    0.03838
    0.96000    1.01861    0.03403
    0.98000    1.01733    0.03010
    1.00000    1.01611    0.02657
    1.02000    1.01495    0.02340
    1.04000    1.01384    0.02056
    1.06000    1.01279    0.01803
    1.08000    1.01181    0.01577
    1.10000    1.01088    0.01377
    1.12000    1.01001    0.01199
    1.14000    1.00919    0.01042
    1.16000    1.00843    0.00904
    1.18000    1.00772    0.00782
    1.20000    1.00706    0.00675
    1.22000    1.00645    0.00581
    1.24000    1.00589    0.00499
    1.26000    1.00537    0.00428
    1.28000    1.00489    0.00366
    1.30000    1.00445    0.00313
    1.32000    1.00404    0.00266
    1.34000    1.00367    0.00226
    1.36000    1.00333    0.00192
    1.38000    1.00302    0.00162
    1.40000    1.00273    0.00137
    1.42000    1.00247    0.00115
    1.44000    1.00223    0.00097
    1.46000    1.00202    0.00081
    1.48000    1.00182    0.00068
    1.50000    1.00164    0.00057
    1.52000    1.00148    0.00047
    1.54000    1.00133    0.00039
    1.56000    1.00120    0.00032
    1.58000    1.00108    0.00027
    1.60000    1.00097    0.00022
    1.62000    1.00087    0.00018
    1.64000    1.00078    0.00015
    1.66000    1.00070    0.00012
    1.68000    1.00063    0.00010
    1.70000    1.00056    0.00008
    1.72000    1.00050    0.00007
    1.74000    1.00045    0.00005
    1.76000    1.00040    0.00004
    1.78000    1.00036    0.00003
    1.80000    1.00032    0.00003
    1.82000    1.00029    0.00002
    1.84000    1.00026    0.00002
    1.86000    1.00023    0.00001
    1.88000    1.00021    0.00001
    1.90000    1.00019    0.00001
    1.92000    1.00017    0.00001
    1.94000    1.00015    0.00001
    1.96000    1.00013    0.00000
    1.98000    1.00012    0.00000
