    ETA       F       G
    0.00000    0.09490    1.00000
    0.02000    0.14145    0.99946
    0.04000    0.26917    0.99107
    0.06000    0.38414    0.97571
    0.08000    0.48731    0.95487
    0.10000    0.57959    0.92976
    0.12000    0.66184    0.90137
    0.14000    0.73488    0.87053
    0.16000    0.79947    0.83790
    0.18000    0.85634    0.80405
    0.20000    0.90617    0.76942
    0.22000    0.94958    0.73439
    0.24000    0.98718    0.69927
    0.26000    1.01949    0.66429
    0.28000    1.04704    0.62969
    0.30000    1.07030    0.59561
    0.32000    1.08969    0.56221
    0.34000    1.10563    0.52961
    0.36000    1.11848    0.49789
    0.38000    1.12859    0.46713
    0.40000    1.13627    0.43740
    0.42000    1.14180    0.40875
    0.44000    1.14545    0.38122
    0.46000    1.14745    0.35483
    0.48000    1.14804    0.32960
    0.50000    1.14740    0.30555
    0.52000    1.14572    0.28268
    0.54000    1.14315    0.26099
    0.56000    1.13985    0.24046
    0.58000    1.13595    0.22109
    0.60000    1.13156    0.20286
    0.62000    1.12680    0.18574
    0.64000    1.12174    0.16971
    0.66000    1.11648    0.15473
    0.68000    1.11109    0.14077
    0.70000    1.10563    0.12780
    0.72000    1.10015    0.11577
    0.74000    1.09470    0.10465
    0.76000    1.08932    0.09439
    0.78000    1.08405    0.08494
    0.80000    1.07891    0.07628
    0.82000    1.07393    0.06835
    0.84000    1.06911    0.06111
    0.86000    1.06449    0.05451
    0.88000    1.06006    0.04852
    0.90000    1.05583    0.04309
    0.92000    1.05181    0.03818
    0.94000    1.04800    0.03375
    0.96000    1.04440    0.02977
    0.98000    1.04100    0.02620
    1.00000    1.03781    0.02301
    1.02000    1.03481    0.02016
    1.04000    1.03201    0.01762
    1.06000    1.02940    0.01537
    1.08000    1.02697    0.01338
    1.10000    1.02470    0.01161
    1.12000    1.02260    0.01006
    1.14000    1.02066    0.00869
    1.16000    1.01886    0.00750
    1.18000    1.01720    0.00645
    1.20000    1.01567    0.00553
    1.22000    1.01426    0.00474
    1.24000    1.01297    0.00405
    1.26000    1.01178    0.00345
    1.28000    1.01069    0.00294
    1.30000    1.00970    0.00249
    1.32000    1.00879    0.00211
    1.34000    1.00796    0.00178
    1.36000    1.00720    0.00150
    1.38000    1.00651    0.00126
    1.40000    1.00588    0.00106
    1.42000    1.00531    0.00089
    1.44000    1.00479    0.00074
    1.46000    1.00432    0.00062
    1.48000    1.00389    0.00051
    1.50000    1.00351    0.00042
    1.52000    1.00316    0.00035
    1.54000    1.00284    0.00029
    1.56000    1.00256    0.00024
    1.58000    1.00230    0.00020
    1.60000    1.00206    0.00016
    1.62000    1.00185    0.00013
    1.64000    1.00167    0.00011
    1.66000    1.00149    0.00009
    1.68000    1.00134    0.00007
    1.70000    1.00120    0.00006
    1.72000    1.00108    0.00005
    1.74000    1.00097    0.00004
    1.76000    1.00086    0.00003
    1.78000    1.00077    0.00002
    1.80000    1.00069    0.00002
    1.82000    1.00062    0.00002
    1.84000    1.00055    0.00001
    1.86000    1.00050    0.00001
    1.88000    1.00044    0.00001
    1.90000    1.00040    0.00001
    1.92000    1.00035    0.00000
    1.94000    1.00031    0.00000
    1.96000    1.00028    0.00000
    1.98000    1.00025    0.00000
    2.00000    1.00022    0.00000
    2.02000    1.00020    0.00000
    2.04000    1.00017    0.00000
    2.06000    1.00015    0.00000
    2.08000    1.00014    0.00000
    2.10000    1.00012    0.00000
    2.12000    1.00011    0.00000
    2.14000    1.00009    0.00000
    2.16000    1.00008    0.00000
    2.18000    1.00007    0.00000
    2.20000    1.00006    0.00000
    2.22000    1.00005    0.00000
    2.24000    1.00005    0.00000
    2.26000    1.00004    0.00000
    2.28000    1.00003    0.00000
    2.30000    1.00003    0.00000
    2.32000    1.00002    0.00000
    2.34000    1.00002    0.00000
    2.36000    1.00001    0.00000
    2.38000    1.00001    0.00000
    2.40000    1.00001    0.00000
    2.42000    1.00000    0.00000
    2.44000    1.00000    0.00000
