ETA,F,G
0.0,0.0949,1.0
0.02,0.08446,0.99025
0.04,0.16194,0.97701
0.06,0.233,0.9601
0.08,0.29815,0.94013
0.1,0.35789,0.91762
0.12,0.41264,0.89303
0.14,0.46281,0.86674
0.16,0.50879,0.8391
0.18,0.5509,0.8104
0.2,0.58947,0.78091
0.22,0.62479,0.75084
0.24,0.65713,0.72041
0.26,0.68674,0.68979
0.28,0.71383,0.65915
0.3,0.73863,0.62862
0.32,0.76131,0.59834
0.34,0.78207,0.56842
0.36,0.80105,0.53896
0.38,0.8184,0.51006
0.4,0.83427,0.48178
0.42,0.84878,0.45421
0.44,0.86204,0.4274
0.46,0.87416,0.40141
0.48,0.88523,0.37627
0.5,0.89535,0.35204
0.52,0.90459,0.32873
0.54,0.91302,0.30638
0.56,0.92073,0.28499
0.58,0.92776,0.26458
0.6,0.93418,0.24515
0.62,0.94004,0.2267
0.64,0.94539,0.20922
0.66,0.95027,0.19271
0.68,0.95472,0.17715
0.7,0.95878,0.16252
0.72,0.96248,0.14879
0.74,0.96585,0.13595
0.76,0.96893,0.12397
0.78,0.97173,0.11281
0.8,0.97428,0.10245
0.82,0.97661,0.09284
0.84,0.97873,0.08397
0.86,0.98066,0.07578
0.88,0.98242,0.06825
0.9,0.98403,0.06134
0.92,0.98548,0.05501
0.94,0.98681,0.04923
0.96,0.98802,0.04397
0.98,0.98912,0.03919
1.0,0.99012,0.03485
1.02,0.99103,0.03092
1.04,0.99186,0.02738
1.06,0.99261,0.0242
1.08,0.99329,0.02133
1.1,0.99391,0.01877
1.12,0.99448,0.01648
1.14,0.99499,0.01443
1.16,0.99546,0.01262
1.18,0.99588,0.011
1.2,0.99626,0.00958
1.22,0.99661,0.00831
1.24,0.99693,0.0072
1.26,0.99722,0.00623
1.28,0.99748,0.00537
1.3,0.99772,0.00462
1.32,0.99793,0.00397
1.34,0.99813,0.0034
1.36,0.99831,0.00291
1.38,0.99847,0.00248
1.4,0.99861,0.00211
1.42,0.99875,0.00179
1.44,0.99887,0.00152
1.46,0.99898,0.00129
1.48,0.99908,0.00108
1.5,0.99916,0.00091
1.52,0.99925,0.00077
1.54,0.99932,0.00064
1.56,0.99939,0.00054
1.58,0.99945,0.00045
1.6,0.9995,0.00037
1.62,0.99955,0.00031
1.64,0.99959,0.00026
1.66,0.99963,0.00021
1.68,0.99967,0.00017
1.7,0.9997,0.00014
1.72,0.99973,0.00012
1.74,0.99976,0.0001
1.76,0.99978,8e-05
1.78,0.9998,6e-05
1.8,0.99982,5e-05
1.82,0.99984,4e-05
1.84,0.99986,3e-05
1.86,0.99987,3e-05
1.88,0.99988,2e-05
1.9,0.9999,2e-05
1.92,0.99991,1e-05
1.94,0.99992,1e-05
1.96,0.99993,1e-05
1.98,0.99993,1e-05
2.0,0.99994,1e-05
2.02,0.99995,0.0
2.04,0.99995,0.0
2.06,0.99996,0.0
2.08,0.99996,0.0
2.1,0.99996,0.0
2.12,0.99997,0.0
2.14,0.99997,0.0
2.16,0.99997,0.0
2.18,0.99997,0.0
2.2,0.99998,0.0
2.22,0.99998,0.0
2.24,0.99998,0.0
2.26,0.99998,0.0
2.28,0.99998,0.0
2.3,0.99999,0.0
2.32,0.99999,0.0
2.34,0.99999,0.0
2.36,0.99999,0.0
2.38,0.99999,0.0
2.4,0.99999,0.0
2.42,0.99999,0.0
2.44,0.99999,0.0
2.46,0.99999,0.0
2.48,0.99999,0.0
2.5,0.99999,0.0
2.52,0.99999,0.0
2.54,0.99999,0.0
2.56,0.99999,0.0
2.58,0.99999,0.0
2.6,0.99999,0.0
2.62,0.99999,0.0
2.64,0.99999,0.0
2.66,0.99999,0.0
2.68,0.99999,0.0
2.7,0.99999,0.0
2.72,0.99999,0.0
2.74,0.99999,0.0
2.76,0.99999,0.0
2.78,0.99999,0.0
2.8,0.99999,-0.0
2.82,0.99999,-0.0
2.84,0.99999,-0.0
2.86,0.99999,-0.0
2.88,0.99999,-0.0
2.9,0.99999,-0.0
2.92,0.99999,-0.0
2.94,0.99999,-0.0
2.96,0.99999,-0.0
2.98,0.99999,-0.0
3.0,0.99999,-0.0
3.02,0.99999,-0.0
3.04,0.99999,-0.0
3.06,0.99999,-0.0
3.08,0.99999,-0.0
3.1,0.99999,-0.0
3.12,0.99999,-0.0
3.14,0.99999,-0.0
3.16,0.99999,-0.0
3.18,0.99999,-0.0
3.2,0.99999,-0.0
3.22,0.99999,-0.0
3.24,0.99999,-0.0
3.26,0.99999,-0.0
3.28,0.99999,-0.0
3.3,0.99999,-0.0
3.32,0.99999,-0.0
3.34,0.99999,-0.0
3.36,0.99999,-0.0
3.38,0.99999,-0.0
3.4,0.99999,-0.0
3.42,0.99999,-0.0
3.44,0.99999,-0.0
3.46,0.99999,-0.0
3.48,0.99999,-0.0
3.5,0.99999,-0.0
3.52,0.99999,-0.0
3.54,0.99999,-0.0
3.56,0.99999,-0.0
3.58,0.99999,-0.0
3.6,0.99999,-0.0
3.62,0.99999,-0.0
3.64,0.99999,-0.0
3.66,0.99999,-0.0
3.68,0.99999,-0.0
3.7,0.99999,-0.0
3.72,0.99999,-0.0
3.74,0.99999,-0.0
3.76,0.99999,-0.0
3.78,1.0,-0.0
3.8,1.0,-0.0
3.82,1.0,-0.0
3.84,1.0,-0.0
3.86,1.0,-0.0
3.88,1.0,-0.0
3.9,1.0,-0.0
3.92,1.0,-0.0
3.94,1.0,-0.0
3.96,1.0,-0.0
3.98,1.0,-0.0
4.0,1.0,0.0
4.02,1.0,0.0
4.04,1.0,0.0
4.06,1.0,0.0
4.08,1.0,0.0
4.1,1.0,0.0
4.12,0.99999,0.0
4.14,0.99999,0.0
4.16,0.99999,0.0
4.18,0.99999,0.0
4.2,0.99998,0.0
4.22,0.99998,0.0
4.24,0.99998,0.0
4.26,0.99998,0.0
4.28,0.99997,0.0
4.3,0.99997,0.0
4.32,0.99997,0.0
4.34,0.99997,0.0
4.36,0.99997,0.0
4.38001,0.99997,0.0
4.40001,0.99997,0.0
4.42001,0.99997,0.0
4.44001,0.99997,0.0
4.46001,0.99997,0.0
4.48001,0.99997,0.0
4.50001,0.99997,0.0
4.52001,0.99997,0.0
4.54001,0.99997,0.0
4.56001,0.99997,0.0
4.58001,0.99997,0.0
4.60001,0.99998,0.0
4.62001,0.99998,0.0
4.64001,0.99998,0.0
4.66001,0.99998,0.0
4.68001,0.99998,0.0
4.70001,0.99998,0.0
4.72001,0.99998,0.0
4.74001,0.99999,0.0
4.76001,0.99999,0.0
4.78001,0.99999,0.0
4.80001,0.99999,0.0
4.82002,0.99999,0.0
4.84002,0.99999,0.0
4.86002,0.99999,0.0
4.88002,0.99999,0.0
4.90002,0.99999,0.0
4.92002,1.0,0.0
4.94002,1.0,0.0
4.96002,1.0,0.0
4.98002,1.0,0.0
5.00002,1.0,0.0
