    ETA       F       G
    0.00000    0.09490    1.00000
    0.02000    0.09158    0.98732
    0.04000    0.17704    0.97184
    0.06000    0.25666    0.95320
    0.08000    0.33070    0.93185
    0.10000    0.39941    0.90822
    0.12000    0.46306    0.88267
    0.14000    0.52190    0.85555
    0.16000    0.57618    0.82716
    0.18000    0.62615    0.79776
    0.20000    0.67204    0.76762
    0.22000    0.71409    0.73694
    0.24000    0.75252    0.70593
    0.26000    0.78756    0.67478
    0.28000    0.81941    0.64364
    0.30000    0.84828    0.61266
    0.32000    0.87437    0.58197
    0.34000    0.89786    0.55170
    0.36000    0.91894    0.52194
    0.38000    0.93779    0.49280
    0.40000    0.95456    0.46435
    0.42000    0.96941    0.43667
    0.44000    0.98250    0.40981
    0.46000    0.99397    0.38384
    0.48000    1.00396    0.35879
    0.50000    1.01258    0.33471
    0.52000    1.01997    0.31161
    0.54000    1.02623    0.28952
    0.56000    1.03148    0.26845
    0.58000    1.03581    0.24840
    0.60000    1.03931    0.22938
    0.62000    1.04207    0.21138
    0.64000    1.04417    0.19440
    0.66000    1.04569    0.17840
    0.68000    1.04670    0.16339
    0.70000    1.04725    0.14932
    0.72000    1.04740    0.13618
    0.74000    1.04722    0.12393
    0.76000    1.04674    0.11255
    0.78000    1.04601    0.10200
    0.80000    1.04507    0.09223
    0.82000    1.04396    0.08323
    0.84000    1.04271    0.07494
    0.86000    1.04135    0.06733
    0.88000    1.03990    0.06037
    0.90000    1.03839    0.05400
    0.92000    1.03683    0.04821
    0.94000    1.03524    0.04294
    0.96000    1.03365    0.03816
    0.98000    1.03205    0.03384
    1.00000    1.03047    0.02995
    1.02000    1.02892    0.02644
    1.04000    1.02739    0.02329
    1.06000    1.02590    0.02048
    1.08000    1.02446    0.01796
    1.10000    1.02306    0.01572
    1.12000    1.02171    0.01372
    1.14000    1.02041    0.01196
    1.16000    1.01916    0.01039
    1.18000    1.01797    0.00901
    1.20000    1.01684    0.00780
    1.22000    1.01576    0.00674
    1.24000    1.01474    0.00580
    1.26000    1.01376    0.00499
    1.28000    1.01284    0.00428
    1.30000    1.01198    0.00366
